Player,Salary,Year
Rudy Gobert,"$1,127,400 ",2015
Carrick Felix,"$816,482 ",2015
Grant Jerrett,"$816,481 ",2015
Joe Ingles,"$507,336 ",2015
Toure' Murry,"$250,000 ",2015
Elijah Millsap,"$241,731 ",2015
Jack Cooley,"$187,357 ",2015
Chris Johnson,"$166,897 ",2015
Bryce Cotton,"$152,200 ",2015
Dee Bost,"$65,000 ",2015
Dee Bost,"$65,000 ",2015
Kevin Murphy,"$65,000 ",2015
Elliot Williams,"$53,838 ",2015
Jerrelle Benimon,"$29,843 ",2015
Gordon Hayward,"$15,409,570 ",2016
Derrick Favors,"$11,933,333 ",2016
Alec Burks,"$9,213,484 ",2016
Trevor Booker,"$4,775,000 ",2016
Dante Exum,"$3,777,720 ",2016
Tibor Pleiss,"$3,000,000 ",2016
Trey Burke,"$2,658,240 ",2016
Shelvin Mack,"$2,433,333 ",2016
Joe Ingles,"$2,250,000 ",2016
Trey Lyles,"$2,239,800 ",2016
Rodney Hood,"$1,348,440 ",2016
Rudy Gobert,"$1,175,880 ",2016
Raul Neto,"$1,000,000 ",2016
Chris Johnson,"$981,348 ",2016
Grant Jerrett,"$947,276 ",2016
Jeff Withey,"$947,276 ",2016
Elijah Millsap,"$362,878 ",2016
J.J. O'Brien,"$105,888 ",2016
Erick Green,"$99,418 ",2016
Treveon Graham,"$75,000 ",2016
E.J. Singler,"$50,000 ",2016
Gordon Hayward,"$16,073,140 ",2017
Derrick Favors,"$11,050,000 ",2017
Joe Johnson,"$11,000,000 ",2017
Alec Burks,"$10,154,495 ",2017
George Hill,"$8,000,000 ",2017
Boris Diaw,"$7,000,000 ",2017
Dante Exum,"$3,940,320 ",2017
Shelvin Mack,"$2,433,334 ",2017
Trey Lyles,"$2,340,600 ",2017
Joe Ingles,"$2,250,000 ",2017
Rudy Gobert,"$2,121,288 ",2017
Rodney Hood,"$1,406,520 ",2017
Jeff Withey,"$1,015,696 ",2017
Raul Neto,"$937,800 ",2017
Joel Bolomboy,"$600,000 ",2017
Marcus Paige,"$125,000 ",2017
Quincy Ford,"$75,000 ",2017
Henry Sims,"$75,000 ",2017
Rudy Gobert,"$21,974,719 ",2018
Ricky Rubio,"$14,275,000 ",2018
Joe Ingles,"$14,136,364 ",2018
Derrick Favors,"$12,000,000 ",2018
Alec Burks,"$10,845,506 ",2018
Jae Crowder,"$6,796,117 ",2018
Thabo Sefolosha,"$5,250,000 ",2018
Dante Exum,"$4,992,385 ",2018
Jonas Jerebko,"$4,000,000 ",2018
Ekpe Udoh,"$3,200,000 ",2018
Donovan Mitchell,"$2,621,280 ",2018
Raul Neto,"$1,471,382 ",2018
Tony Bradley,"$1,414,920 ",2018
Joel Bolomboy,"$1,312,611 ",2018
Royce O'Neale,"$815,615 ",2018
Derrick Rose,"$749,761 ",2018
David Stockton,"$192,813 ",2018
Naz Mitrou-Long,"$92,160 ",2018
Georges Niang,$0 ,2018
Erik McCree,$0 ,2018
Eric Griffin,$0 ,2018
Nate Wolters,$0 ,2018
Rudy Gobert,"$23,241,573 ",2019
Derrick Favors,"$16,000,000 ",2019
Ricky Rubio,"$14,975,000 ",2019
Joe Ingles,"$13,045,455 ",2019
Dante Exum,"$9,100,000 ",2019
Kyle Korver,"$7,560,000 ",2019
