,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,0.1%,0.0%,-1.8%,0.009,5.9%,5.6%,0.002,-2.8%,1.2%,-0.1%,0.1%,5.9%,1.0%,1982,-3.8%,5.7%,-4.7%,-25.0%,-22.0%,-0.012,0.4%,-1.3%,0.009
0,Team,82.0,19755,3252,6995,0.465,1430,1983,0.721,1173,2414,3587,1738,2236,7964,1983,617,290,1538,30,120,0.25,3222,6875,0.469
1,Team/G,,240.9,39.7,85.3,0.465,17.4,24.2,0.721,14.3,29.4,43.7,21.2,27.3,97.1,1983,7.5,3.5,18.8,0.4,1.5,0.25,39.3,83.8,0.469
2,Lg Rank,,15,23,22,22.0,22,21,20.0,16,15,15,23,21,23,1983,21,23,10,18,21,6.0,23,21,22.0
3,Year/Year,,-0.3%,-4.5%,-4.6%,0.001,-12.2%,-9.0%,-0.026,-1.4%,11.2%,6.8%,-7.1%,2.0%,-5.9%,1983,-2.7%,-18.8%,16.6%,20.0%,-12.4%,0.068,-4.7%,-4.5%,-0.001
4,Opponent,82.0,19755,3381,6911,0.489,1780,2396,0.743,974,2382,3356,2005,1830,8574,1983,621,431,1275,32,146,0.219,3349,6765,0.495
5,Opponent/G,,240.9,41.2,84.3,0.489,21.7,29.2,0.743,11.9,29.0,40.9,24.5,22.3,104.6,1983,7.6,5.3,15.5,0.4,1.8,0.219,40.8,82.5,0.495
6,Lg Rank,,15,6,3,14.0,17,19,13.0,1,10,2,7,23,8,1983,2,9,23,2,4,6.0,7,3,14.0
7,Year/Year,,-0.3%,-6.3%,-1.9%,-0.023,-6.6%,-5.3%,-0.011,-13.4%,-5.8%,-8.2%,-7.6%,-11.6%,-6.4%,1983,-5.2%,-10.2%,-9.3%,-17.9%,11.5%,-0.079,-6.2%,-2.1%,-0.021
0,Team,82.0,19855,3362,7232,0.465,1619,2178,0.743,1213,2388,3601,1930,2206,8386,1984,630,375,1332,43,164,0.262,3319,7068,0.47
1,Team/G,,242.1,41.0,88.2,0.465,19.7,26.6,0.743,14.8,29.1,43.9,23.5,26.9,102.3,1984,7.7,4.6,16.2,0.5,2.0,0.262,40.5,86.2,0.47
2,Lg Rank,,9,20,12,23.0,22,21,18.0,7,9,7,21,19,22,1984,18,17,4,14,15,7.0,20,7,23.0
3,Year/Year,,0.5%,3.4%,3.4%,-0.0,13.2%,9.8%,0.022,3.4%,-1.1%,0.4%,11.0%,-1.3%,5.3%,1984,2.1%,29.3%,-13.4%,43.3%,36.7%,0.012,3.0%,2.8%,0.001
4,Opponent,82.0,19855,3373,6930,0.487,1939,2541,0.763,983,2405,3388,2141,1906,8735,1984,579,395,1224,50,190,0.263,3323,6740,0.493
5,Opponent/G,,242.1,41.1,84.5,0.487,23.6,31.0,0.763,12.0,29.3,41.3,26.1,23.2,106.5,1984,7.1,4.8,14.9,0.6,2.3,0.263,40.5,82.2,0.493
6,Lg Rank,,9,4,3,8.0,18,19,16.0,1,15,5,14,23,7,1984,1,6,23,12,11,14.0,4,4,8.0
7,Year/Year,,0.5%,-0.2%,0.3%,-0.002,8.9%,6.1%,0.02,0.9%,1.0%,1.0%,6.8%,4.2%,1.9%,1984,-6.8%,-8.4%,-4.0%,56.3%,30.1%,0.044,-0.8%,-0.4%,-0.002
0,Team,82.0,19780,3470,7364,0.471,1867,2491,0.749,1203,2445,3648,2096,2173,8903,1985,622,472,1387,96,335,0.287,3374,7029,0.48
1,Team/G,,241.2,42.3,89.8,0.471,22.8,30.4,0.749,14.7,29.8,44.5,25.6,26.5,108.6,1985,7.6,5.8,16.9,1.2,4.1,0.287,41.1,85.7,0.48
2,Lg Rank,,14,18,8,22.0,11,9,18.0,8,7,6,15,19,16,1985,20,9,8,6,4,9.0,21,9,22.0
3,Year/Year,,-0.4%,3.2%,1.8%,0.006,15.3%,14.4%,0.006,-0.8%,2.4%,1.3%,8.6%,-1.5%,6.2%,1985,-1.3%,25.9%,4.1%,123.3%,104.3%,0.024,1.7%,-0.6%,0.01
4,Opponent,82.0,19780,3547,7415,0.478,1965,2554,0.769,1210,2451,3661,2215,2101,9129,1985,612,429,1357,70,253,0.277,3477,7162,0.485
5,Opponent/G,,241.2,43.3,90.4,0.478,24.0,31.1,0.769,14.8,29.9,44.6,27.0,25.6,111.3,1985,7.5,5.2,16.5,0.9,3.1,0.277,42.4,87.3,0.485
6,Lg Rank,,14,11,16,4.0,18,19,17.0,16,16,17,15,8,15,1985,2,11,19,10,10,10.0,11,16,4.0
7,Year/Year,,-0.4%,5.2%,7.0%,-0.008,1.3%,0.5%,0.006,23.1%,1.9%,8.1%,3.5%,10.2%,4.5%,1985,5.7%,8.6%,10.9%,40.0%,33.2%,0.014,4.6%,6.3%,-0.008
0,Team,82.0,19780,3478,7239,0.48,1748,2325,0.752,1086,2455,3541,2064,2267,8836,1986,627,436,1411,132,391,0.338,3346,6848,0.489
1,Team/G,,241.2,42.4,88.3,0.48,21.3,28.4,0.752,13.2,29.9,43.2,25.2,27.6,107.8,1986,7.6,5.3,17.2,1.6,4.8,0.338,40.8,83.5,0.489
2,Lg Rank,,15,14,11,18.0,20,18,15.0,16,7,13,15,23,19,1986,19,8,9,4,5,3.0,19,17,17.0
