Player,Salary,Year
Tyreke Evans,"$5,251,825 ",2013
Jason Thompson,"$5,250,000 ",2013
DeMarcus Cousins,"$3,880,800 ",2013
Aaron Brooks,"$3,250,000 ",2013
Travis Outlaw,"$3,000,000 ",2013
James Johnson,"$2,812,006 ",2013
Cole Aldrich,"$2,445,480 ",2013
Jimmer Fredette,"$2,406,240 ",2013
Patrick Patterson,"$2,096,760 ",2013
Toney Douglas,"$2,067,880 ",2013
Isaiah Thomas,"$762,195 ",2013
Rudy Gay,"$17,888,931 ",2014
Marcus Thornton,"$8,050,000 ",2014
John Salmons,"$7,583,000 ",2014
Carl Landry,"$6,500,000 ",2014
Chuck Hayes,"$5,722,500 ",2014
Jason Thompson,"$5,643,750 ",2014
DeMarcus Cousins,"$4,916,974 ",2014
Luc Mbah a Moute,"$4,588,384 ",2014
Aaron Brooks,"$3,396,250 ",2014
Patrick Patterson,"$3,105,302 ",2014
Travis Outlaw,"$3,000,000 ",2014
Ben McLemore,"$2,895,960 ",2014
Jimmer Fredette,"$2,439,840 ",2014
Greivis Vasquez,"$2,150,188 ",2014
Isaiah Thomas,"$884,293 ",2014
Rudy Gay,"$19,317,325 ",2015
DeMarcus Cousins,"$13,701,250 ",2015
Carl Landry,"$6,500,000 ",2015
Derrick Williams,"$6,331,404 ",2015
Jason Thompson,"$6,037,500 ",2015
Darren Collison,"$4,797,664 ",2015
Andre Miller,"$4,625,000 ",2015
Ben McLemore,"$3,026,280 ",2015
Nik Stauskas,"$2,745,840 ",2015
Reggie Evans,"$1,768,653 ",2015
Ryan Hollins,"$1,316,809 ",2015
Omri Casspi,"$1,063,384 ",2015
Wayne Ellington,"$923,780 ",2015
Ray McCallum,"$816,482 ",2015
Eric Moreland,"$507,336 ",2015
Quincy Miller,"$107,676 ",2015
David Stockton,"$29,843 ",2015
David Wear,"$29,843 ",2015
Sim Bhullar,"$29,843 ",2015
DeMarcus Cousins,"$14,728,844 ",2016
Rudy Gay,"$12,403,101 ",2016
Rajon Rondo,"$9,500,000 ",2016
Kosta Koufos,"$7,500,000 ",2016
Marco Belinelli,"$6,333,333 ",2016
Darren Collison,"$5,013,559 ",2016
Willie Cauley-Stein,"$3,398,280 ",2016
Ben McLemore,"$3,156,600 ",2016
Omri Casspi,"$3,000,000 ",2016
Caron Butler,"$1,499,187 ",2016
James Anderson,"$1,015,421 ",2016
Quincy Acy,"$981,348 ",2016
Seth Curry,"$947,276 ",2016
Wayne Ellington,"$923,670 ",2016
Eric Moreland,"$845,059 ",2016
Duje Dukan,"$525,093 ",2016
Marshall Henderson,"$35,000 ",2016
Vince Hunter,"$35,000 ",2016
Rudy Gay,"$13,333,333 ",2017
Arron Afflalo,"$12,500,000 ",2017
Tyreke Evans,"$10,661,286 ",2017
Kosta Koufos,"$8,046,500 ",2017
Anthony Tolliver,"$8,000,000 ",2017
Garrett Temple,"$8,000,000 ",2017
Matt Barnes,"$6,125,000 ",2017
Darren Collison,"$5,229,454 ",2017
Langston Galloway,"$5,200,000 ",2017
Ben McLemore,"$4,008,882 ",2017
Willie Cauley-Stein,"$3,551,160 ",2017
Buddy Hield,"$3,517,200 ",2017
Georgios Papagiannis,"$2,202,240 ",2017
Malachi Richardson,"$1,439,880 ",2017
Ty Lawson,"$1,315,448 ",2017
Skal Labissiere,"$1,188,840 ",2017
Wayne Ellington,"$923,670 ",2017
Caron Butler,"$517,220 ",2017
Isaiah Cousins,"$100,000 ",2017
Lamar Patterson,"$100,000 ",2017
Jordan Farmar,"$82,979 ",2017
Zach Randolph,"$12,307,692 ",2018
Iman Shumpert,"$10,337,079 ",2018
Joe Johnson,"$9,505,000 ",2018
Bogdan Bogdanovic,"$9,470,614 ",2018
