,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
4,Opponent,84.0,20335,3869,8132,0.476,63,224,0.281,3806,7908,0.481,1679,2156,0.779,1501,3103,4604,2139,1740,2060,9480,1976,744,494
5,Opponent/G,,242.1,46.1,96.8,0.476,0.8,2.7,0.281,45.3,94.1,0.481,20.0,25.7,0.779,17.9,36.9,54.8,25.5,20.7,24.5,112.9,1976,8.9,5.9
6,Lg Rank,,4,6,8,7.0,1,1,3.0,7,8,7.0,2,2,8.0,8,9,9,8,2,7,6,1976,2,6
7,Year/Year,,0.4%,1.0%,3.6%,-0.012,-16.0%,-14.5%,-0.005,1.3%,4.2%,-0.014,2.1%,1.4%,0.006,3.7%,13.0%,9.8%,4.1%,1.4%,8.1%,1.1%,1976,8.8%,19.3%
0,Team,82.0,19755,3522,7840,0.449,,,,,,,1714,2297,0.746,1409,2584,3993,2009,1609,2030,8758,1977,924,458
1,Team/G,,240.9,43.0,95.6,0.449,,,,,,,20.9,28.0,0.746,17.2,31.5,48.7,24.5,19.6,24.8,106.8,1977,11.3,5.6
2,Lg Rank,,12,11,1,19.0,,,,,,,8,9,14.0,1,14,5,7,6,8,11,1977,3,8
3,Year/Year,,-0.5%,-3.4%,-5.8%,0.011,,,,,,,0.9%,4.4%,-0.026,-10.5%,-3.4%,-6.0%,-1.4%,13.5%,5.0%,-5.2%,1977,0.6%,2.2%
4,Opponent,82.0,19755,3599,7629,0.472,,,,,,,1705,2252,0.757,1378,2770,4148,2097,1792,2043,8903,1977,715,466
5,Opponent/G,,240.9,43.9,93.0,0.472,,,,,,,20.8,27.5,0.757,16.8,33.8,50.6,25.6,21.9,24.9,108.6,1977,8.7,5.7
6,Lg Rank,,12,19,13,16.0,,,,,,,10,9,18.0,21,20,22,18,6,12,17,1977,4,18
7,Year/Year,,-0.5%,-4.7%,-3.9%,-0.004,,,,,,,4.0%,7.0%,-0.022,-6.0%,-8.6%,-7.7%,0.4%,5.5%,1.6%,-3.8%,1977,-1.6%,-3.4%
