,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,18,25,25,18.0,1,1,12.0,29,29,9.0,22,16,23.0,21,9,14,17,18,8,17,23,22,1997
3,Year/Year,,0.1%,-2.8%,-1.8%,-0.005,22.8%,27.9%,-0.015,-8.8%,-10.6%,0.01,-6.4%,-7.5%,0.009,-4.2%,-3.7%,-3.9%,-1.0%,13.2%,0.0%,-6.3%,-11.1%,-1.7%,1997
4,Opponent,82.0,19805,2687,6226,0.432,411,1134,0.362,2276,5092,0.447,1541,2108,0.731,999,2321,3320,1512,646,392,1324,1831,7326,1997
5,Opponent/G,,241.5,32.8,75.9,0.432,5.0,13.8,0.362,27.8,62.1,0.447,18.8,25.7,0.731,12.2,28.3,40.5,18.4,7.9,4.8,16.1,22.3,89.3,1997
6,Lg Rank,,18,3,3,2.0,2,2,16.0,6,11,2.0,15,15,8.0,7,14,11,1,9,12,10,11,3,1997
7,Year/Year,,0.1%,-1.7%,-1.2%,-0.002,-7.8%,-8.3%,0.002,-0.5%,0.5%,-0.005,-17.9%,-15.6%,-0.021,1.7%,0.3%,0.7%,-8.1%,-2.4%,-2.7%,2.8%,-9.8%,-6.0%,1997
0,Team,82.0,19755,2850,6327,0.45,548,1544,0.355,2302,4783,0.481,1539,2082,0.739,1028,2419,3447,1758,665,429,1226,1982,7787,1998
1,Team/G,,240.9,34.8,77.2,0.45,6.7,18.8,0.355,28.1,58.3,0.481,18.8,25.4,0.739,12.5,29.5,42.0,21.4,8.1,5.2,15.0,24.2,95.0,1998
2,Lg Rank,,24,24,25,17.0,3,3,10.0,29,29,9.0,17,21,17.0,19,9,10,18,15,11,10,28,16,1998
3,Year/Year,,-0.3%,1.0%,1.5%,-0.002,-19.2%,-17.2%,-0.009,7.4%,9.5%,-0.009,5.8%,3.0%,0.02,7.4%,0.7%,2.6%,1.3%,2.3%,-2.3%,-6.1%,3.3%,0.1%,1998
