,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,0.5%,-3.9%,-6.0%,0.01,8.1%,12.9%,-0.032,-10.1%,1.7%,-1.7%,-9.1%,-2.0%,-1.8%,1976,-25.1%,18.6%,4.9%,,,,,,
4,Opponent,82.0,19905,3377,7636,0.442,1482,1992,0.744,1145,2687,3832,1705,1988,8236,1976,810,338,1510,,,,,,
5,Opponent/G,,242.7,41.2,93.1,0.442,18.1,24.3,0.744,14.0,32.8,46.7,20.8,24.2,100.4,1976,9.9,4.1,18.4,,,,,,
6,Lg Rank,,1,3,13,1.0,1,1,7.0,8,7,7,3,11,3,1976,16,9,14,,,,,,
7,Year/Year,,0.5%,3.9%,3.0%,0.004,-1.1%,1.3%,-0.018,-3.3%,-4.7%,-4.3%,-5.9%,-0.8%,3.0%,1976,14.1%,30.5%,-18.0%,,,,,,
0,Team,82.0,19730,3514,7479,0.47,1622,2264,0.716,1185,2758,3943,1935,1940,8650,1977,642,433,1677,,,,,,
1,Team/G,,240.6,42.9,91.2,0.47,19.8,27.6,0.716,14.5,33.6,48.1,23.6,23.7,105.5,1977,7.8,5.3,20.5,,,,,,
2,Lg Rank,,15,12,14,11.0,16,11,21.0,16,3,8,15,4,13,1977,18,11,11,,,,,,
3,Year/Year,,-0.9%,2.9%,3.4%,-0.002,1.7%,2.2%,-0.004,16.3%,-1.9%,2.9%,6.1%,1.0%,2.6%,1977,-7.8%,-10.7%,0.3%,,,,,,
4,Opponent,82.0,19730,3552,7751,0.458,1462,1943,0.752,1167,2565,3732,1893,2088,8566,1977,815,348,1506,,,,,,
5,Opponent/G,,240.6,43.3,94.5,0.458,17.8,23.7,0.752,14.2,31.3,45.5,23.1,25.5,104.5,1977,9.9,4.2,18.4,,,,,,
6,Lg Rank,,15,12,16,6.0,3,3,11.0,8,7,5,8,11,6,1977,17,1,20,,,,,,
7,Year/Year,,-0.9%,5.2%,1.5%,0.016,-1.3%,-2.5%,0.008,1.9%,-4.5%,-2.6%,11.0%,5.0%,4.0%,1977,0.6%,3.0%,-0.3%,,,,,,
0,Team,82.0,19830,3580,7772,0.461,1887,2655,0.711,1349,2815,4164,1948,1879,9047,1978,668,386,1613,,,,,,
1,Team/G,,241.8,43.7,94.8,0.461,23.0,32.4,0.711,16.5,34.3,50.8,23.8,22.9,110.3,1978,8.1,4.7,19.7,,,,,,
2,Lg Rank,,6,8,6,15.0,4,3,22.0,3,3,2,16,3,7,1978,18,15,7,,,,,,
3,Year/Year,,0.5%,1.9%,3.9%,-0.009,16.3%,17.3%,-0.006,13.8%,2.1%,5.6%,0.7%,-3.1%,4.6%,1978,4.0%,-10.9%,-3.8%,,,,,,
4,Opponent,82.0,19830,3767,8065,0.467,1437,1895,0.758,1166,2683,3849,2144,2312,8971,1978,779,427,1437,,,,,,
5,Opponent/G,,241.8,45.9,98.4,0.467,17.5,23.1,0.758,14.2,32.7,46.9,26.1,28.2,109.4,1978,9.5,5.2,17.5,,,,,,
6,Lg Rank,,6,21,22,10.0,1,1,16.0,5,15,11,18,1,12,1978,12,14,20,,,,,,
7,Year/Year,,0.5%,6.1%,4.1%,0.009,-1.7%,-2.5%,0.006,-0.1%,4.6%,3.1%,13.3%,10.7%,4.7%,1978,-4.4%,22.7%,-4.6%,,,,,,
0,Team,82.0,19780,3819,7873,0.485,1785,2428,0.735,1309,2768,4077,2169,1804,9423,1979,614,401,1420,,,,,,
1,Team/G,,241.2,46.6,96.0,0.485,21.8,29.6,0.735,16.0,33.8,49.7,26.5,22.0,114.9,1979,7.5,4.9,17.3,,,,,,
2,Lg Rank,,6,5,1,11.0,11,5,16.0,4,1,1,8,1,3,1979,21,13,2,,,,,,
3,Year/Year,,-0.3%,6.7%,1.3%,0.024,-5.4%,-8.5%,0.024,-3.0%,-1.7%,-2.1%,11.3%,-4.0%,4.2%,1979,-8.1%,3.9%,-12.0%,,,,,,
4,Opponent,82.0,19780,3804,8011,0.475,1406,1897,0.741,1178,2541,3719,2180,2144,9014,1979,726,434,1338,,,,,,
5,Opponent/G,,241.2,46.4,97.7,0.475,17.1,23.1,0.741,14.4,31.0,45.4,26.6,26.1,109.9,1979,8.9,5.3,16.3,,,,,,
6,Lg Rank,,6,19,21,3.0,1,1,3.0,9,16,15,15,6,9,1979,9,11,22,,,,,,
7,Year/Year,,-0.3%,1.0%,-0.7%,0.008,-2.2%,0.1%,-0.017,1.0%,-5.3%,-3.4%,1.7%,-7.3%,0.5%,1979,-6.8%,1.6%,-6.9%,,,,,,
0,Team,82.0,19880,3574,7796,0.458,1552,2048,0.758,1334,2723,4057,2201,1893,8773,1980,530,443,1380,73.0,238.0,0.307,3501,7558,0.463
1,Team/G,,242.4,43.6,95.1,0.458,18.9,25.0,0.758,16.3,33.2,49.5,26.8,23.1,107.0,1980,6.5,5.4,16.8,0.9,2.9,0.307,42.7,92.2,0.463
2,Lg Rank,,4,11,2,22.0,21,20,14.0,5,1,1,7,5,18,1980,22,10,2,7.0,9.0,7.0,10,2,22.0
3,Year/Year,,0.5%,-6.4%,-1.0%,-0.027,-13.1%,-15.7%,0.023,1.9%,-1.6%,-0.5%,1.5%,4.9%,-6.9%,1980,-13.7%,10.5%,-2.8%,,,,-8.3%,-4.0%,-0.022
4,Opponent,82.0,19880,3615,7771,0.465,1696,2184,0.777,1197,2672,3869,2120,1901,8982,1980,734,519,1222,56.0,214.0,0.262,3559,7557,0.471
5,Opponent/G,,242.4,44.1,94.8,0.465,20.7,26.6,0.777,14.6,32.6,47.2,25.9,23.2,109.5,1980,9.0,6.3,14.9,0.7,2.6,0.262,43.4,92.2,0.471
6,Lg Rank,,4,13,20,5.0,7,8,21.0,7,22,19,12,16,13,1980,9,21,22,7.0,10.0,7.0,13,20,5.0
7,Year/Year,,0.5%,-5.0%,-3.0%,-0.01,20.6%,15.1%,0.035,1.6%,5.2%,4.0%,-2.8%,-11.3%,-0.4%,1980,1.1%,19.6%,-8.7%,,,,-6.4%,-5.7%,-0.004
0,Team,82.0,19780,3549,7517,0.472,1499,2072,0.723,1155,2533,3688,2151,1895,8662,1981,641,392,1422,65,241,0.27,3484,7276,0.479
1,Team/G,,241.2,43.3,91.7,0.472,18.3,25.3,0.723,14.1,30.9,45.0,26.2,23.1,105.6,1981,7.8,4.8,17.3,0.8,2.9,0.27,42.5,88.7,0.479
2,Lg Rank,,11,13,4,19.0,22,22,20.0,16,3,7,8,1,18,1981,18,14,3,3,3,7.0,12,6,19.0
3,Year/Year,,-0.5%,-0.7%,-3.6%,0.014,-3.4%,1.2%,-0.034,-13.4%,-7.0%,-9.1%,-2.3%,0.1%,-1.3%,1981,20.9%,-11.5%,3.0%,-11.0%,1.3%,-0.037,-0.5%,-3.7%,0.016
4,Opponent,82.0,19780,3518,7491,0.47,1588,2161,0.735,1204,2638,3842,2060,1888,8661,1981,739,469,1410,37,176,0.21,3481,7315,0.476
5,Opponent/G,,241.2,42.9,91.4,0.47,19.4,26.4,0.735,14.7,32.2,46.9,25.1,23.0,105.6,1981,9.0,5.7,17.2,0.5,2.1,0.21,42.5,89.2,0.476
6,Lg Rank,,11,12,20,7.0,3,4,1.0,14,22,22,11,21,4,1981,14,17,20,10,17,3.0,13,20,7.0
7,Year/Year,,-0.5%,-2.7%,-3.6%,0.004,-6.4%,-1.1%,-0.042,0.6%,-1.3%,-0.7%,-2.8%,-0.7%,-3.6%,1981,0.7%,-9.6%,15.4%,-33.9%,-17.8%,-0.051,-2.2%,-3.2%,0.005
0,Team,82.0,19830,3400,7168,0.474,1626,2105,0.772,1047,2583,3630,1983,2072,8485,1982,643,397,1390,59,236,0.25,3341,6932,0.482
1,Team/G,,241.8,41.5,87.4,0.474,19.8,25.7,0.772,12.8,31.5,44.3,24.2,25.3,103.5,1982,7.8,4.8,17.0,0.7,2.9,0.25,40.7,84.5,0.482
2,Lg Rank,,6,19,16,19.0,18,23,3.0,22,1,10,16,9,20,1982,17,15,7,5,5,14.0,19,17,18.0
3,Year/Year,,0.3%,-4.2%,-4.6%,0.002,8.5%,1.6%,0.049,-9.4%,2.0%,-1.6%,-7.8%,9.3%,-2.0%,1982,0.3%,1.3%,-2.3%,-9.2%,-2.1%,-0.02,-4.1%,-4.7%,0.003
4,Opponent,82.0,19830,3362,7229,0.465,1645,2237,0.735,1110,2516,3626,1889,1907,8413,1982,624,543,1325,44,183,0.24,3318,7046,0.471
5,Opponent/G,,241.8,41.0,88.2,0.465,20.1,27.3,0.735,13.5,30.7,44.2,23.0,23.3,102.6,1982,7.6,6.6,16.2,0.5,2.2,0.24,40.5,85.9,0.471
6,Lg Rank,,6,5,13,2.0,8,10,5.0,3,19,16,3,23,2,1982,3,21,22,8,8,8.0,6,13,2.0
7,Year/Year,,0.3%,-4.4%,-3.5%,-0.005,3.6%,3.5%,0.001,-7.8%,-4.6%,-5.6%,-8.3%,1.0%,-2.9%,1982,-15.6%,15.8%,-6.0%,18.9%,4.0%,0.03,-4.7%,-3.7%,-0.005
0,Team,82.0,19805,3306,7059,0.468,1452,2059,0.705,1099,2430,3529,2046,1958,8134,1983,733,400,1588,70,237,0.295,3236,6822,0.474
1,Team/G,,241.5,40.3,86.1,0.468,17.7,25.1,0.705,13.4,29.6,43.0,25.0,23.9,99.2,1983,8.9,4.9,19.4,0.9,2.9,0.295,39.5,83.2,0.474
2,Lg Rank,,8,21,21,21.0,20,19,22.0,19,13,20,16,2,22,1983,13,17,16,3,5,2.0,22,22,21.0
3,Year/Year,,-0.1%,-2.8%,-1.5%,-0.006,-10.7%,-2.2%,-0.067,5.0%,-5.9%,-2.8%,3.2%,-5.5%,-4.1%,1983,14.0%,0.8%,14.2%,18.6%,0.4%,0.045,-3.1%,-1.6%,-0.008
4,Opponent,82.0,19805,3299,7044,0.468,1510,2084,0.725,1114,2514,3628,1871,1975,8145,1983,698,555,1543,37,163,0.227,3262,6881,0.474
5,Opponent/G,,241.5,40.2,85.9,0.468,18.4,25.4,0.725,13.6,30.7,44.2,22.8,24.1,99.3,1983,8.5,6.8,18.8,0.5,2.0,0.227,39.8,83.9,0.474
6,Lg Rank,,8,2,5,5.0,2,3,5.0,5,17,11,1,18,2,1983,8,19,15,5,5,8.0,3,5,5.0
7,Year/Year,,-0.1%,-1.9%,-2.6%,0.003,-8.2%,-6.8%,-0.011,0.4%,-0.1%,0.1%,-1.0%,3.6%,-3.2%,1983,11.9%,2.2%,16.5%,-15.9%,-10.9%,-0.013,-1.7%,-2.3%,0.003
0,Team,82.0,19905,3344,6907,0.484,1664,2201,0.756,1027,2387,3414,2192,1989,8423,1984,556,320,1448,71,282,0.252,3273,6625,0.494
1,Team/G,,242.7,40.8,84.2,0.484,20.3,26.8,0.756,12.5,29.1,41.6,26.7,24.3,102.7,1984,6.8,3.9,17.7,0.9,3.4,0.252,39.9,80.8,0.494
2,Lg Rank,,6,21,20,17.0,20,20,11.0,22,10,17,10,5,21,1984,23,23,10,5,3,11.0,22,23,16.0
3,Year/Year,,0.5%,1.1%,-2.2%,0.016,14.6%,6.9%,0.051,-6.6%,-1.8%,-3.3%,7.1%,1.6%,3.6%,1984,-24.1%,-20.0%,-8.8%,1.4%,19.0%,-0.044,1.1%,-2.9%,0.02
4,Opponent,82.0,19905,3465,7086,0.489,1693,2218,0.763,1037,2381,3418,2038,2021,8660,1984,706,492,1277,37,172,0.215,3428,6914,0.496
5,Opponent/G,,242.7,42.3,86.4,0.489,20.6,27.0,0.763,12.6,29.0,41.7,24.9,24.6,105.6,1984,8.6,6.0,15.6,0.5,2.1,0.215,41.8,84.3,0.496
6,Lg Rank,,6,8,9,11.0,4,4,17.0,2,11,9,6,19,6,1984,14,18,21,4,5,7.0,8,9,10.0
7,Year/Year,,0.5%,5.0%,0.6%,0.021,12.1%,6.4%,0.039,-6.9%,-5.3%,-5.8%,8.9%,2.3%,6.3%,1984,1.1%,-11.4%,-17.2%,0.0%,5.5%,-0.012,5.1%,0.5%,0.022
0,Team,82.0,19855,3534,7383,0.479,1478,1989,0.743,1012,2395,3407,2088,1869,8655,1985,709,393,1282,109,398,0.274,3425,6985,0.49
1,Team/G,,242.1,43.1,90.0,0.479,18.0,24.3,0.743,12.3,29.2,41.5,25.5,22.8,105.5,1985,8.6,4.8,15.6,1.3,4.9,0.274,41.8,85.2,0.49
2,Lg Rank,,2,12,6,18.0,23,23,20.0,23,10,21,16,4,21,1985,10,16,2,4,2,12.0,13,13,15.0
3,Year/Year,,-0.3%,5.7%,6.9%,-0.005,-11.2%,-9.6%,-0.013,-1.5%,0.3%,-0.2%,-4.7%,-6.0%,2.8%,1985,27.5%,22.8%,-11.5%,53.5%,41.1%,0.022,4.6%,5.4%,-0.004
4,Opponent,82.0,19855,3494,7179,0.487,1623,2172,0.747,1119,2673,3792,1988,1833,8677,1985,630,397,1467,66,232,0.284,3428,6947,0.493
