,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
5,Opponent/G,,241.2,37.7,79.4,0.474,5.7,15.2,0.377,32.0,64.2,0.498,22.2,30.4,0.731,14.3,28.1,42.4,25.2,8.6,6.2,16.1,24.2,103.2,1995
6,Lg Rank,,21,11,9,19.0,18,16,23.0,11,8,18.0,22,24,10.0,25,11,20,23,20,26,13,8,17,1995
7,Year/Year,,0.3%,-4.8%,-5.3%,0.002,106.2%,68.4%,0.069,-13.2%,-14.2%,0.006,2.1%,1.6%,0.003,6.1%,0.4%,2.2%,-1.9%,-14.7%,-6.7%,13.7%,6.8%,-0.4%,1995
0,Team,82.0,19780,2974,6481,0.459,279,857,0.326,2695,5624,0.479,1797,2314,0.777,985,2271,3256,1867,650,481,1426,1994,8024,1996
1,Team/G,,241.2,36.3,79.0,0.459,3.4,10.5,0.326,32.9,68.6,0.479,21.9,28.2,0.777,12.0,27.7,39.7,22.8,7.9,5.9,17.4,24.3,97.9,1996
2,Lg Rank,,17,22,21,18.0,28,28,29.0,6,3,19.0,4,7,1.0,18,20,23,14,13,7,26,23,19,1996
3,Year/Year,,0.0%,6.5%,4.2%,0.01,-12.3%,-15.6%,0.013,8.9%,8.1%,0.004,-1.5%,-1.7%,0.002,11.6%,8.7%,9.5%,4.9%,6.7%,19.7%,1.9%,-3.9%,3.9%,1996
4,Opponent,82.0,19780,3086,6586,0.469,530,1393,0.38,2556,5193,0.492,1761,2368,0.744,1036,2317,3353,1966,725,498,1343,1940,8463,1996
5,Opponent/G,,241.2,37.6,80.3,0.469,6.5,17.0,0.38,31.2,63.3,0.492,21.5,28.9,0.744,12.6,28.3,40.9,24.0,8.8,6.1,16.4,23.7,103.2,1996
6,Lg Rank,,17,18,14,18.0,24,23,23.0,12,11,18.0,22,23,18.0,15,15,13,21,26,26,10,11,23,1996
7,Year/Year,,0.0%,-0.1%,1.2%,-0.006,13.2%,12.1%,0.004,-2.4%,-1.4%,-0.005,-3.2%,-4.9%,0.013,-11.4%,0.5%,-3.5%,-5.0%,3.1%,-2.7%,1.5%,-2.1%,-0.0%,1996
0,Team,82.0,19780,2937,6436,0.456,371,1093,0.339,2566,5343,0.48,1637,2180,0.751,957,2302,3259,1874,618,557,1243,1818,7882,1997
1,Team/G,,241.2,35.8,78.5,0.456,4.5,13.3,0.339,31.3,65.2,0.48,20.0,26.6,0.751,11.7,28.1,39.7,22.9,7.5,6.8,15.2,22.2,96.1,1997
2,Lg Rank,,22,17,18,13.0,26,25,25.0,9,9,15.0,7,8,9.0,21,16,23,9,24,2,9,16,17,1997
3,Year/Year,,0.0%,-1.2%,-0.7%,-0.003,33.0%,27.5%,0.014,-4.8%,-5.0%,0.001,-8.9%,-5.8%,-0.026,-2.8%,1.4%,0.1%,0.4%,-4.9%,15.8%,-12.8%,-8.8%,-1.8%,1997
4,Opponent,82.0,19780,2945,6539,0.45,467,1290,0.362,2478,5249,0.472,1646,2184,0.754,1069,2364,3433,1785,654,445,1283,1829,8003,1997
5,Opponent/G,,241.2,35.9,79.7,0.45,5.7,15.7,0.362,30.2,64.0,0.472,20.1,26.6,0.754,13.0,28.8,41.9,21.8,8.0,5.4,15.6,22.3,97.6,1997
6,Lg Rank,,22,12,17,13.0,7,7,15.0,15,19,12.0,23,20,29.0,20,19,19,14,10,23,17,12,17,1997
7,Year/Year,,0.0%,-4.6%,-0.7%,-0.018,-11.9%,-7.4%,-0.018,-3.1%,1.1%,-0.02,-6.5%,-7.8%,0.01,3.2%,2.0%,2.4%,-9.2%,-9.8%,-10.6%,-4.5%,-5.7%,-5.4%,1997
0,Team,82.0,19930,3157,6844,0.461,303,873,0.347,2854,5971,0.478,1673,2253,0.743,1063,2429,3492,2068,639,427,1138,1882,8290,1998
1,Team/G,,243.0,38.5,83.5,0.461,3.7,10.6,0.347,34.8,72.8,0.478,20.4,27.5,0.743,13.0,29.6,42.6,25.2,7.8,5.2,13.9,23.0,101.1,1998
2,Lg Rank,,3,1,4,8.0,19,22,15.0,1,3,11.0,7,7,15.0,14,8,7,3,22,13,1,21,2,1998
3,Year/Year,,0.8%,7.5%,6.3%,0.005,-18.3%,-20.1%,0.008,11.2%,11.8%,-0.002,2.2%,3.3%,-0.008,11.1%,5.5%,7.1%,10.4%,3.4%,-23.3%,-8.4%,3.5%,5.2%,1998
4,Opponent,82.0,19930,3076,6860,0.448,432,1206,0.358,2644,5654,0.468,1648,2220,0.742,1116,2411,3527,1909,609,412,1228,1863,8232,1998
5,Opponent/G,,243.0,37.5,83.7,0.448,5.3,14.7,0.358,32.2,69.0,0.468,20.1,27.1,0.742,13.6,29.4,43.0,23.3,7.4,5.0,15.0,22.7,100.4,1998
6,Lg Rank,,3,23,29,15.0,29,28,23.0,21,21,13.0,19,17,18.0,21,22,24,23,2,17,20,11,25,1998
