,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,-0.4%,4.1%,0.1%,0.017,-5.4%,-10.3%,0.039,,,-6.6%,2.1%,-1.8%,1.9%,1970,,,,,,,,,
4,Opponent,82.0,19830,,,,,,,,,,,,9476,1970,,,,,,,,,
5,Opponent/G,,241.8,,,,,,,,,,,,115.6,1970,,,,,,,,,
6,Lg Rank,,5,,,,,,,,,,,,4,1970,,,,,,,,,
7,Year/Year,,-0.4%,,,,,,,,,,,,4.3%,1970,,,,,,,,,
0,Team,82.0,19705,3454,7709,0.448,1875,2468,0.76,,,4643,1893,1833,8783,1971,,,,,,,,,
1,Team/G,,240.3,42.1,94.0,0.448,22.9,30.1,0.76,,,56.6,23.1,22.4,107.1,1971,,,,,,,,,
2,Lg Rank,,16,15,16,10.0,13,14,2.0,,,3,14,3,15,1971,,,,,,,,,
3,Year/Year,,-0.6%,-2.8%,-6.3%,0.016,-6.4%,-6.7%,0.002,,,-2.7%,1.7%,-10.6%,-3.6%,1971,,,,,,,,,
4,Opponent,82.0,19705,3583,8371,0.428,1735,2318,0.748,,,4305,1949,1882,8901,1971,,,,,,,,,
5,Opponent/G,,240.3,43.7,102.1,0.428,21.2,28.3,0.748,,,52.5,23.8,23.0,108.5,1971,,,,,,,,,
6,Lg Rank,,16,9,15,2.0,4,3,13.0,,,8,7,16,4,1971,,,,,,,,,
7,Year/Year,,-0.6%,,,,,,,,,,,,-6.1%,1971,,,,,,,,,
0,Team,82.0,19705,3477,7923,0.439,1917,2500,0.767,,,4450,1854,1840,8871,1972,,,,,,,,,
1,Team/G,,240.3,42.4,96.6,0.439,23.4,30.5,0.767,,,54.3,22.6,22.4,108.2,1972,,,,,,,,,
2,Lg Rank,,17,12,6,15.0,9,9,3.0,,,3,13,3,11,1972,,,,,,,,,
3,Year/Year,,0.0%,0.7%,2.8%,-0.009,2.2%,1.3%,0.007,,,-4.2%,-2.1%,0.4%,1.0%,1972,,,,,,,,,
4,Opponent,82.0,19705,3560,8082,0.44,1688,2265,0.745,,,4381,1968,1912,8808,1972,,,,,,,,,
5,Opponent/G,,240.3,43.4,98.6,0.44,20.6,27.6,0.745,,,53.4,24.0,23.3,107.4,1972,,,,,,,,,
