,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
5,Opponent/G,,241.5,42.4,90.6,0.469,0.7,2.5,0.279,41.7,88.0,0.474,23.9,31.4,0.761,15.7,31.7,47.3,26.7,20.6,24.9,109.5,1980,10.4,6.3
6,Lg Rank,,12,9,10,6.0,10.0,8.0,13.0,9,12,6.0,20,21,9.0,15,19,20,15,4,9,12,1980,19,20
7,Year/Year,,0.3%,-0.8%,1.7%,-0.011,,,,-2.4%,-1.2%,-0.006,-9.4%,-10.1%,0.006,4.1%,-2.7%,-0.5%,0.2%,-11.8%,-7.5%,-2.2%,1980,-1.4%,4.5%
0,Team,82.0,19805,3477,7314,0.475,34,138,0.246,3443,7176,0.48,1780,2371,0.751,1092,2374,3466,2068,1664,2204,8768,1981,750,458
1,Team/G,,241.5,42.4,89.2,0.475,0.4,1.7,0.246,42.0,87.5,0.48,21.7,28.9,0.751,13.3,29.0,42.3,25.2,20.3,26.9,106.9,1981,9.1,5.6
2,Lg Rank,,7,16,9,17.0,12,15,10.0,16,9,18.0,14,12,13.0,20,13,17,12,19,22,15,1981,10,11
3,Year/Year,,0.0%,0.6%,-2.5%,0.015,-60.0%,-53.7%,-0.039,2.1%,-0.4%,0.012,-5.4%,-1.5%,-0.031,-11.1%,-6.4%,-7.9%,-1.2%,-2.2%,1.1%,-1.3%,1981,-13.7%,-21.2%
4,Opponent,82.0,19805,3612,7159,0.505,28,130,0.215,3584,7029,0.51,2010,2663,0.755,1059,2499,3558,2144,1637,2092,9262,1981,815,502
5,Opponent/G,,241.5,44.0,87.3,0.505,0.3,1.6,0.215,43.7,85.7,0.51,24.5,32.5,0.755,12.9,30.5,43.4,26.1,20.0,25.5,113.0,1981,9.9,6.1
6,Lg Rank,,7,19,9,19.0,1,2,5.0,20,13,18.0,21,22,16.0,1,19,11,17,8,9,22,1981,21,20
7,Year/Year,,0.0%,3.8%,-3.6%,0.036,-51.7%,-37.5%,-0.063,4.7%,-2.6%,0.036,2.7%,3.5%,-0.006,-17.6%,-3.7%,-8.3%,-2.1%,-3.3%,2.4%,3.2%,1981,-4.0%,-2.3%
0,Team,82.0,19780,3501,7227,0.484,30,146,0.205,3471,7081,0.49,1714,2354,0.728,1194,2320,3514,2096,1650,2295,8746,1982,918,481
1,Team/G,,241.2,42.7,88.1,0.484,0.4,1.8,0.205,42.3,86.4,0.49,20.9,28.7,0.728,14.6,28.3,42.9,25.6,20.1,28.0,106.7,1982,11.2,5.9
2,Lg Rank,,15,17,11,16.0,17,16,20.0,12,10,16.0,12,11,18.0,8,17,13,10,23,21,14,1982,1,9
3,Year/Year,,-0.1%,0.7%,-1.2%,0.009,-11.8%,5.8%,-0.041,0.8%,-1.3%,0.01,-3.7%,-0.7%,-0.023,9.3%,-2.3%,1.4%,1.4%,-0.8%,4.1%,-0.3%,1982,22.4%,5.0%
4,Opponent,82.0,19780,3343,6934,0.482,58,187,0.31,3285,6747,0.487,1946,2597,0.749,1142,2346,3488,1931,1809,2164,8690,1982,832,539
5,Opponent/G,,241.2,40.8,84.6,0.482,0.7,2.3,0.31,40.1,82.3,0.487,23.7,31.7,0.749,13.9,28.6,42.5,23.5,22.1,26.4,106.0,1982,10.1,6.6
6,Lg Rank,,15,3,2,8.0,19,11,22.0,3,2,8.0,21,21,13.0,9,8,7,4,1,10,10,1982,23,20
7,Year/Year,,-0.1%,-7.4%,-3.1%,-0.022,107.1%,43.8%,0.095,-8.3%,-4.0%,-0.023,-3.2%,-2.5%,-0.005,7.8%,-6.1%,-2.0%,-9.9%,10.5%,3.4%,-6.2%,1982,2.1%,7.4%
0,Team,82.0,19705,3510,7140,0.492,30,149,0.201,3480,6991,0.498,1622,2301,0.705,1266,2427,3693,2143,1873,2166,8672,1983,911,592
1,Team/G,,240.3,42.8,87.1,0.492,0.4,1.8,0.201,42.4,85.3,0.498,19.8,28.1,0.705,15.4,29.6,45.0,26.1,22.8,26.4,105.8,1983,11.1,7.2
2,Lg Rank,,23,16,18,9.0,18,17,21.0,16,17,9.0,14,12,23.0,9,14,8,11,23,18,18,1983,1,3
