,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19805,3582,7489,0.478,1671,2250,0.743,1187,2429,3616,2123,2135,8860,1980,863,356,1439,25.0,114.0,0.219,3557,7375,0.482
1,Team/G,,241.5,43.7,91.3,0.478,20.4,27.4,0.743,14.5,29.6,44.1,25.9,26.0,108.0,1980,10.5,4.3,17.5,0.3,1.4,0.219,43.4,89.9,0.482
2,Lg Rank,,12,10,12,13.0,14,13,18.0,15,12,15,12,18,15,1980,5,16,3,20.0,20.0,17.0,7,8,13.0
3,Year/Year,,-0.3%,-4.8%,-2.0%,-0.014,-4.3%,-5.9%,0.013,-0.3%,1.0%,0.6%,-5.2%,-11.7%,-4.5%,1980,4.6%,-8.7%,-11.8%,,,,-5.5%,-3.5%,-0.01
4,Opponent,82.0,19805,3328,6992,0.476,1906,2497,0.763,1140,2644,3784,1778,2072,8603,1980,695,425,1762,41.0,172.0,0.238,3287,6820,0.482
5,Opponent/G,,241.5,40.6,85.3,0.476,23.2,30.5,0.763,13.9,32.2,46.1,21.7,25.3,104.9,1980,8.5,5.2,21.5,0.5,2.1,0.238,40.1,83.2,0.482
6,Lg Rank,,12,2,3,9.0,19,18,10.0,3,21,16,2,5,4,1980,3,12,1,1.0,1.0,2.0,2,3,9.0
7,Year/Year,,-0.3%,-3.1%,-1.0%,-0.01,-12.2%,-13.8%,0.014,-1.4%,3.8%,2.2%,0.1%,-6.8%,-4.8%,1980,2.5%,-2.3%,-6.2%,,,,-4.3%,-3.4%,-0.004
0,Team,82.0,19830,3572,7151,0.5,1576,2206,0.714,1037,2450,3487,2271,2092,8769,1981,719,385,1448,49,168,0.292,3523,6983,0.505
1,Team/G,,241.8,43.6,87.2,0.5,19.2,26.9,0.714,12.6,29.9,42.5,27.7,25.5,106.9,1981,8.8,4.7,17.7,0.6,2.0,0.292,43.0,85.2,0.505
2,Lg Rank,,5,9,15,5.0,19,18,23.0,22,8,16,4,15,14,1981,14,17,7,7,9,2.0,9,16,5.0
3,Year/Year,,0.1%,-0.3%,-4.5%,0.021,-5.7%,-2.0%,-0.028,-12.6%,0.9%,-3.6%,7.0%,-2.0%,-1.0%,1981,-16.7%,8.1%,0.6%,96.0%,47.4%,0.072,-1.0%,-5.3%,0.022
4,Opponent,82.0,19830,3424,7117,0.481,1889,2500,0.756,1138,2510,3648,1857,2015,8768,1981,717,383,1520,31,153,0.203,3393,6964,0.487
5,Opponent/G,,241.8,41.8,86.8,0.481,23.0,30.5,0.756,13.9,30.6,44.5,22.6,24.6,106.9,1981,8.7,4.7,18.5,0.4,1.9,0.203,41.4,84.9,0.487
6,Lg Rank,,5,6,8,9.0,20,19,18.0,5,21,16,1,15,10,1981,11,5,12,3,8,2.0,7,8,9.0
7,Year/Year,,0.1%,2.9%,1.8%,0.005,-0.9%,0.1%,-0.008,-0.2%,-5.1%,-3.6%,4.4%,-2.8%,1.9%,1981,3.2%,-9.9%,-13.7%,-24.4%,-11.0%,-0.036,3.2%,2.1%,0.005
0,Team,82.0,19880,3604,7284,0.495,1551,2158,0.719,1086,2276,3362,2056,2359,8785,1982,743,402,1507,26,130,0.2,3578,7154,0.5
1,Team/G,,242.4,44.0,88.8,0.495,18.9,26.3,0.719,13.2,27.8,41.0,25.1,28.8,107.1,1982,9.1,4.9,18.4,0.3,1.6,0.2,43.6,87.2,0.5
2,Lg Rank,,1,9,10,10.0,22,21,21.0,21,19,21,12,23,13,1982,7,14,17,20,20,21.0,7,8,10.0
3,Year/Year,,0.3%,0.9%,1.9%,-0.005,-1.6%,-2.2%,0.004,4.7%,-7.1%,-3.6%,-9.5%,12.8%,0.2%,1982,3.3%,4.4%,4.1%,-46.9%,-22.6%,-0.092,1.6%,2.4%,-0.004
