,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
2,Lg Rank,,5,3,1,12.0,9,10,5.0,,,1,6,15,2,1971,,,,,,,,,
3,Year/Year,,0.0%,4.4%,4.6%,-0.001,-6.2%,-2.3%,-0.031,,,11.5%,9.4%,-7.8%,2.0%,1971,,,,,,,,,
4,Opponent,82.0,19780,3612,8211,0.44,2214,2982,0.742,,,4342,1910,1962,9438,1971,,,,,,,,,
5,Opponent/G,,241.2,44.0,100.1,0.44,27.0,36.4,0.742,,,53.0,23.3,23.9,115.1,1971,,,,,,,,,
6,Lg Rank,,5,10,12,4.0,14,13,8.0,,,9,3,10,13,1971,,,,,,,,,
7,Year/Year,,0.0%,,,,,,,,,,,,-1.4%,1971,,,,,,,,,
0,Team,82.0,19730,3819,8431,0.453,1839,2367,0.777,,,4462,2230,2030,9477,1972,,,,,,,,,
1,Team/G,,240.6,46.6,102.8,0.453,22.4,28.9,0.777,,,54.4,27.2,24.8,115.6,1972,,,,,,,,,
2,Lg Rank,,14,2,1,9.0,10,15,2.0,,,2,2,14,3,1972,,,,,,,,,
3,Year/Year,,-0.3%,0.4%,-2.1%,0.011,-8.0%,-10.6%,0.022,,,-7.7%,8.7%,-5.1%,-1.4%,1972,,,,,,,,,
4,Opponent,82.0,19730,3498,7886,0.444,2089,2766,0.755,,,4179,1798,1842,9085,1972,,,,,,,,,
5,Opponent/G,,240.6,42.7,96.2,0.444,25.5,33.7,0.755,,,51.0,21.9,22.5,110.8,1972,,,,,,,,,
6,Lg Rank,,14,5,10,5.0,14,14,13.0,,,7,2,15,9,1972,,,,,,,,,
7,Year/Year,,-0.3%,-3.2%,-4.0%,0.004,-5.6%,-7.2%,0.013,,,-3.8%,-5.9%,-6.1%,-3.7%,1972,,,,,,,,,
0,Team,82.0,19730,3811,8511,0.448,1616,2073,0.78,,,4802,2320,1805,9238,1973,,,,,,,,,
1,Team/G,,240.6,46.5,103.8,0.448,19.7,25.3,0.78,,,58.6,28.3,22.0,112.7,1973,,,,,,,,,
2,Lg Rank,,10,1,1,14.0,6,10,5.0,,,1,1,6,2,1973,,,,,,,,,
3,Year/Year,,0.0%,-0.2%,0.9%,-0.005,-12.1%,-12.4%,0.003,,,7.6%,4.0%,-11.1%,-2.5%,1973,,,,,,,,,
4,Opponent,82.0,19730,3513,8095,0.434,1540,2032,0.758,,,3958,1957,1821,8566,1973,,,,,,,,,
5,Opponent/G,,240.6,42.8,98.7,0.434,18.8,24.8,0.758,,,48.3,23.9,22.2,104.5,1973,,,,,,,,,
6,Lg Rank,,10,5,12,3.0,7,7,10.0,,,3,6,12,6,1973,,,,,,,,,
7,Year/Year,,0.0%,0.4%,2.7%,-0.01,-26.3%,-26.5%,0.003,,,-5.3%,8.8%,-1.1%,-5.7%,1973,,,,,,,,,
0,Team,82.0,19780,3630,7969,0.456,1677,2097,0.8,1378.0,3074.0,4452,2187,1868,8937,1974,561.0,305.0,1796.0,,,,,,
1,Team/G,,241.2,44.3,97.2,0.456,20.5,25.6,0.8,16.8,37.5,54.3,26.7,22.8,109.0,1974,6.8,3.7,21.9,,,,,,
2,Lg Rank,,3,4,3,11.0,7,10,2.0,2.0,1.0,1,3,3,4,1974,16.0,12.0,13.0,,,,,,
3,Year/Year,,0.3%,-4.7%,-6.4%,0.008,3.8%,1.2%,0.02,,,-7.3%,-5.7%,3.5%,-3.3%,1974,,,,,,,,,
4,Opponent,82.0,19780,3561,8047,0.443,1494,1936,0.772,1131.0,2604.0,3735,1934,1858,8616,1974,540.0,309.0,1599.0,,,,,,
5,Opponent/G,,241.2,43.4,98.1,0.443,18.2,23.6,0.772,13.8,31.8,45.5,23.6,22.7,105.1,1974,6.6,3.8,19.5,,,,,,
6,Lg Rank,,3,9,15,3.0,4,4,9.0,2.0,2.0,1,7,12,7,1974,2.0,1.0,14.0,,,,,,
7,Year/Year,,0.3%,1.4%,-0.6%,0.009,-3.0%,-4.7%,0.014,,,-5.6%,-1.2%,2.0%,0.6%,1974,,,,,,,,,
0,Team,82.0,19755,3587,7825,0.458,1560,1971,0.791,1315,2949,4264,2159,1913,8734,1975,662,288,1625,,,,,,
1,Team/G,,240.9,43.7,95.4,0.458,19.0,24.0,0.791,16.0,36.0,52.0,26.3,23.3,106.5,1975,8.1,3.5,19.8,,,,,,
2,Lg Rank,,13,2,2,9.0,9,12,3.0,4,1,2,2,4,3,1975,14,15,11,,,,,,
3,Year/Year,,-0.1%,-1.2%,-1.8%,0.003,-7.0%,-6.0%,-0.008,-4.6%,-4.1%,-4.2%,-1.3%,2.4%,-2.3%,1975,18.0%,-5.6%,-9.5%,,,,,,
4,Opponent,82.0,19755,3432,7726,0.444,1401,1882,0.744,1060,2622,3682,1833,1869,8265,1975,599,283,1475,,,,,,
5,Opponent/G,,240.9,41.9,94.2,0.444,17.1,23.0,0.744,12.9,32.0,44.9,22.4,22.8,100.8,1975,7.3,3.5,18.0,,,,,,
6,Lg Rank,,13,11,16,3.0,1,2,2.0,3,6,5,5,16,6,1975,2,3,17,,,,,,
7,Year/Year,,-0.1%,-3.6%,-4.0%,0.002,-6.2%,-2.8%,-0.027,-6.3%,0.7%,-1.4%,-5.2%,0.6%,-4.1%,1975,10.9%,-8.4%,-7.8%,,,,,,
0,Team,82.0,19755,3527,7901,0.446,1654,2120,0.78,1369,2972,4341,1980,2002,8708,1976,561,260,1609,,,,,,
1,Team/G,,240.9,43.0,96.4,0.446,20.2,25.9,0.78,16.7,36.2,52.9,24.1,24.4,106.2,1976,6.8,3.2,19.6,,,,,,
2,Lg Rank,,13,5,2,17.0,9,13,2.0,3,1,1,6,5,6,1976,18,16,6,,,,,,
3,Year/Year,,0.0%,-1.7%,1.0%,-0.012,6.0%,7.6%,-0.011,4.1%,0.8%,1.8%,-8.3%,4.7%,-0.3%,1976,-15.3%,-9.7%,-1.0%,,,,,,
4,Opponent,82.0,19755,3489,7772,0.449,1538,2074,0.742,1037,2659,3696,1835,1895,8516,1976,650,334,1422,,,,,,
5,Opponent/G,,240.9,42.5,94.8,0.449,18.8,25.3,0.742,12.6,32.4,45.1,22.4,23.1,103.9,1976,7.9,4.1,17.3,,,,,,
6,Lg Rank,,13,13,17,5.0,2,3,5.0,2,6,3,8,16,6,1976,4,6,18,,,,,,
7,Year/Year,,0.0%,1.7%,0.6%,0.005,9.8%,10.2%,-0.003,-2.2%,1.4%,0.4%,0.1%,1.4%,3.0%,1976,8.5%,18.0%,-3.6%,,,,,,
0,Team,82.0,19830,3462,7775,0.445,1648,2181,0.756,1241,2966,4207,2010,2039,8572,1977,506,263,1673,,,,,,
1,Team/G,,241.8,42.2,94.8,0.445,20.1,26.6,0.756,15.1,36.2,51.3,24.5,24.9,104.5,1977,6.2,3.2,20.4,,,,,,
2,Lg Rank,,1,14,5,21.0,14,13,9.0,12,1,1,6,9,17,1977,22,22,10,,,,,,
3,Year/Year,,0.4%,-1.8%,-1.6%,-0.001,-0.4%,2.9%,-0.025,-9.3%,-0.2%,-3.1%,1.5%,1.8%,-1.6%,1977,-9.8%,1.2%,4.0%,,,,,,
4,Opponent,82.0,19830,3559,7904,0.45,1616,2180,0.741,1110,2753,3863,1918,1954,8734,1977,699,349,1369,,,,,,
5,Opponent/G,,241.8,43.4,96.4,0.45,19.7,26.6,0.741,13.5,33.6,47.1,23.4,23.8,106.5,1977,8.5,4.3,16.7,,,,,,
6,Lg Rank,,1,13,19,2.0,7,7,4.0,3,19,9,12,17,12,1977,3,2,22,,,,,,
7,Year/Year,,0.4%,2.0%,1.7%,0.001,5.1%,5.1%,-0.0,7.0%,3.5%,4.5%,4.5%,3.1%,2.6%,1977,7.5%,4.5%,-3.7%,,,,,,
0,Team,82.0,19830,3494,7635,0.458,1682,2159,0.779,1235,2850,4085,1969,2033,8670,1978,643,295,1652,,,,,,
1,Team/G,,241.8,42.6,93.1,0.458,20.5,26.3,0.779,15.1,34.8,49.8,24.0,24.8,105.7,1978,7.8,3.6,20.1,,,,,,
2,Lg Rank,,6,18,14,18.0,14,18,5.0,10,2,3,15,12,16,1978,22,22,11,,,,,,
3,Year/Year,,0.0%,0.9%,-1.8%,0.012,2.1%,-1.0%,0.023,-0.5%,-3.9%,-2.9%,-2.0%,-0.3%,1.1%,1978,27.1%,12.2%,-1.3%,,,,,,
4,Opponent,82.0,19830,3539,7761,0.456,1752,2278,0.769,1142,2575,3717,1981,1871,8830,1978,763,374,1412,,,,,,
5,Opponent/G,,241.8,43.2,94.6,0.456,21.4,27.8,0.769,13.9,31.4,45.3,24.2,22.8,107.7,1978,9.3,4.6,17.2,,,,,,
6,Lg Rank,,6,6,16,3.0,14,11,22.0,3,7,3,6,21,8,1978,10,5,21,,,,,,
7,Year/Year,,0.0%,-0.6%,-1.8%,0.006,8.4%,4.5%,0.028,2.9%,-6.5%,-3.8%,3.3%,-4.2%,1.1%,1978,9.2%,7.2%,3.1%,,,,,,
0,Team,82.0,19680,3527,7347,0.48,1820,2321,0.784,1119,2396,3515,1995,1977,8874,1979,710,283,1713,,,,,,
1,Team/G,,240.0,43.0,89.6,0.48,22.2,28.3,0.784,13.6,29.2,42.9,24.3,24.1,108.2,1979,8.7,3.5,20.9,,,,,,
2,Lg Rank,,21,16,18,15.0,8,12,3.0,19,16,19,16,7,16,1979,13,22,17,,,,,,
