,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19830,2944,6416,0.459,444,1232,0.36,2500,5184,0.482,1452,1897,0.765,824,2468,3292,1691,624,359,1069,1719,7784,2011
1,Team/G,,241.8,35.9,78.2,0.459,5.4,15.0,0.36,30.5,63.2,0.482,17.7,23.1,0.765,10.0,30.1,40.1,20.6,7.6,4.4,13.0,21.0,94.9,2011
2,Lg Rank,,12,26,26,18.0,22,25,14.0,16,13,20.0,23,21,15.0,24,19,24,21,9,20,3,18,27,2011
3,Year/Year,,0.0%,-7.4%,-6.2%,-0.006,-22.2%,-21.6%,-0.003,-4.1%,-1.6%,-0.012,12.3%,14.2%,-0.013,-3.3%,0.7%,-0.3%,-7.5%,-0.2%,19.7%,-3.1%,7.0%,-5.3%,2011
4,Opponent,82.0,19830,2882,6306,0.457,557,1562,0.357,2325,4744,0.49,1390,1805,0.77,769,2457,3226,1739,497,396,1192,1674,7711,2011
5,Opponent/G,,241.8,35.1,76.9,0.457,6.8,19.0,0.357,28.4,57.9,0.49,17.0,22.0,0.77,9.4,30.0,39.3,21.2,6.1,4.8,14.5,20.4,94.0,2011
6,Lg Rank,,12,6,2,13.0,19,19,12.0,2,1,16.0,5,4,22.0,1,12,3,15,1,17,10,20,5,2011
7,Year/Year,,0.0%,-11.3%,-6.3%,-0.026,3.3%,3.0%,0.001,-14.2%,-9.0%,-0.03,0.5%,-2.0%,0.019,-11.6%,-5.0%,-6.7%,-9.7%,-13.4%,7.9%,1.3%,4.8%,-8.4%,2011
0,Team,66.0,15940,2300,5103,0.451,259,777,0.333,2041,4326,0.472,1057,1397,0.757,724,1991,2715,1368,488,316,1024,1324,5916,2012
1,Team/G,,241.5,34.8,77.3,0.451,3.9,11.8,0.333,30.9,65.5,0.472,16.0,21.2,0.757,11.0,30.2,41.1,20.7,7.4,4.8,15.5,20.1,89.6,2012
2,Lg Rank,,16,24,29,13.0,30,30,22.0,13,9,17.0,20,21,15.0,20,19,24,16,21,21,27,21,29,2012
3,Year/Year,,-0.1%,-2.9%,-1.2%,-0.008,-27.5%,-21.6%,-0.027,1.4%,3.7%,-0.01,-9.6%,-8.5%,-0.009,9.2%,0.2%,2.5%,0.5%,-2.8%,9.4%,19.0%,-4.3%,-5.6%,2012
4,Opponent,66.0,15940,2305,5188,0.444,425,1342,0.317,1880,3846,0.489,1129,1487,0.759,731,1910,2641,1379,523,380,915,1235,6164,2012
5,Opponent/G,,241.5,34.9,78.6,0.444,6.4,20.3,0.317,28.5,58.3,0.489,17.1,22.5,0.759,11.1,28.9,40.0,20.9,7.9,5.8,13.9,18.7,93.4,2012
6,Lg Rank,,16,8,5,13.0,15,28,2.0,9,2,23.0,17,16,21.0,16,4,4,17,19,26,23,22,8,2012
7,Year/Year,,-0.1%,-0.6%,2.2%,-0.013,-5.2%,6.7%,-0.04,0.5%,0.7%,-0.001,0.9%,2.4%,-0.011,18.1%,-3.4%,1.7%,-1.5%,30.7%,19.2%,-4.6%,-8.3%,-0.7%,2012
0,Team,82.0,19780,2955,6589,0.448,535,1474,0.363,2420,5115,0.473,1269,1636,0.776,988,2426,3414,1721,520,440,1193,1673,7714,2013
1,Team/G,,241.2,36.0,80.4,0.448,6.5,18.0,0.363,29.5,62.4,0.473,15.5,20.0,0.776,12.0,29.6,41.6,21.0,6.3,5.4,14.5,20.4,94.1,2013
2,Lg Rank,,21,24,26,15.0,19,22,11.0,20,18,21.0,25,26,8.0,10,26,17,23,30,11,12,19,25,2013
3,Year/Year,,-0.1%,3.4%,3.9%,-0.002,66.3%,52.7%,0.03,-4.6%,-4.8%,0.001,-3.4%,-5.7%,0.019,9.8%,-1.9%,1.2%,1.3%,-14.2%,12.1%,-6.2%,1.7%,4.9%,2013
4,Opponent,82.0,19780,3030,6435,0.471,632,1688,0.374,2398,4747,0.505,1339,1764,0.759,835,2391,3226,1915,648,492,1086,1534,8031,2013
5,Opponent/G,,241.2,37.0,78.5,0.471,7.7,20.6,0.374,29.2,57.9,0.505,16.3,21.5,0.759,10.2,29.2,39.3,23.4,7.9,6.0,13.2,18.7,97.9,2013
6,Lg Rank,,21,13,4,26.0,24,19,27.0,9,3,27.0,13,11,19.0,2,6,4,22,16,25,27,27,14,2013
7,Year/Year,,-0.1%,5.8%,-0.2%,0.027,19.7%,1.2%,0.058,2.7%,-0.7%,0.016,-4.5%,-4.5%,-0.0,-8.1%,0.8%,-1.7%,11.8%,-0.3%,4.2%,-4.5%,-0.0%,4.9%,2013
0,Team,82.0,19855,3101,6761,0.459,486,1303,0.373,2615,5458,0.479,1489,1936,0.769,933,2486,3419,1745,647,523,1129,1857,8177,2014
1,Team/G,,242.1,37.8,82.5,0.459,5.9,15.9,0.373,31.9,66.6,0.479,18.2,23.6,0.769,11.4,30.3,41.7,21.3,7.9,6.4,13.8,22.6,99.7,2014
2,Lg Rank,,10,17,17,11.0,29,29,6.0,4,3,18.0,11,12,11.0,13,25,22,19,12,1,6,27,18,2014
3,Year/Year,,0.4%,4.9%,2.6%,0.01,-9.2%,-11.6%,0.01,8.1%,6.7%,0.006,17.3%,18.3%,-0.007,-5.6%,2.5%,0.1%,1.4%,24.4%,18.9%,-5.4%,11.0%,6.0%,2014
4,Opponent,82.0,19855,3055,6567,0.465,652,1827,0.357,2403,4740,0.507,1637,2176,0.752,881,2538,3419,1845,577,504,1185,1664,8399,2014
5,Opponent/G,,242.1,37.3,80.1,0.465,8.0,22.3,0.357,29.3,57.8,0.507,20.0,26.5,0.752,10.7,31.0,41.7,22.5,7.0,6.1,14.5,20.3,102.4,2014
6,Lg Rank,,10,12,5,24.0,14,20,13.0,11,4,27.0,28,29,8.0,15,8,9,20,4,29,15,19,19,2014
7,Year/Year,,0.4%,0.8%,2.1%,-0.006,3.2%,8.2%,-0.018,0.2%,-0.1%,0.002,22.3%,23.4%,-0.007,5.5%,6.1%,6.0%,-3.7%,-11.0%,2.4%,9.1%,8.5%,4.6%,2014
0,Team,82.0,19780,3108,6795,0.457,586,1583,0.37,2522,5212,0.484,1345,1790,0.751,942,2621,3563,1806,553,510,1087,1530,8147,2015
1,Team/G,,241.2,37.9,82.9,0.457,7.1,19.3,0.37,30.8,63.6,0.484,16.4,21.8,0.751,11.5,32.0,43.5,22.0,6.7,6.2,13.3,18.7,99.4,2015
2,Lg Rank,,23,11,19,10.0,19,23,4.0,12,9,21.0,20,20,17.0,10,19,16,11,25,1,6,6,16,2015
3,Year/Year,,-0.4%,0.2%,0.5%,-0.001,20.6%,21.5%,-0.003,-3.6%,-4.5%,0.005,-9.7%,-7.5%,-0.018,1.0%,5.4%,4.2%,3.5%,-14.5%,-2.5%,-3.7%,-17.6%,-0.4%,2015
4,Opponent,82.0,19780,3108,6814,0.456,537,1605,0.335,2571,5209,0.494,1329,1751,0.759,870,2537,3407,1700,555,475,1003,1533,8082,2015
5,Opponent/G,,241.2,37.9,83.1,0.456,6.5,19.6,0.335,31.4,63.5,0.494,16.2,21.4,0.759,10.6,30.9,41.5,20.7,6.8,5.8,12.2,18.7,98.6,2015
6,Lg Rank,,23,18,11,23.0,2,3,2.0,28,26,21.0,12,10,24.0,10,5,5,8,3,28,28,29,11,2015
7,Year/Year,,-0.4%,1.7%,3.8%,-0.009,-17.6%,-12.2%,-0.022,7.0%,9.9%,-0.013,-18.8%,-19.5%,0.007,-1.2%,-0.0%,-0.4%,-7.9%,-3.8%,-5.8%,-15.4%,-7.9%,-3.8%,2015
0,Team,82.0,19780,3153,7040,0.448,702,1951,0.36,2451,5089,0.482,1415,1823,0.776,782,2712,3494,1818,633,342,1102,1713,8423,2016
1,Team/G,,241.2,38.5,85.9,0.448,8.6,23.8,0.36,29.9,62.1,0.482,17.3,22.2,0.776,9.5,33.1,42.6,22.2,7.7,4.2,13.4,20.9,102.7,2016
