,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
6,Lg Rank,,29,1,3,6.0,6,5,11.0,3,4,6.0,21,19,27.0,20,8,11,6,16,29,4,17,4,2005
7,Year/Year,,-0.9%,-6.1%,-5.1%,-0.005,15.4%,11.4%,0.012,-9.3%,-8.4%,-0.005,2.2%,1.3%,0.006,-9.6%,-4.8%,-6.3%,-2.4%,-9.1%,3.3%,-6.6%,-2.0%,-3.3%,2005
0,Team,82.0,19855,2746,6125,0.448,590,1578,0.374,2156,4547,0.474,1476,2077,0.711,834,2379,3213,1586,600,442,1134,1757,7558,2006
1,Team/G,,242.1,33.5,74.7,0.448,7.2,19.2,0.374,26.3,55.5,0.474,18.0,25.3,0.711,10.2,29.0,39.2,19.3,7.3,5.4,13.8,21.4,92.2,2006
2,Lg Rank,,13,28,30,20.0,5,6,8.0,30,30,18.0,24,23,27.0,25,21,28,22,10,8,8,7,27,2006
3,Year/Year,,0.8%,-2.0%,-2.3%,0.002,11.1%,6.2%,0.017,-5.1%,-5.0%,-0.0,-3.3%,2.6%,-0.043,-6.0%,3.1%,0.6%,-7.6%,-14.2%,-7.1%,-5.3%,-8.0%,-1.3%,2006
4,Opponent,82.0,19855,2691,6172,0.436,408,1223,0.334,2283,4949,0.461,1465,1942,0.754,927,2404,3331,1605,597,456,1213,1867,7255,2006
5,Opponent/G,,242.1,32.8,75.3,0.436,5.0,14.9,0.334,27.8,60.4,0.461,17.9,23.7,0.754,11.3,29.3,40.6,19.6,7.3,5.6,14.8,22.8,88.5,2006
6,Lg Rank,,13,1,2,6.0,5,6,2.0,5,6,9.0,6,4,25.0,16,11,14,10,18,29,9,17,1,2006
7,Year/Year,,0.8%,0.3%,-0.7%,0.004,-4.2%,0.7%,-0.017,1.1%,-1.0%,0.01,-12.7%,-10.9%,-0.016,-6.6%,0.7%,-1.4%,-1.7%,-2.5%,-4.2%,-6.9%,0.8%,-2.9%,2006
0,Team,82.0,19980,2998,6448,0.465,500,1362,0.367,2498,5086,0.491,1835,2410,0.761,866,2375,3241,1680,564,407,1343,1827,8331,2007
1,Team/G,,243.7,36.6,78.6,0.465,6.1,16.6,0.367,30.5,62.0,0.491,22.4,29.4,0.761,10.6,29.0,39.5,20.5,6.9,5.0,16.4,22.3,101.6,2007
2,Lg Rank,,5,13,20,8.0,14,18,7.0,16,19,12.0,3,5,13.0,23,23,26,19,23,13,26,16,6,2007
3,Year/Year,,0.6%,9.2%,5.3%,0.017,-15.3%,-13.7%,-0.007,15.9%,11.9%,0.017,24.3%,16.0%,0.051,3.8%,-0.2%,0.9%,5.9%,-6.0%,-7.9%,18.4%,4.0%,10.2%,2007
4,Opponent,82.0,19980,3287,6761,0.486,576,1480,0.389,2711,5281,0.513,1603,2113,0.759,965,2483,3448,2062,681,450,1253,1992,8753,2007
5,Opponent/G,,243.7,40.1,82.5,0.486,7.0,18.0,0.389,33.1,64.4,0.513,19.5,25.8,0.759,11.8,30.3,42.0,25.1,8.3,5.5,15.3,24.3,106.7,2007
6,Lg Rank,,5,30,27,30.0,28,20,30.0,29,27,30.0,16,13,22.0,23,19,21,29,30,30,11,2,29,2007
7,Year/Year,,0.6%,22.1%,9.5%,0.05,41.2%,21.0%,0.056,18.7%,6.7%,0.052,9.4%,8.8%,0.004,4.1%,3.3%,3.5%,28.5%,14.1%,-1.3%,3.3%,6.7%,20.6%,2007
0,Team,82.0,19805,3060,6737,0.454,620,1779,0.349,2440,4958,0.492,1517,2097,0.723,848,2567,3415,1574,503,386,1251,1592,8257,2008
1,Team/G,,241.5,37.3,82.2,0.454,7.6,21.7,0.349,29.8,60.5,0.492,18.5,25.6,0.723,10.3,31.3,41.6,19.2,6.1,4.7,15.3,19.4,100.7,2008
2,Lg Rank,,14,11,12,15.0,7,4,22.0,19,27,9.0,17,12,26.0,22,11,18,28,28,17,28,3,10,2008
3,Year/Year,,-0.9%,2.1%,4.5%,-0.011,24.0%,30.6%,-0.019,-2.3%,-2.5%,0.001,-17.3%,-13.0%,-0.038,-2.1%,8.1%,5.4%,-6.3%,-10.8%,-5.2%,-6.9%,-12.9%,-0.9%,2008
4,Opponent,82.0,19805,3394,7076,0.48,591,1625,0.364,2803,5451,0.514,1387,1791,0.774,932,2721,3653,1963,711,403,1096,1842,8766,2008
5,Opponent/G,,241.5,41.4,86.3,0.48,7.2,19.8,0.364,34.2,66.5,0.514,16.9,21.8,0.774,11.4,33.2,44.5,23.9,8.7,4.9,13.4,22.5,106.9,2008
6,Lg Rank,,14,30,27,30.0,24,27,18.0,29,26,30.0,5,5,29.0,21,28,27,28,30,18,22,6,28,2008
7,Year/Year,,-0.9%,3.3%,4.7%,-0.007,2.6%,9.8%,-0.025,3.4%,3.2%,0.001,-13.5%,-15.2%,0.016,-3.4%,9.6%,5.9%,-4.8%,4.4%,-10.4%,-12.5%,-7.5%,0.1%,2008
0,Team,82.0,19805,2865,6311,0.454,398,1106,0.36,2467,5205,0.474,1570,2077,0.756,847,2337,3184,1423,615,385,1252,1777,7698,2009
1,Team/G,,241.5,34.9,77.0,0.454,4.9,13.5,0.36,30.1,63.5,0.474,19.1,25.3,0.756,10.3,28.5,38.8,17.4,7.5,4.7,15.3,21.7,93.9,2009
2,Lg Rank,,14,30,29,21.0,25,27,21.0,16,14,24.0,13,10,22.0,24,28,30,30,9,18,24,21,29,2009
3,Year/Year,,0.0%,-6.4%,-6.3%,-0.0,-35.8%,-37.8%,0.011,1.1%,5.0%,-0.018,3.5%,-1.0%,0.032,-0.1%,-9.0%,-6.8%,-9.6%,22.3%,-0.3%,0.1%,11.6%,-6.8%,2009
4,Opponent,82.0,19805,3018,6378,0.473,536,1510,0.355,2482,4868,0.51,1574,2043,0.77,842,2431,3273,1735,632,443,1194,1786,8146,2009
5,Opponent/G,,241.5,36.8,77.8,0.473,6.5,18.4,0.355,30.3,59.4,0.51,19.2,24.9,0.77,10.3,29.6,39.9,21.2,7.7,5.4,14.6,21.8,99.3,2009
6,Lg Rank,,14,16,5,25.0,13,17,10.0,14,6,28.0,17,18,16.0,7,10,7,17,20,25,10,9,14,2009
7,Year/Year,,0.0%,-11.1%,-9.9%,-0.006,-9.3%,-7.1%,-0.009,-11.5%,-10.7%,-0.004,13.5%,14.1%,-0.004,-9.7%,-10.7%,-10.4%,-11.6%,-11.1%,9.9%,8.9%,-3.0%,-7.1%,2009
0,Team,82.0,19905,3223,6875,0.469,344,1020,0.337,2879,5855,0.492,1614,2202,0.733,1070,2496,3566,1543,645,399,1248,1655,8404,2010
1,Team/G,,242.7,39.3,83.8,0.469,4.2,12.4,0.337,35.1,71.4,0.492,19.7,26.9,0.733,13.0,30.4,43.5,18.8,7.9,4.9,15.2,20.2,102.5,2010
2,Lg Rank,,2,4,7,9.0,30,30,26.0,1,1,13.0,8,4,25.0,1,18,4,29,7,18,27,12,7,2010
3,Year/Year,,0.5%,12.5%,8.9%,0.015,-13.6%,-7.8%,-0.023,16.7%,12.5%,0.018,2.8%,6.0%,-0.023,26.3%,6.8%,12.0%,8.4%,4.9%,3.6%,-0.3%,-6.9%,9.2%,2010
4,Opponent,82.0,19905,3277,6849,0.478,572,1618,0.354,2705,5231,0.517,1402,1858,0.755,907,2349,3256,1875,635,501,1165,1840,8528,2010
5,Opponent/G,,242.7,40.0,83.5,0.478,7.0,19.7,0.354,33.0,63.8,0.517,17.1,22.7,0.755,11.1,28.6,39.7,22.9,7.7,6.1,14.2,22.4,104.0,2010
