Player,Salary,Year
Chris Paul,"$18,668,431 ",2014
Blake Griffin,"$16,441,500 ",2014
DeAndre Jordan,"$10,986,550 ",2014
J.J. Redick,"$6,300,000 ",2014
Jamal Crawford,"$5,225,000 ",2014
Jared Dudley,"$4,250,000 ",2014
Matt Barnes,"$3,250,000 ",2014
Darren Collison,"$1,900,000 ",2014
Willie Green,"$1,399,507 ",2014
Antawn Jamison,"$1,399,507 ",2014
Ryan Hollins,"$1,186,459 ",2014
Reggie Bullock,"$1,149,000 ",2014
Byron Mullens,"$947,907 ",2014
Chris Paul,"$20,068,563 ",2015
Blake Griffin,"$17,674,612 ",2015
DeAndre Jordan,"$11,440,124 ",2015
J.J. Redick,"$6,583,500 ",2015
Jamal Crawford,"$5,450,000 ",2015
Spencer Hawes,"$5,305,000 ",2015
Matt Barnes,"$3,396,250 ",2015
Austin Rivers,"$2,439,840 ",2015
Jordan Farmar,"$2,077,000 ",2015
Hedo Turkoglu,"$1,448,490 ",2015
Glen Davis,"$1,227,985 ",2015
C.J. Wilcox,"$1,109,760 ",2015
Ekpe Udoh,"$981,084 ",2015
Carlos Delfino,"$650,000 ",2015
Dahntay Jones,"$387,632 ",2015
Miroslav Raduljica,"$300,000 ",2015
Nate Robinson,"$154,918 ",2015
Jordan Hamilton,"$150,591 ",2015
Lester Hudson,"$55,774 ",2015
Chris Paul,"$21,468,696 ",2016
DeAndre Jordan,"$19,500,000 ",2016
Blake Griffin,"$18,907,725 ",2016
Jeff Green,"$9,200,000 ",2016
J.J. Redick,"$6,867,000 ",2016
Jamal Crawford,"$5,675,000 ",2016
Paul Pierce,"$3,400,000 ",2016
Austin Rivers,"$3,100,000 ",2016
Luc Mbah a Moute,"$1,270,964 ",2016
C.J. Wilcox,"$1,159,680 ",2016
Wesley Johnson,"$1,100,600 ",2016
Cole Aldrich,"$1,100,600 ",2016
Pablo Prigioni,"$981,348 ",2016
Carlos Delfino,"$650,000 ",2016
Branden Dawson,"$525,093 ",2016
Jeff Ayres,"$317,232 ",2016
Miroslav Raduljica,"$300,000 ",2016
Alex Stepheson,"$61,776 ",2016
Chris Paul,"$22,868,827 ",2017
DeAndre Jordan,"$21,165,675 ",2017
Blake Griffin,"$20,140,838 ",2017
Jamal Crawford,"$13,253,012 ",2017
Austin Rivers,"$11,000,000 ",2017
J.J. Redick,"$7,377,500 ",2017
Wesley Johnson,"$5,628,000 ",2017
Paul Pierce,"$3,500,000 ",2017
Luc Mbah a Moute,"$2,203,000 ",2017
Raymond Felton,"$1,551,659 ",2017
Brandon Bass,"$1,551,659 ",2017
Marreese Speights,"$1,403,611 ",2017
Alan Anderson,"$1,315,448 ",2017
Brice Johnson,"$1,273,920 ",2017
Carlos Delfino,"$650,000 ",2017
Diamond Stone,"$543,471 ",2017
Jordan Farmar,"$510,921 ",2017
Miroslav Raduljica,"$300,000 ",2017
DeAndre Jordan,"$22,642,350 ",2018
Danilo Gallinari,"$20,559,599 ",2018
Tobias Harris,"$16,000,000 ",2018
Austin Rivers,"$11,825,000 ",2018
Avery Bradley,"$8,808,989 ",2018
Boban Marjanovic,"$7,000,000 ",2018
Lou Williams,"$7,000,000 ",2018
Milos Teodosic,"$6,000,000 ",2018
Wesley Johnson,"$5,881,260 ",2018
Patrick Beverley,"$5,513,514 ",2018
Sam Dekker,"$1,794,600 ",2018
Montrezl Harrell,"$1,471,382 ",2018
Paul Pierce,"$1,096,080 ",2018
Jawun Evans,"$815,615 ",2018
Sindarius Thornwell,"$815,615 ",2018
Carlos Delfino,"$650,000 ",2018
Jordan Farmar,"$510,921 ",2018
C.J. Williams,"$375,000 ",2018
Miroslav Raduljica,"$252,043 ",2018
Sean Kilpatrick,"$166,258 ",2018
Tyrone Wallace,$0 ,2018
Jamil Wilson,$0 ,2018
Danilo Gallinari,"$21,587,579 ",2019
Marcin Gortat,"$13,565,218 ",2019
Wilson Chandler,"$12,800,562 ",2019
Lou Williams,"$8,000,000 ",2019
Garrett Temple,"$8,000,000 ",2019
JaMychal Green,"$7,666,667 ",2019
Milos Teodosic,"$6,300,000 ",2019
Montrezl Harrell,"$6,000,000 ",2019
Alexis Ajinca,"$5,285,394 ",2019
Patrick Beverley,"$5,027,028 ",2019
Luc Mbah a Moute,"$4,320,500 ",2019
Michael Beasley,"$3,500,000 ",2019
Shai Gilgeous-Alexander,"$3,375,360 ",2019
Jerome Robinson,"$3,046,200 ",2019
Landry Shamet,"$1,703,640 ",2019
Rodney McGruder,"$1,544,951 ",2019
Ivica Zubac,"$1,544,951 ",2019
Jawun Evans,"$1,378,242 ",2019
Sindarius Thornwell,"$1,378,242 ",2019
Tyrone Wallace,"$1,349,383 ",2019
Carlos Delfino,"$650,000 ",2019
Miroslav Raduljica,"$252,043 ",2019
Justin Bibbs,"$94,742 ",2019
Johnathan Motley,$0 ,2019
Angel Delgado,$0 ,2019
Paul George,"$33,005,556 ",2020
Kawhi Leonard,"$32,742,000 ",2020
Marcus Morris,"$15,000,000 ",2020
Patrick Beverley,"$12,345,679 ",2020
Lou Williams,"$8,000,000 ",2020
Ivica Zubac,"$6,481,482 ",2020
Montrezl Harrell,"$6,000,000 ",2020
Rodney McGruder,"$4,807,693 ",2020
JaMychal Green,"$4,767,000 ",2020
Patrick Patterson,"$2,331,593 ",2020
Isaiah Thomas,"$2,320,044 ",2020
Landry Shamet,"$1,995,120 ",2020
Mfiondu Kabengele,"$1,977,000 ",2020
Terance Mann,"$1,000,000 ",2020
Reggie Jackson,"$734,025 ",2020
Joakim Noah,"$434,704 ",2020
Justin Patton,"$183,115 ",2020
Johnathan Motley,$0 ,2020
Amir Coffey,$0 ,2020
Paul George,"$35,450,412 ",2021
Kawhi Leonard,"$34,379,100 ",2021
Marcus Morris,"$14,883,721 ",2021
Patrick Beverley,"$13,333,333 ",2021
Serge Ibaka,"$9,258,000 ",2021
Rajon Rondo,"$8,250,000 ",2021
Ivica Zubac,"$7,000,000 ",2021
Luke Kennard,"$5,273,826 ",2021
Patrick Patterson,"$3,077,704 ",2021
Reggie Jackson,"$1,620,564 ",2021
Nicolas Batum,"$1,620,564 ",2021
Terance Mann,"$1,517,984 ",2021
Daniel Oturu,"$898,310 ",2021
DeMarcus Cousins,"$455,091 ",2021
Yogi Ferrell,"$325,167 ",2021
Malik Fitts,"$61,528 ",2021
Amir Coffey,$0 ,2021
Jay Scrubb,$0 ,2021
Paul George,"$39,344,970 ",2022
Kawhi Leonard,"$39,344,900 ",2022
Marcus Morris,"$15,627,907 ",2022
Norman Powell,"$15,517,242 ",2022
Robert Covington,"$12,975,471 ",2022
Luke Kennard,"$12,727,273 ",2022
Reggie Jackson,"$10,384,500 ",2022
