,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
2,Lg Rank,,9,7,13,7.0,12,14,2.0,10,11,11.0,27,30,2.0,26,14,28,5,19,25,2,4,13,2008
3,Year/Year,,0.4%,3.8%,2.7%,0.005,7.7%,-0.3%,0.029,3.0%,3.6%,-0.003,-13.8%,-16.3%,0.024,4.6%,0.6%,1.6%,7.2%,-1.9%,4.7%,-13.1%,-4.5%,0.7%,2008
4,Opponent,82.0,19830,3007,6569,0.458,619,1683,0.368,2388,4886,0.489,1344,1732,0.776,830,2583,3413,1797,470,333,1149,1508,7977,2008
5,Opponent/G,,241.8,36.7,80.1,0.458,7.5,20.5,0.368,29.1,59.6,0.489,16.4,21.1,0.776,10.1,31.5,41.6,21.9,5.7,4.1,14.0,18.4,97.3,2008
6,Lg Rank,,9,12,13,15.0,28,28,21.0,4,4,16.0,4,4,30.0,4,22,13,16,1,5,12,29,10,2008
7,Year/Year,,0.4%,-1.4%,-0.4%,-0.005,16.1%,12.9%,0.01,-5.2%,-4.2%,-0.005,-6.7%,-9.4%,0.022,-2.1%,-2.2%,-2.2%,3.2%,-3.9%,5.0%,-7.4%,-15.6%,-1.2%,2008
0,Team,82.0,19805,3054,6673,0.458,479,1289,0.372,2575,5384,0.478,1534,1861,0.824,802,2513,3315,1835,523,390,1098,1593,8121,2009
1,Team/G,,241.5,37.2,81.4,0.458,5.8,15.7,0.372,31.4,65.7,0.478,18.7,22.7,0.824,9.8,30.6,40.4,22.4,6.4,4.8,13.4,19.4,99.0,2009
2,Lg Rank,,14,11,13,13.0,24,24,12.0,10,9,20.0,16,25,1.0,28,11,21,5,27,16,10,3,16,2009
3,Year/Year,,-0.1%,-3.0%,-0.8%,-0.01,-16.3%,-11.7%,-0.02,-0.0%,2.2%,-0.011,13.9%,12.2%,0.012,1.5%,0.7%,0.9%,-6.0%,-8.2%,16.1%,14.5%,-0.2%,-1.1%,2009
4,Opponent,82.0,19805,3172,6827,0.465,629,1716,0.367,2543,5111,0.498,1379,1759,0.784,895,2539,3434,1887,521,386,1093,1645,8352,2009
5,Opponent/G,,241.5,38.7,83.3,0.465,7.7,20.9,0.367,31.0,62.3,0.498,16.8,21.5,0.784,10.9,31.0,41.9,23.0,6.4,4.7,13.3,20.1,101.9,2009
6,Lg Rank,,14,24,25,21.0,29,29,16.0,20,14,23.0,3,3,26.0,16,22,22,27,5,12,21,22,20,2009
7,Year/Year,,-0.1%,5.5%,3.9%,0.007,1.6%,2.0%,-0.001,6.5%,4.6%,0.009,2.6%,1.6%,0.008,7.8%,-1.7%,0.6%,5.0%,10.9%,15.9%,-4.9%,9.1%,4.7%,2009
0,Team,82.0,19780,3199,6631,0.482,518,1397,0.371,2681,5234,0.512,1618,2118,0.764,806,2507,3313,1804,469,384,1100,1819,8534,2010
1,Team/G,,241.2,39.0,80.9,0.482,6.3,17.0,0.371,32.7,63.8,0.512,19.7,25.8,0.764,9.8,30.6,40.4,22.0,5.7,4.7,13.4,22.2,104.1,2010
2,Lg Rank,,17,5,19,5.0,15,18,6.0,6,16,6.0,7,8,13.0,26,15,23,10,30,21,7,23,5,2010
3,Year/Year,,-0.1%,4.7%,-0.6%,0.025,8.1%,8.4%,-0.001,4.1%,-2.8%,0.034,5.5%,13.8%,-0.06,0.5%,-0.2%,-0.1%,-1.7%,-10.3%,-1.5%,0.2%,14.2%,5.1%,2010
4,Opponent,82.0,19780,3194,6824,0.468,609,1665,0.366,2585,5159,0.501,1683,2146,0.784,933,2453,3386,1889,580,360,1040,1730,8680,2010
5,Opponent/G,,241.2,39.0,83.2,0.468,7.4,20.3,0.366,31.5,62.9,0.501,20.5,26.2,0.784,11.4,29.9,41.3,23.0,7.1,4.4,12.7,21.1,105.9,2010
6,Lg Rank,,17,22,21,19.0,29,27,26.0,18,10,22.0,25,23,30.0,23,11,14,24,16,8,29,13,27,2010
7,Year/Year,,-0.1%,0.7%,-0.0%,0.003,-3.2%,-3.0%,-0.001,1.7%,0.9%,0.004,22.0%,22.0%,0.0,4.2%,-3.4%,-1.4%,0.1%,11.3%,-6.7%,-4.8%,5.2%,3.9%,2010
0,Team,82.0,19780,3144,6755,0.465,345,1091,0.316,2799,5664,0.494,1491,1976,0.755,963,2343,3306,1795,581,350,1206,1807,8124,2011
1,Team/G,,241.2,38.3,82.4,0.465,4.2,13.3,0.316,34.1,69.1,0.494,18.2,24.1,0.755,11.7,28.6,40.3,21.9,7.1,4.3,14.7,22.0,99.1,2011
2,Lg Rank,,20,7,12,8.0,29,29,30.0,2,4,10.0,15,19,22.0,8,27,21,14,21,26,24,25,17,2011
3,Year/Year,,0.0%,-1.7%,1.9%,-0.017,-33.4%,-21.9%,-0.055,4.4%,8.2%,-0.018,-7.8%,-6.7%,-0.009,19.5%,-6.5%,-0.2%,-0.5%,23.9%,-8.9%,9.6%,-0.7%,-4.8%,2011
4,Opponent,82.0,19780,3213,6668,0.482,541,1438,0.376,2672,5230,0.511,1672,2175,0.769,912,2457,3369,1854,625,456,1141,1620,8639,2011
5,Opponent/G,,241.2,39.2,81.3,0.482,6.6,17.5,0.376,32.6,63.8,0.511,20.4,26.5,0.769,11.1,30.0,41.1,22.6,7.6,5.6,13.9,19.8,105.4,2011
6,Lg Rank,,20,24,16,29.0,17,12,28.0,26,21,29.0,26,26,20.0,19,12,15,24,25,23,18,26,26,2011
7,Year/Year,,0.0%,0.6%,-2.3%,0.014,-11.2%,-13.6%,0.01,3.4%,1.4%,0.01,-0.7%,1.4%,-0.016,-2.3%,0.2%,-0.5%,-1.9%,7.8%,26.7%,9.7%,-6.4%,-0.5%,2011
0,Team,66.0,15965,2268,5154,0.44,365,1075,0.34,1903,4079,0.467,1085,1410,0.77,697,2074,2771,1382,429,321,1001,1532,5986,2012
1,Team/G,,241.9,34.4,78.1,0.44,5.5,16.3,0.34,28.8,61.8,0.467,16.4,21.4,0.77,10.6,31.4,42.0,20.9,6.5,4.9,15.2,23.2,90.7,2012
2,Lg Rank,,10,27,28,23.0,21,20,19.0,24,20,24.0,17,20,12.0,23,9,17,14,28,19,21,30,28,2012
3,Year/Year,,0.3%,-10.4%,-5.2%,-0.025,31.4%,22.4%,0.023,-15.5%,-10.5%,-0.028,-9.6%,-11.3%,0.015,-10.1%,10.0%,4.1%,-4.3%,-8.3%,13.9%,3.1%,5.3%,-8.5%,2012
4,Opponent,66.0,15965,2234,5130,0.435,401,1224,0.328,1833,3906,0.469,1335,1795,0.744,677,1997,2674,1327,478,322,870,1214,6204,2012
5,Opponent/G,,241.9,33.8,77.7,0.435,6.1,18.5,0.328,27.8,59.2,0.469,20.2,27.2,0.744,10.3,30.3,40.5,20.1,7.2,4.9,13.2,18.4,94.0,2012
6,Lg Rank,,10,2,2,8.0,8,16,5.0,3,3,10.0,30,30,7.0,2,11,6,11,4,14,28,26,9,2012
7,Year/Year,,0.3%,-13.6%,-4.4%,-0.046,-7.9%,5.8%,-0.049,-14.8%,-7.2%,-0.042,-0.8%,2.5%,-0.025,-7.8%,1.0%,-1.4%,-11.1%,-5.0%,-12.3%,-5.3%,-6.9%,-10.8%,2012
0,Team,82.0,19980,2979,6685,0.446,571,1665,0.343,2408,5020,0.48,1442,1831,0.788,871,2426,3297,1765,595,392,1124,1836,7971,2013
1,Team/G,,243.7,36.3,81.5,0.446,7.0,20.3,0.343,29.4,61.2,0.48,17.6,22.3,0.788,10.6,29.6,40.2,21.5,7.3,4.8,13.7,22.4,97.2,2013
2,Lg Rank,,1,21,17,20.0,15,12,26.0,21,19,15.0,8,14,5.0,24,26,28,20,21,17,3,30,16,2013
3,Year/Year,,0.7%,5.7%,4.4%,0.006,25.9%,24.7%,0.003,1.8%,-0.9%,0.013,7.0%,4.5%,0.018,0.6%,-5.9%,-4.2%,2.8%,11.6%,-1.7%,-9.6%,-3.5%,7.2%,2013
4,Opponent,82.0,19980,2971,6493,0.458,546,1511,0.361,2425,4982,0.487,1604,2148,0.747,877,2544,3421,1796,578,387,1169,1650,8092,2013
5,Opponent/G,,243.7,36.2,79.2,0.458,6.7,18.4,0.361,29.6,60.8,0.487,19.6,26.2,0.747,10.7,31.0,41.7,21.9,7.0,4.7,14.3,20.1,98.7,2013
6,Lg Rank,,1,10,5,18.0,8,7,19.0,11,9,18.0,30,30,10.0,6,13,13,12,3,11,20,12,17,2013
7,Year/Year,,0.7%,7.0%,1.9%,0.022,9.6%,-0.6%,0.034,6.5%,2.7%,0.017,-3.3%,-3.7%,0.003,4.3%,2.5%,3.0%,8.9%,-2.7%,-3.3%,8.1%,9.4%,5.0%,2013
0,Team,82.0,19955,2992,6718,0.445,713,1917,0.372,2279,4801,0.475,1608,2055,0.782,935,2552,3487,1737,577,343,1159,1882,8305,2014
1,Team/G,,243.4,36.5,81.9,0.445,8.7,23.4,0.372,27.8,58.5,0.475,19.6,25.1,0.782,11.4,31.1,42.5,21.2,7.0,4.2,14.1,23.0,101.3,2014
2,Lg Rank,,2,24,23,22.0,9,11,9.0,28,23,23.0,6,7,5.0,12,20,17,21,25,23,9,29,13,2014
