,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,240.6,43.0,93.8,0.458,17.9,23.1,0.774,15.9,29.5,45.4,23.7,24.7,103.8,1978,8.3,3.9,16.8,,,,,,
2,Lg Rank,,21,15,11,17.0,22,22,6.0,6,21,18,17,11,21,1978,17,21,1,,,,,,
3,Year/Year,,-0.3%,-0.3%,5.0%,-0.025,-11.4%,-9.8%,-0.014,3.7%,-8.0%,-4.2%,1.5%,-5.0%,-2.4%,1978,10.9%,-22.4%,-14.0%,,,,,,
4,Opponent,82.0,19730,3571,7404,0.482,1699,2238,0.759,1195,2525,3720,1990,1752,8841,1978,605,360,1410,,,,,,
5,Opponent/G,,240.6,43.5,90.3,0.482,20.7,27.3,0.759,14.6,30.8,45.4,24.3,21.4,107.8,1978,7.4,4.4,17.2,,,,,,
6,Lg Rank,,21,10,6,21.0,10,9,17.0,9,5,4,8,22,9,1978,1,3,22,,,,,,
7,Year/Year,,-0.3%,4.3%,0.7%,0.017,-2.7%,-0.6%,-0.016,6.6%,13.1%,10.9%,5.7%,-11.4%,2.9%,1978,10.6%,2.9%,1.1%,,,,,,
0,Team,82.0,19780,3726,7498,0.497,1845,2330,0.792,1256,2504,3760,2302,2001,9297,1979,632,286,1510,,,,,,
1,Team/G,,241.2,45.4,91.4,0.497,22.5,28.4,0.792,15.3,30.5,45.9,28.1,24.4,113.4,1979,7.7,3.5,18.4,,,,,,
2,Lg Rank,,6,7,13,5.0,6,11,2.0,7,11,8,5,8,5,1979,20,21,4,,,,,,
3,Year/Year,,0.3%,5.8%,-2.5%,0.039,25.8%,22.9%,0.018,-3.5%,3.4%,1.0%,18.5%,-1.2%,9.2%,1979,-7.5%,-10.3%,9.7%,,,,,,
4,Opponent,82.0,19780,3795,7625,0.498,1627,2211,0.736,1186,2315,3501,2278,2055,9217,1979,660,431,1400,,,,,,
5,Opponent/G,,241.2,46.3,93.0,0.498,19.8,27.0,0.736,14.5,28.2,42.7,27.8,25.1,112.4,1979,8.0,5.3,17.1,,,,,,
6,Lg Rank,,6,16,15,20.0,8,8,2.0,10,1,3,21,15,17,1979,4,10,21,,,,,,
7,Year/Year,,0.3%,6.3%,3.0%,0.015,-4.2%,-1.2%,-0.023,-0.8%,-8.3%,-5.9%,14.5%,17.3%,4.3%,1979,9.1%,19.7%,-0.7%,,,,,,
0,Team,82.0,19930,3599,7496,0.48,1782,2326,0.766,1394,2217,3611,2149,1927,9084,1980,782,373,1565,104.0,379.0,0.274,3495,7117,0.491
1,Team/G,,243.0,43.9,91.4,0.48,21.7,28.4,0.766,17.0,27.0,44.0,26.2,23.5,110.8,1980,9.5,4.5,19.1,1.3,4.6,0.274,42.6,86.8,0.491
2,Lg Rank,,1,9,10,11.0,9,10,12.0,2,22,16,10,8,8,1980,9,14,14,3.0,3.0,10.0,13,14,10.0
3,Year/Year,,0.8%,-3.4%,-0.0%,-0.017,-3.4%,-0.2%,-0.026,11.0%,-11.5%,-4.0%,-6.6%,-3.7%,-2.3%,1980,23.7%,30.4%,3.6%,,,,-6.2%,-5.1%,-0.006
4,Opponent,82.0,19930,3658,7382,0.496,1696,2153,0.788,1290,2317,3607,2223,2049,9070,1980,778,428,1597,58.0,215.0,0.27,3600,7167,0.502
5,Opponent/G,,243.0,44.6,90.0,0.496,20.7,26.3,0.788,15.7,28.3,44.0,27.1,25.0,110.6,1980,9.5,5.2,19.5,0.7,2.6,0.27,43.9,87.4,0.502
6,Lg Rank,,1,14,8,16.0,7,7,22.0,16,5,7,17,8,15,1980,13,13,10,10.0,12.0,8.0,14,8,18.0
7,Year/Year,,0.8%,-3.6%,-3.2%,-0.002,4.2%,-2.6%,0.052,8.8%,0.1%,3.0%,-2.4%,-0.3%,-1.6%,1980,17.9%,-0.7%,14.1%,,,,-5.1%,-6.0%,0.005
0,Team,82.0,19805,3573,7335,0.487,1711,2223,0.77,1216,2347,3563,2099,1901,8878,1981,705,390,1451,21,118,0.178,3552,7217,0.492
1,Team/G,,241.5,43.6,89.5,0.487,20.9,27.1,0.77,14.8,28.6,43.5,25.6,23.2,108.3,1981,8.6,4.8,17.7,0.3,1.4,0.178,43.3,88.0,0.492
2,Lg Rank,,7,8,7,12.0,15,17,6.0,10,15,14,9,2,11,1981,15,15,8,18,17,18.0,7,7,12.0
3,Year/Year,,-0.6%,-0.7%,-2.1%,0.007,-4.0%,-4.4%,0.004,-12.8%,5.9%,-1.3%,-2.3%,-1.3%,-2.3%,1981,-9.8%,4.6%,-7.3%,-79.8%,-68.9%,-0.096,1.6%,1.4%,0.001
4,Opponent,82.0,19805,3617,7341,0.493,1568,2108,0.744,1177,2367,3544,2191,1977,8851,1981,689,367,1430,49,171,0.287,3568,7170,0.498
5,Opponent/G,,241.5,44.1,89.5,0.493,19.1,25.7,0.744,14.4,28.9,43.2,26.7,24.1,107.9,1981,8.4,4.5,17.4,0.6,2.1,0.287,43.5,87.4,0.498
6,Lg Rank,,7,20,17,14.0,2,2,7.0,12,11,10,19,18,14,1981,4,3,18,20,15,20.0,19,17,14.0
7,Year/Year,,-0.6%,-1.1%,-0.6%,-0.003,-7.5%,-2.1%,-0.044,-8.8%,2.2%,-1.7%,-1.4%,-3.5%,-2.4%,1981,-11.4%,-14.3%,-10.5%,-15.5%,-20.5%,0.017,-0.9%,0.0%,-0.005
0,Team,82.0,19780,3504,7366,0.476,1622,2225,0.729,1403,2284,3687,1977,1871,8680,1982,648,429,1321,50,176,0.284,3454,7190,0.48
1,Team/G,,241.2,42.7,89.8,0.476,19.8,27.1,0.729,17.1,27.9,45.0,24.1,22.8,105.9,1982,7.9,5.2,16.1,0.6,2.1,0.284,42.1,87.7,0.48
2,Lg Rank,,15,16,6,18.0,19,16,17.0,1,18,5,17,1,18,1982,16,12,4,11,11,7.0,15,6,19.0
3,Year/Year,,-0.1%,-1.9%,0.4%,-0.011,-5.2%,0.1%,-0.041,15.4%,-2.7%,3.5%,-5.8%,-1.6%,-2.2%,1982,-8.1%,10.0%,-9.0%,138.1%,49.2%,0.106,-2.8%,-0.4%,-0.012
4,Opponent,82.0,19780,3566,7180,0.497,1503,2011,0.747,1170,2304,3474,2128,2047,8683,1982,678,353,1341,48,202,0.238,3518,6978,0.504
5,Opponent/G,,241.2,43.5,87.6,0.497,18.3,24.5,0.747,14.3,28.1,42.4,26.0,25.0,105.9,1982,8.3,4.3,16.4,0.6,2.5,0.238,42.9,85.1,0.504
6,Lg Rank,,15,14,11,14.0,2,2,12.0,13,6,6,17,19,9,1982,9,3,20,10,17,6.0,15,11,14.0
7,Year/Year,,-0.1%,-1.4%,-2.2%,0.004,-4.1%,-4.6%,0.004,-0.6%,-2.7%,-2.0%,-2.9%,3.5%,-1.9%,1982,-1.6%,-3.8%,-6.2%,-2.0%,18.1%,-0.049,-1.4%,-2.7%,0.007
0,Team,82.0,19730,3338,7446,0.448,1402,1934,0.725,1206,2260,3466,1931,2131,8145,1983,646,422,1571,67,271,0.247,3271,7175,0.456
1,Team/G,,240.6,40.7,90.8,0.448,17.1,23.6,0.725,14.7,27.6,42.3,23.5,26.0,99.3,1983,7.9,5.1,19.2,0.8,3.3,0.247,39.9,87.5,0.456
2,Lg Rank,,18,20,10,23.0,23,22,18.0,14,22,22,22,15,21,1983,20,13,14,4,3,7.0,20,10,23.0
3,Year/Year,,-0.3%,-4.7%,1.1%,-0.027,-13.6%,-13.1%,-0.004,-14.0%,-1.1%,-6.0%,-2.3%,13.9%,-6.2%,1983,-0.3%,-1.6%,18.9%,34.0%,54.0%,-0.037,-5.3%,-0.2%,-0.025
4,Opponent,82.0,19730,3641,7244,0.503,1781,2375,0.75,1198,2710,3908,2252,1933,9096,1983,772,406,1504,33,125,0.264,3608,7119,0.507
5,Opponent/G,,240.6,44.4,88.3,0.503,21.7,29.0,0.75,14.6,33.0,47.7,27.5,23.6,110.9,1983,9.4,5.0,18.3,0.4,1.5,0.264,44.0,86.8,0.507
6,Lg Rank,,18,13,8,19.0,18,16,17.0,10,23,21,18,20,14,1983,18,8,17,4,1,19.0,14,12,18.0
7,Year/Year,,-0.3%,2.1%,0.9%,0.006,18.5%,18.1%,0.003,2.4%,17.6%,12.5%,5.8%,-5.6%,4.8%,1983,13.9%,15.0%,12.2%,-31.3%,-38.1%,0.026,2.6%,2.0%,0.003
0,Team,82.0,19755,3729,7533,0.495,1583,2139,0.74,1200,2483,3683,2204,2317,9071,1984,621,515,1562,30,154,0.195,3699,7379,0.501
1,Team/G,,240.9,45.5,91.9,0.495,19.3,26.1,0.74,14.6,30.3,44.9,26.9,28.3,110.6,1984,7.6,6.3,19.0,0.4,1.9,0.195,45.1,90.0,0.501
2,Lg Rank,,21,5,5,12.0,23,22,21.0,8,5,5,9,23,10,1984,20,4,18,17,16,19.0,5,4,10.0
