,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
4,Opponent,82.0,19755,3573,7628,0.468,1878,2386,0.787,1142.0,2754.0,3896,2028,2128,9024,1974,823.0,388.0,1846.0,,,,,,
5,Opponent/G,,240.9,43.6,93.0,0.468,22.9,29.1,0.787,13.9,33.6,47.5,24.7,26.0,110.0,1974,10.0,4.7,22.5,,,,,,
6,Lg Rank,,6,10,8,12.0,17,16,15.0,5.0,10.0,9,10,3,14,1974,16.0,9.0,2.0,,,,,,
7,Year/Year,,-0.4%,-4.9%,-6.4%,0.007,10.7%,8.8%,0.014,,,-6.1%,0.4%,1.1%,-2.0%,1974,,,,,,,,,
0,Team,82.0,19805,3424,7824,0.438,1772,2435,0.728,1441,2653,4094,1878,1964,8620,1975,744,227,1550,,,,,,
1,Team/G,,241.5,41.8,95.4,0.438,21.6,29.7,0.728,17.6,32.4,49.9,22.9,24.0,105.1,1975,9.1,2.8,18.9,,,,,,
2,Lg Rank,,6,8,3,18.0,2,1,18.0,1,12,3,13,8,4,1975,7,18,6,,,,,,
3,Year/Year,,0.3%,-4.9%,1.0%,-0.028,4.1%,7.6%,-0.024,16.2%,-2.2%,3.6%,-5.8%,-5.3%,-3.2%,1975,-1.8%,-31.6%,-15.0%,,,,,,
4,Opponent,82.0,19805,3563,7504,0.475,1606,2098,0.765,1169,2851,4020,1914,2265,8732,1975,746,422,1723,,,,,,
5,Opponent/G,,241.5,43.5,91.5,0.475,19.6,25.6,0.765,14.3,34.8,49.0,23.3,27.6,106.5,1975,9.1,5.1,21.0,,,,,,
6,Lg Rank,,6,16,12,16.0,12,11,9.0,10,16,15,8,1,16,1975,12,17,4,,,,,,
7,Year/Year,,0.3%,-0.3%,-1.6%,0.006,-14.5%,-12.1%,-0.022,2.4%,3.5%,3.2%,-5.6%,6.4%,-3.2%,1975,-9.4%,8.8%,-6.7%,,,,,,
0,Team,82.0,19805,3301,7338,0.45,1809,2467,0.733,1225,2540,3765,1666,1983,8411,1976,790,277,1553,,,,,,
1,Team/G,,241.5,40.3,89.5,0.45,22.1,30.1,0.733,14.9,31.0,45.9,20.3,24.2,102.6,1976,9.6,3.4,18.9,,,,,,
2,Lg Rank,,7,17,13,14.0,4,2,15.0,5,17,12,16,4,15,1976,5,15,4,,,,,,
3,Year/Year,,0.0%,-3.6%,-6.2%,0.012,2.1%,1.3%,0.006,-15.0%,-4.3%,-8.0%,-11.3%,1.0%,-2.4%,1976,6.2%,22.0%,0.2%,,,,,,
4,Opponent,82.0,19805,3529,7357,0.48,1592,2102,0.757,1186,2728,3914,1778,2177,8650,1976,779,427,1663,,,,,,
5,Opponent/G,,241.5,43.0,89.7,0.48,19.4,25.6,0.757,14.5,33.3,47.7,21.7,26.5,105.5,1976,9.5,5.2,20.3,,,,,,
6,Lg Rank,,7,15,3,18.0,6,4,13.0,12,11,10,5,1,11,1976,15,16,7,,,,,,
7,Year/Year,,0.0%,-1.0%,-2.0%,0.005,-0.9%,0.2%,-0.008,1.5%,-4.3%,-2.6%,-7.1%,-3.9%,-0.9%,1976,4.4%,1.2%,-3.5%,,,,,,
0,Team,82.0,19705,3279,7176,0.457,1836,2451,0.749,1244,2512,3756,1882,2302,8394,1977,733,330,1779,,,,,,
1,Team/G,,240.3,40.0,87.5,0.457,22.4,29.9,0.749,15.2,30.6,45.8,23.0,28.1,102.4,1977,8.9,4.0,21.7,,,,,,
2,Lg Rank,,21,20,22,14.0,6,6,12.0,11,19,16,18,22,19,1977,14,20,19,,,,,,
3,Year/Year,,-0.5%,-0.7%,-2.2%,0.007,1.5%,-0.6%,0.016,1.6%,-1.1%,-0.2%,13.0%,16.1%,-0.2%,1977,-7.2%,19.1%,14.6%,,,,,,
4,Opponent,82.0,19705,3409,7137,0.478,1909,2527,0.755,1121,2533,3654,2020,2174,8727,1977,803,442,1692,,,,,,
5,Opponent/G,,240.3,41.6,87.0,0.478,23.3,30.8,0.755,13.7,30.9,44.6,24.6,26.5,106.4,1977,9.8,5.4,20.6,,,,,,
6,Lg Rank,,21,7,3,19.0,20,21,17.0,4,5,3,15,6,11,1977,15,15,12,,,,,,
7,Year/Year,,-0.5%,-3.4%,-3.0%,-0.002,19.9%,20.2%,-0.002,-5.5%,-7.1%,-6.6%,13.6%,-0.1%,0.9%,1977,3.1%,3.5%,1.7%,,,,,,
0,Team,82.0,19830,3335,7253,0.46,1836,2316,0.793,1160,2359,3519,1901,2470,8506,1978,916,408,1592,,,,,,
1,Team/G,,241.8,40.7,88.5,0.46,22.4,28.2,0.793,14.1,28.8,42.9,23.2,30.1,103.7,1978,11.2,5.0,19.4,,,,,,
2,Lg Rank,,6,21,21,16.0,6,10,2.0,19,22,22,18,22,22,1978,2,12,6,,,,,,
3,Year/Year,,0.6%,1.7%,1.1%,0.003,0.0%,-5.5%,0.044,-6.8%,-6.1%,-6.3%,1.0%,7.3%,1.3%,1978,25.0%,23.6%,-10.5%,,,,,,
4,Opponent,82.0,19830,3162,6671,0.474,2193,2930,0.748,1160,2606,3766,1774,2122,8517,1978,750,484,1980,,,,,,
5,Opponent/G,,241.8,38.6,81.4,0.474,26.7,35.7,0.748,14.1,31.8,45.9,21.6,25.9,103.9,1978,9.1,5.9,24.1,,,,,,
6,Lg Rank,,6,1,1,16.0,22,22,7.0,4,12,8,1,7,3,1978,8,20,1,,,,,,
7,Year/Year,,0.6%,-7.2%,-6.5%,-0.004,14.9%,15.9%,-0.007,3.5%,2.9%,3.1%,-12.2%,-2.4%,-2.4%,1978,-6.6%,9.5%,17.0%,,,,,,
0,Team,82.0,19855,3505,7410,0.473,1940,2534,0.766,1381,2341,3722,1938,2424,8950,1979,801,596,1523,,,,,,
1,Team/G,,242.1,42.7,90.4,0.473,23.7,30.9,0.766,16.8,28.5,45.4,23.6,29.6,109.1,1979,9.8,7.3,18.6,,,,,,
2,Lg Rank,,2,19,16,18.0,2,3,8.0,2,21,10,19,22,12,1979,7,3,5,,,,,,
3,Year/Year,,0.1%,5.1%,2.2%,0.013,5.7%,9.4%,-0.027,19.1%,-0.8%,5.8%,1.9%,-1.9%,5.2%,1979,-12.6%,46.1%,-4.3%,,,,,,
4,Opponent,82.0,19855,3367,6886,0.489,2045,2727,0.75,1176,2440,3616,1928,2135,8779,1979,646,559,1799,,,,,,
5,Opponent/G,,242.1,41.1,84.0,0.489,24.9,33.3,0.75,14.3,29.8,44.1,23.5,26.0,107.1,1979,7.9,6.8,21.9,,,,,,
6,Lg Rank,,2,1,1,14.0,20,20,9.0,8,8,6,4,8,3,1979,2,21,4,,,,,,
7,Year/Year,,0.1%,6.5%,3.2%,0.015,-6.7%,-6.9%,0.001,1.4%,-6.4%,-4.0%,8.7%,0.6%,3.1%,1979,-13.9%,15.5%,-9.1%,,,,,,
0,Team,82.0,19780,3261,7027,0.464,2038,2645,0.771,1369,2406,3775,1913,2293,8573,1980,782,539,1495,13.0,75.0,0.173,3248,6952,0.467
1,Team/G,,241.2,39.8,85.7,0.464,24.9,32.3,0.771,16.7,29.3,46.0,23.3,28.0,104.5,1980,9.5,6.6,18.2,0.2,0.9,0.173,39.6,84.8,0.467
2,Lg Rank,,16,22,20,19.0,1,1,10.0,4,15,5,20,22,19,1980,9,5,6,22.0,22.0,22.0,22,19,21.0
3,Year/Year,,-0.4%,-7.0%,-5.2%,-0.009,5.1%,4.4%,0.005,-0.9%,2.8%,1.4%,-1.3%,-5.4%,-4.2%,1980,-2.4%,-9.6%,-1.8%,,,,-7.3%,-6.2%,-0.006
4,Opponent,82.0,19780,3144,6872,0.458,2000,2616,0.765,1261,2339,3600,1758,2171,8334,1980,682,554,1660,46.0,183.0,0.251,3098,6689,0.463
5,Opponent/G,,241.2,38.3,83.8,0.458,24.4,31.9,0.765,15.4,28.5,43.9,21.4,26.5,101.6,1980,8.3,6.8,20.2,0.6,2.2,0.251,37.8,81.6,0.463
6,Lg Rank,,16,1,1,2.0,22,22,12.0,14,6,6,1,3,1,1980,1,22,7,3.0,2.0,6.0,1,1,2.0
7,Year/Year,,-0.4%,-6.6%,-0.2%,-0.031,-2.2%,-4.1%,0.015,7.2%,-4.1%,-0.4%,-8.8%,1.7%,-5.1%,1980,5.6%,-0.9%,-7.7%,,,,-8.0%,-2.9%,-0.026
0,Team,82.0,19930,3291,6866,0.479,2012,2590,0.777,1201,2224,3425,1846,2276,8604,1981,749,469,1605,10,82,0.122,3281,6784,0.484
1,Team/G,,243.0,40.1,83.7,0.479,24.5,31.6,0.777,14.6,27.1,41.8,22.5,27.8,104.9,1981,9.1,5.7,19.6,0.1,1.0,0.122,40.0,82.7,0.484
2,Lg Rank,,2,21,22,15.0,3,3,3.0,11,19,18,22,23,19,1981,11,10,18,23,23,23.0,21,20,16.0
3,Year/Year,,0.8%,0.9%,-2.3%,0.015,-1.3%,-2.1%,0.006,-12.3%,-7.6%,-9.3%,-3.5%,-0.7%,0.4%,1981,-4.2%,-13.0%,7.4%,-23.1%,9.3%,-0.051,1.0%,-2.4%,0.016
4,Opponent,82.0,19930,3401,6867,0.495,2024,2641,0.766,1207,2318,3525,1935,2209,8858,1981,748,555,1685,32,152,0.211,3369,6715,0.502
5,Opponent/G,,243.0,41.5,83.7,0.495,24.7,32.2,0.766,14.7,28.3,43.0,23.6,26.9,108.0,1981,9.1,6.8,20.5,0.4,1.9,0.211,41.1,81.9,0.502
6,Lg Rank,,2,5,1,15.0,23,21,21.0,15,9,9,3,2,15,1981,16,22,3,5,7,4.0,5,1,15.0
7,Year/Year,,0.8%,8.2%,-0.1%,0.038,1.2%,1.0%,0.002,-4.3%,-0.9%,-2.1%,10.1%,1.8%,6.3%,1981,9.7%,0.2%,1.5%,-30.4%,-16.9%,-0.041,8.7%,0.4%,0.039
0,Team,82.0,19880,3210,6776,0.474,1833,2387,0.768,1135,2368,3503,1815,2268,8281,1982,608,485,1343,28,128,0.219,3182,6648,0.479
1,Team/G,,242.4,39.1,82.6,0.474,22.4,29.1,0.768,13.8,28.9,42.7,22.1,27.7,101.0,1982,7.4,5.9,16.4,0.3,1.6,0.219,38.8,81.1,0.479
2,Lg Rank,,1,23,22,20.0,5,6,4.0,16,13,16,23,19,23,1982,20,7,5,19,21,18.0,23,22,20.0
3,Year/Year,,-0.3%,-2.5%,-1.3%,-0.006,-8.9%,-7.8%,-0.009,-5.5%,6.5%,2.3%,-1.7%,-0.4%,-3.8%,1982,-18.8%,3.4%,-16.3%,180.0%,56.1%,0.097,-3.0%,-2.0%,-0.005
4,Opponent,82.0,19880,3150,6709,0.47,1891,2482,0.762,1135,2388,3523,1871,2179,8237,1982,578,434,1444,46,186,0.247,3104,6523,0.476
5,Opponent/G,,242.4,38.4,81.8,0.47,23.1,30.3,0.762,13.8,29.1,43.0,22.8,26.6,100.5,1982,7.0,5.3,17.6,0.6,2.3,0.247,37.9,79.5,0.476
6,Lg Rank,,1,1,1,5.0,18,16,23.0,8,13,10,2,8,1,1982,1,12,11,9,10,10.0,1,1,5.0
7,Year/Year,,-0.3%,-7.4%,-2.3%,-0.026,-6.6%,-6.0%,-0.004,-6.0%,3.0%,-0.1%,-3.3%,-1.4%,-7.0%,1982,-22.7%,-21.8%,-14.3%,43.8%,22.4%,0.037,-7.9%,-2.9%,-0.026
0,Team,82.0,19780,3352,7146,0.469,1586,2111,0.751,1139,2433,3572,1945,2022,8335,1983,573,665,1424,45,188,0.239,3307,6958,0.475
1,Team/G,,241.2,40.9,87.1,0.469,19.3,25.7,0.751,13.9,29.7,43.6,23.7,24.7,101.6,1983,7.0,8.1,17.4,0.5,2.3,0.239,40.3,84.9,0.475
2,Lg Rank,,11,19,17,20.0,18,18,7.0,18,11,16,21,6,19,1983,22,1,2,8,9,10.0,19,20,20.0
3,Year/Year,,-0.5%,4.4%,5.5%,-0.005,-13.5%,-11.6%,-0.017,0.4%,2.7%,2.0%,7.2%,-10.8%,0.7%,1983,-5.8%,37.1%,6.0%,60.7%,46.9%,0.021,3.9%,4.7%,-0.003
4,Opponent,82.0,19780,3383,7201,0.47,1608,2235,0.719,1303,2571,3874,1927,1981,8413,1983,656,388,1468,39,166,0.235,3344,7035,0.475
5,Opponent/G,,241.2,41.3,87.8,0.47,19.6,27.3,0.719,15.9,31.4,47.2,23.5,24.2,102.6,1983,8.0,4.7,17.9,0.5,2.0,0.235,40.8,85.8,0.475
