,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
0,Team,82.0,19830,3548,7441,0.477,,,,,,,2068,2705,0.765,1177,2736,3913,2187,1748,2116,9164,1978,824,422
1,Team/G,,241.8,43.3,90.7,0.477,,,,,,,25.2,33.0,0.765,14.4,33.4,47.7,26.7,21.3,25.8,111.8,1978,10.0,5.1
2,Lg Rank,,6,13,17,8.0,,,,,,,2,2,7.0,17,4,7,7,17,16,6,1978,7,10
3,Year/Year,,0.3%,-1.2%,-0.4%,-0.004,,,,,,,0.7%,-2.8%,0.027,-8.6%,1.3%,-1.9%,-3.3%,-13.1%,-1.2%,-0.7%,1978,-13.5%,-10.4%
4,Opponent,82.0,19830,3678,7799,0.472,,,,,,,1740,2365,0.736,1267,2546,3813,2248,1620,2220,9096,1978,877,524
5,Opponent/G,,241.8,44.9,95.1,0.472,,,,,,,21.2,28.8,0.736,15.5,31.0,46.5,27.4,19.8,27.1,110.9,1978,10.7,6.4
6,Lg Rank,,6,18,18,12.0,,,,,,,11,14,2.0,16,6,9,20,14,3,16,1978,19,21
7,Year/Year,,0.3%,2.6%,0.7%,0.009,,,,,,,6.4%,6.0%,0.003,-0.2%,2.6%,1.7%,8.0%,-16.7%,-2.8%,3.3%,1978,-6.8%,11.5%
0,Team,82.0,19705,3517,7311,0.481,,,,,,,2046,2841,0.72,1307,2596,3903,2166,1666,2106,9080,1979,673,416
1,Team/G,,240.3,42.9,89.2,0.481,,,,,,,25.0,34.6,0.72,15.9,31.7,47.6,26.4,20.3,25.7,110.7,1979,8.2,5.1
2,Lg Rank,,18,17,21,14.0,,,,,,,1,1,20.0,5,5,3,10,16,14,9,1979,19,11
3,Year/Year,,-0.6%,-0.9%,-1.7%,0.004,,,,,,,-1.1%,5.0%,-0.044,11.0%,-5.1%,-0.3%,-1.0%,-4.7%,-0.5%,-0.9%,1979,-18.3%,-1.4%
4,Opponent,82.0,19705,3631,7616,0.477,,,,,,,1713,2277,0.752,1218,2429,3647,2173,1529,2262,8975,1979,738,471
