,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,3P,3PA,3P%,2P,2PA,2P%
3,Year/Year,,-0.4%,-1.5%,0.1%,-0.008,1.5%,7.1%,-0.042,-0.5%,-1.4%,-1.2%,-2.8%,-2.9%,6.6%,-7.8%,5.2%,-1.1%,1981,-28.8%,-11.9%,-0.061,-1.0%,0.5%,-0.007
4,Opponent,82.0,19730,3430,7018,0.489,1879,2472,0.76,1154,2440,3594,1985,596,406,1303,1855,8784,1981,45,147,0.306,3385,6871,0.493
5,Opponent/G,,240.6,41.8,85.6,0.489,22.9,30.1,0.76,14.1,29.8,43.8,24.2,7.3,5.0,15.9,22.6,107.1,1981,0.5,1.8,0.306,41.3,83.8,0.493
6,Lg Rank,,20,7,4,11.0,19,17,20.0,8,16,13,6,1,11,23,23,12,1981,17,5,21.0,6,4,10.0
7,Year/Year,,-0.4%,-3.6%,-2.3%,-0.007,10.4%,12.1%,-0.012,-0.4%,6.6%,4.3%,-0.6%,-16.1%,2.0%,2.3%,4.1%,-1.2%,1981,-32.8%,-30.3%,-0.011,-3.1%,-1.4%,-0.008
0,Team,82.0,19780,3679,7446,0.494,1714,2282,0.751,1147,2362,3509,1895,700,357,1435,2196,9094,1982,22,97,0.227,3657,7349,0.498
1,Team/G,,241.2,44.9,90.8,0.494,20.9,27.8,0.751,14.0,28.8,42.8,23.1,8.5,4.4,17.5,26.8,110.9,1982,0.3,1.2,0.227,44.6,89.6,0.498
2,Lg Rank,,15,4,4,11.0,12,15,8.0,13,14,15,19,11,19,11,16,7,1982,22,22,17.0,3,4,11.0
3,Year/Year,,0.3%,10.4%,9.1%,0.006,7.5%,9.7%,-0.016,19.2%,1.6%,6.8%,-2.7%,9.9%,-7.5%,0.8%,4.1%,9.6%,1982,-47.6%,-40.5%,-0.031,11.2%,10.3%,0.004
4,Opponent,82.0,19780,3835,7530,0.509,1837,2466,0.745,1253,2599,3852,2148,663,420,1413,2052,9558,1982,51,200,0.255,3784,7330,0.516
5,Opponent/G,,241.2,46.8,91.8,0.509,22.4,30.1,0.745,15.3,31.7,47.0,26.2,8.1,5.1,17.2,25.0,116.6,1982,0.6,2.4,0.255,46.1,89.4,0.516
6,Lg Rank,,15,22,21,20.0,14,13,9.0,20,23,23,19,8,9,13,18,22,1982,13,14,12.0,22,21,20.0
7,Year/Year,,0.3%,11.8%,7.3%,0.021,-2.2%,-0.2%,-0.015,8.6%,6.5%,7.2%,8.2%,11.2%,3.4%,8.4%,10.6%,8.8%,1982,13.3%,36.1%,-0.051,11.8%,6.7%,0.024
0,Team,82.0,19755,3525,7342,0.48,1844,2440,0.756,1093,2550,3643,2176,758,595,1683,2017,8938,1983,44,183,0.24,3481,7159,0.486
1,Team/G,,240.9,43.0,89.5,0.48,22.5,29.8,0.756,13.3,31.1,44.4,26.5,9.2,7.3,20.5,24.6,109.0,1983,0.5,2.2,0.24,42.5,87.3,0.486
2,Lg Rank,,15,15,12,15.0,8,10,4.0,22,4,12,8,9,2,20,5,11,1983,10,12,9.0,15,12,16.0
3,Year/Year,,-0.1%,-4.2%,-1.4%,-0.014,7.6%,6.9%,0.005,-4.7%,8.0%,3.8%,14.8%,8.3%,66.7%,17.3%,-8.2%,-1.7%,1983,100.0%,88.7%,0.014,-4.8%,-2.6%,-0.011
4,Opponent,82.0,19755,3794,7932,0.478,1646,2288,0.719,1439,2671,4110,2202,826,448,1601,2102,9282,1983,48,199,0.241,3746,7733,0.484
5,Opponent/G,,240.9,46.3,96.7,0.478,20.1,27.9,0.719,17.5,32.6,50.1,26.9,10.1,5.5,19.5,25.6,113.2,1983,0.6,2.4,0.241,45.7,94.3,0.484
6,Lg Rank,,15,20,22,10.0,7,12,1.0,23,21,23,15,21,12,9,14,19,1983,15,15,11.0,20,22,9.0
7,Year/Year,,-0.1%,-1.1%,5.3%,-0.031,-10.4%,-7.2%,-0.026,14.8%,2.8%,6.7%,2.5%,24.6%,6.7%,13.3%,2.4%,-2.9%,1983,-5.9%,-0.5%,-0.014,-1.0%,5.5%,-0.032
0,Team,82.0,19780,3606,7242,0.498,2115,2708,0.781,1096,2522,3618,2230,695,604,1510,1978,9428,1984,101,317,0.319,3505,6925,0.506
1,Team/G,,241.2,44.0,88.3,0.498,25.8,33.0,0.781,13.4,30.8,44.1,27.2,8.5,7.4,18.4,24.1,115.0,1984,1.2,3.9,0.319,42.7,84.5,0.506
2,Lg Rank,,16,12,9,8.0,2,1,3.0,16,3,6,6,11,2,14,4,5,1984,1,1,1.0,12,16,8.0
3,Year/Year,,0.1%,2.3%,-1.4%,0.018,14.7%,11.0%,0.025,0.3%,-1.1%,-0.7%,2.5%,-8.3%,1.5%,-10.3%,-1.9%,5.5%,1984,129.5%,73.2%,0.078,0.7%,-3.3%,0.02
4,Opponent,82.0,19780,3745,7872,0.476,1799,2414,0.745,1458,2461,3919,2237,747,466,1438,2194,9335,1984,46,208,0.221,3699,7664,0.483
5,Opponent/G,,241.2,45.7,96.0,0.476,21.9,29.4,0.745,17.8,30.0,47.8,27.3,9.1,5.7,17.5,26.8,113.8,1984,0.6,2.5,0.221,45.1,93.5,0.483
6,Lg Rank,,16,20,22,3.0,9,11,2.0,23,20,22,18,17,16,13,6,20,1984,9,16,8.0,20,22,3.0
7,Year/Year,,0.1%,-1.3%,-0.8%,-0.003,9.3%,5.5%,0.026,1.3%,-7.9%,-4.6%,1.6%,-9.6%,4.0%,-10.2%,4.4%,0.6%,1984,-4.2%,4.5%,-0.02,-1.3%,-0.9%,-0.002
0,Team,82.0,19755,3478,7302,0.476,1878,2434,0.772,1081,2554,3635,2143,712,697,1575,1961,8937,1985,103,307,0.336,3375,6995,0.482
1,Team/G,,240.9,42.4,89.0,0.476,22.9,29.7,0.772,13.2,31.1,44.3,26.1,8.7,8.5,19.2,23.9,109.0,1985,1.3,3.7,0.336,41.2,85.3,0.482
2,Lg Rank,,17,17,11,20.0,8,11,8.0,18,3,7,14,9,1,17,7,14,1985,5,6,3.0,20,12,20.0
3,Year/Year,,-0.1%,-3.5%,0.8%,-0.022,-11.2%,-10.1%,-0.009,-1.4%,1.3%,0.5%,-3.9%,2.4%,15.4%,4.3%,-0.9%,-5.2%,1985,2.0%,-3.2%,0.017,-3.7%,1.0%,-0.024
4,Opponent,82.0,19755,3532,7604,0.464,1810,2375,0.762,1360,2645,4005,2069,806,443,1606,2076,8946,1985,72,280,0.257,3460,7324,0.472
5,Opponent/G,,240.9,43.1,92.7,0.464,22.1,29.0,0.762,16.6,32.3,48.8,25.2,9.8,5.4,19.6,25.3,109.1,1985,0.9,3.4,0.257,42.2,89.3,0.472
6,Lg Rank,,17,10,20,2.0,10,9,10.0,23,22,23,6,23,13,3,9,8,1985,12,18,5.0,10,20,2.0
7,Year/Year,,-0.1%,-5.7%,-3.4%,-0.011,0.6%,-1.6%,0.017,-6.7%,7.5%,2.2%,-7.5%,7.9%,-4.9%,11.7%,-5.4%,-4.2%,1985,56.5%,34.6%,0.036,-6.5%,-4.4%,-0.01
0,Team,82.0,19780,3453,7083,0.488,1930,2694,0.716,1068,2479,3547,2199,717,666,1518,2038,8871,1986,35,169,0.207,3418,6914,0.494
1,Team/G,,241.2,42.1,86.4,0.488,23.5,32.9,0.716,13.0,30.2,43.3,26.8,8.7,8.1,18.5,24.9,108.2,1986,0.4,2.1,0.207,41.7,84.3,0.494
2,Lg Rank,,15,16,18,11.0,8,5,22.0,19,5,12,8,13,2,17,9,18,1986,20,20,20.0,14,13,13.0
3,Year/Year,,0.1%,-0.7%,-3.0%,0.011,2.8%,10.7%,-0.055,-1.2%,-2.9%,-2.4%,2.6%,0.7%,-4.4%,-3.6%,3.9%,-0.7%,1986,-66.0%,-45.0%,-0.128,1.3%,-1.2%,0.012
4,Opponent,82.0,19780,3470,7339,0.473,1896,2483,0.764,1208,2510,3718,1977,752,464,1531,2221,8901,1986,65,251,0.259,3405,7088,0.48
5,Opponent/G,,241.2,42.3,89.5,0.473,23.1,30.3,0.764,14.7,30.6,45.3,24.1,9.2,5.7,18.7,27.1,108.5,1986,0.8,3.1,0.259,41.5,86.4,0.48
6,Lg Rank,,15,9,13,4.0,9,9,17.0,19,18,18,4,16,17,5,2,9,1986,4,6,5.0,9,14,4.0
7,Year/Year,,0.1%,-1.8%,-3.5%,0.008,4.8%,4.5%,0.001,-11.2%,-5.1%,-7.2%,-4.4%,-6.7%,4.7%,-4.7%,7.0%,-0.5%,1986,-9.7%,-10.4%,0.002,-1.6%,-3.2%,0.008
