,Rk,Player,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
7,8,Al Tucker,26,33,,16.9,2.9,5.7,0.513,,,,2.9,5.7,0.513,0.513,1.1,1.4,0.822,,,3.4,0.9,,,,1.6,7.0,1970
8,9,Ed Manning,26,38,,16.2,2.3,6.7,0.341,,,,2.3,6.7,0.341,0.341,1.0,1.3,0.771,,,5.2,0.9,,,,2.3,5.6,1970
9,10,Shaler Halimon,24,38,,13.6,2.5,6.4,0.393,,,,2.5,6.4,0.393,0.393,1.3,1.9,0.671,,,1.8,1.8,,,,1.5,6.3,1970
10,11,Bob Kauffman,23,64,,12.1,1.5,3.5,0.425,,,,1.5,3.5,0.425,0.425,1.4,1.9,0.715,,,3.3,1.2,,,,1.8,4.3,1970
11,12,Loy Petersen,24,31,,7.5,1.1,2.9,0.367,,,,1.1,2.9,0.367,0.367,0.8,1.3,0.667,,,0.8,0.7,,,,0.7,3.0,1970
12,13,Johnny Baum,23,3,,4.3,1.0,3.7,0.273,,,,1.0,3.7,0.273,0.273,0.0,0.0,,,,1.3,0.0,,,,0.3,2.0,1970
0,1,Bob Love,28,81,,43.0,9.4,21.1,0.447,,,,9.4,21.1,0.447,0.447,6.3,7.6,0.829,,,8.5,2.3,,,,3.2,25.2,1971
1,2,Jerry Sloan,28,80,,39.3,7.4,16.8,0.441,,,,7.4,16.8,0.441,0.441,3.5,4.9,0.715,,,8.8,3.5,,,,3.6,18.3,1971
2,3,Chet Walker,30,81,,36.1,8.0,17.3,0.465,,,,8.0,17.3,0.465,0.465,5.9,6.9,0.859,,,7.3,2.2,,,,2.3,22.0,1971
3,4,Tom Boerwinkle,25,82,,28.9,4.4,9.0,0.485,,,,4.4,9.0,0.485,0.485,2.0,2.8,0.724,,,13.8,4.8,,,,3.4,10.8,1971
4,5,Matt Guokas,26,78,,28.3,2.6,5.4,0.493,,,,2.6,5.4,0.493,0.493,1.3,1.8,0.732,,,2.0,4.4,,,,2.4,6.6,1971
5,6,Bob Weiss,28,82,,27.3,3.4,8.0,0.422,,,,3.4,8.0,0.422,0.422,2.8,3.3,0.84,,,2.3,4.7,,,,2.6,9.5,1971
6,7,Jim Fox,27,82,,19.9,3.4,7.5,0.458,,,,3.4,7.5,0.458,0.458,2.9,3.9,0.745,,,7.3,2.4,,,,2.6,9.7,1971
7,8,Jim King,29,55,,11.7,1.8,4.1,0.439,,,,1.8,4.1,0.439,0.439,1.2,1.4,0.81,,,1.2,1.4,,,,1.0,4.8,1971
8,9,Shaler Halimon,25,2,,11.5,0.5,4.0,0.125,,,,0.5,4.0,0.125,0.125,0.0,0.5,0.0,,,1.0,2.0,,,,2.5,1.0,1971
9,10,Johnny Baum,24,62,,8.8,2.0,4.7,0.42,,,,2.0,4.7,0.42,0.42,0.6,0.9,0.69,,,2.0,0.5,,,,0.9,4.6,1971
10,11,Jimmy Collins,24,55,,8.7,1.7,3.9,0.43,,,,1.7,3.9,0.43,0.43,0.6,0.8,0.778,,,1.0,1.1,,,,0.8,4.0,1971
11,12,Paul Ruffner,22,10,,6.0,1.5,3.5,0.429,,,,1.5,3.5,0.429,0.429,0.4,0.8,0.5,,,1.6,0.2,,,,1.0,3.4,1971
12,13,A.W. Holt,24,6,,2.3,0.2,1.3,0.125,,,,0.2,1.3,0.125,0.125,0.3,0.5,0.667,,,0.7,0.0,,,,0.2,0.7,1971
0,1,Bob Love,29,79,,39.3,10.4,23.5,0.442,,,,10.4,23.5,0.442,0.442,5.1,6.4,0.784,,,6.6,1.6,,,,3.0,25.8,1972
1,2,Jerry Sloan,29,82,,37.0,6.5,14.7,0.444,,,,6.5,14.7,0.444,0.444,3.1,4.8,0.66,,,8.4,2.6,,,,3.8,16.2,1972
2,3,Chet Walker,31,78,,33.2,7.9,15.7,0.505,,,,7.9,15.7,0.505,0.505,6.2,7.3,0.847,,,6.1,2.3,,,,2.2,22.0,1972
3,4,Norm Van Lier,24,69,,31.0,4.4,9.7,0.456,,,,4.4,9.7,0.456,0.456,3.2,4.0,0.791,,,4.3,7.1,,,,3.0,12.1,1972
4,5,Bob Weiss,29,82,,29.9,4.4,10.1,0.43,,,,4.4,10.1,0.43,0.43,2.6,3.1,0.835,,,2.1,4.6,,,,2.6,11.3,1972
5,6,Tom Boerwinkle,26,80,,25.3,2.7,6.3,0.438,,,,2.7,6.3,0.438,0.438,1.5,2.3,0.656,,,11.2,3.5,,,,3.2,7.0,1972
6,7,Clifford Ray,23,82,,22.8,2.7,5.4,0.499,,,,2.7,5.4,0.499,0.499,1.6,2.7,0.615,,,10.6,3.1,,,,3.6,7.0,1972
7,8,Jim King,30,73,,13.9,2.2,4.9,0.455,,,,2.2,4.9,0.455,0.455,1.2,1.5,0.788,,,1.1,1.4,,,,1.4,5.7,1972
8,9,Jim Fox,28,10,,13.3,2.0,5.3,0.377,,,,2.0,5.3,0.377,0.377,2.0,2.8,0.714,,,5.4,0.6,,,,2.1,6.0,1972
9,10,Howard Porter,23,67,,10.9,2.6,6.0,0.424,,,,2.6,6.0,0.424,0.424,0.9,1.1,0.766,,,2.7,0.4,,,,1.3,6.0,1972
10,11,Kenny McIntosh,23,43,,9.4,1.3,3.9,0.339,,,,1.3,3.9,0.339,0.339,0.5,1.0,0.477,,,2.1,0.4,,,,1.0,3.1,1972
11,12,Charlie Paulk,25,7,,8.6,1.1,4.0,0.286,,,,1.1,4.0,0.286,0.286,1.0,1.3,0.778,,,2.1,0.6,,,,1.0,3.3,1972
12,13,Jimmy Collins,25,19,,7.1,1.4,3.7,0.366,,,,1.4,3.7,0.366,0.366,0.5,0.6,0.909,,,0.6,0.5,,,,0.6,3.3,1972
13,14,Jackie Dinkins,22,18,,4.9,0.9,2.3,0.415,,,,0.9,2.3,0.415,0.415,0.6,1.1,0.55,,,1.1,0.4,,,,0.6,2.5,1972
0,1,Bob Love,30,82,,37.0,9.4,21.9,0.431,,,,9.4,21.9,0.431,0.431,4.2,5.1,0.824,,,6.5,1.5,,,,2.9,23.1,1973
1,2,Norm Van Lier,25,80,,36.0,5.9,13.3,0.445,,,,5.9,13.3,0.445,0.445,2.1,2.6,0.787,,,5.5,7.1,,,,3.4,13.9,1973
2,3,Jerry Sloan,30,69,,35.0,4.4,10.6,0.411,,,,4.4,10.6,0.411,0.411,1.4,1.9,0.707,,,6.9,2.2,,,,3.4,10.1,1973
3,4,Chet Walker,32,79,,31.1,7.6,15.8,0.478,,,,7.6,15.8,0.478,0.478,4.8,5.7,0.832,,,5.0,2.3,,,,2.1,19.9,1973
4,5,Clifford Ray,24,73,,27.5,3.5,7.1,0.492,,,,3.5,7.1,0.492,0.492,1.6,2.6,0.619,,,10.9,3.7,,,,3.2,8.6,1973
5,6,Bob Weiss,30,82,,25.4,3.4,8.0,0.426,,,,3.4,8.0,0.426,0.426,1.9,2.3,0.841,,,1.8,3.6,,,,1.8,8.7,1973
6,7,Tom Boerwinkle,27,8,,22.0,1.1,3.0,0.375,,,,1.1,3.0,0.375,0.375,1.5,2.5,0.6,,,6.8,5.0,,,,2.8,3.8,1973
7,8,Dennis Awtrey,24,79,,20.9,1.8,3.8,0.48,,,,1.8,3.8,0.48,0.48,1.1,1.9,0.57,,,5.5,2.8,,,,2.9,4.7,1973
8,9,Gar Heard,24,78,,19.7,4.4,10.4,0.425,,,,4.4,10.4,0.425,0.425,1.5,2.3,0.65,,,5.7,0.7,,,,2.1,10.3,1973
9,10,Jim King,31,65,,12.1,1.8,4.0,0.441,,,,1.8,4.0,0.441,0.441,0.7,0.8,0.846,,,1.2,1.2,,,,1.2,4.2,1973
10,11,Kenny McIntosh,24,3,,11.0,2.7,4.3,0.615,,,,2.7,4.3,0.615,0.615,0.0,0.7,0.0,,,3.0,0.3,,,,1.3,5.3,1973
11,12,Howard Porter,24,43,,9.5,2.3,5.0,0.452,,,,2.3,5.0,0.452,0.452,0.5,0.7,0.759,,,2.7,0.4,,,,1.2,5.1,1973
12,13,Rowland Garrett,22,35,,6.0,1.5,3.4,0.441,,,,1.5,3.4,0.441,0.441,0.6,0.9,0.677,,,1.7,0.2,,,,0.8,3.6,1973
13,14,Frank Russell,23,23,,5.7,1.3,3.3,0.377,,,,1.3,3.3,0.377,0.377,0.7,0.8,0.889,,,0.7,0.7,,,,0.5,3.2,1973
0,1,Bob Love,31,82,,40.1,8.9,21.4,0.417,,,,8.9,21.4,0.417,0.417,3.9,4.8,0.818,2.2,3.8,6.0,1.6,1.0,0.3,,2.7,21.8,1974
1,2,Jerry Sloan,31,77,,37.1,5.4,12.0,0.447,,,,5.4,12.0,0.447,0.447,2.5,3.5,0.711,1.9,5.3,7.2,1.9,2.4,0.1,,3.5,13.2,1974
2,3,Norm Van Lier,26,80,,35.8,5.3,13.1,0.406,,,,5.3,13.1,0.406,0.406,3.6,4.6,0.778,1.4,3.3,4.7,6.9,2.0,0.1,,3.5,14.3,1974
3,4,Clifford Ray,25,80,,32.9,3.9,7.7,0.511,,,,3.9,7.7,0.511,0.511,1.5,2.5,0.608,3.6,8.7,12.2,3.1,0.7,2.2,,3.5,9.3,1974
4,5,Chet Walker,33,82,,32.5,7.0,14.4,0.486,,,,7.0,14.4,0.486,0.486,5.4,6.1,0.875,1.6,3.4,5.0,2.4,0.8,0.0,,2.5,19.3,1974
5,6,Bob Weiss,31,79,,21.6,3.3,7.1,0.466,,,,3.3,7.1,0.466,0.466,1.8,2.2,0.835,0.4,0.9,1.3,3.8,1.3,0.2,,2.0,8.5,1974
6,7,Howard Porter,25,73,,16.8,4.1,9.0,0.45,,,,4.1,9.0,0.45,0.45,1.3,1.6,0.8,1.2,2.7,3.9,0.4,0.3,0.5,,1.6,9.4,1974
7,8,Tom Boerwinkle,28,46,,13.1,1.3,2.6,0.487,,,,1.3,2.6,0.487,0.487,0.9,1.3,0.7,1.2,3.5,4.6,2.0,0.3,0.4,,1.7,3.4,1974
8,9,Rick Adelman,27,55,,11.2,1.2,3.1,0.376,,,,1.2,3.1,0.376,0.376,1.0,1.4,0.711,0.3,1.0,1.3,1.0,0.7,0.0,,1.1,3.3,1974
9,10,Dennis Awtrey,25,68,,11.1,1.0,1.8,0.528,,,,1.0,1.8,0.528,0.528,0.8,1.4,0.574,0.7,1.8,2.6,1.3,0.3,0.2,,1.9,2.7,1974
10,11,John Hummer,25,18,,10.3,1.3,2.6,0.5,,,,1.3,2.6,0.5,0.5,0.8,1.6,0.5,0.7,1.3,2.1,0.7,0.2,0.1,,1.7,3.3,1974
11,12,Rowland Garrett,23,41,,9.1,1.7,4.5,0.37,,,,1.7,4.5,0.37,0.37,0.5,0.8,0.656,0.8,1.0,1.7,0.3,0.1,0.2,,1.0,3.8,1974
0,1,Bob Love,32,61,,39.4,8.8,20.6,0.429,,,,8.8,20.6,0.429,0.429,4.3,5.2,0.83,1.6,4.7,6.3,1.7,1.0,0.2,,3.4,22.0,1975
1,2,Norm Van Lier,27,70,,37.0,5.8,13.9,0.42,,,,5.8,13.9,0.42,0.42,3.4,4.3,0.792,1.2,3.5,4.7,5.8,2.0,0.2,,3.5,15.0,1975
2,3,Nate Thurmond,33,80,,34.5,3.1,8.6,0.364,,,,3.1,8.6,0.364,0.364,1.7,2.8,0.589,3.2,8.1,11.3,4.1,0.6,2.4,,3.4,7.9,1975
3,4,Jerry Sloan,32,78,,33.0,4.9,11.1,0.439,,,,4.9,11.1,0.439,0.439,2.5,3.3,0.748,2.3,4.6,6.9,2.1,2.2,0.2,,3.4,12.2,1975
4,5,Chet Walker,34,76,,32.3,6.9,14.2,0.487,,,,6.9,14.2,0.487,0.487,5.4,6.3,0.86,1.5,4.2,5.7,2.2,0.6,0.1,,2.4,19.2,1975
5,6,Rick Adelman,28,12,,28.3,3.6,8.7,0.413,,,,3.6,8.7,0.413,0.413,2.3,3.3,0.718,0.5,1.7,2.2,2.9,1.3,0.1,,2.6,9.5,1975
6,7,Bill Hewitt,30,18,,25.9,3.1,7.2,0.434,,,,3.1,7.2,0.434,0.434,0.8,1.3,0.609,1.7,4.8,6.4,1.3,0.5,0.6,,2.6,7.0,1975
