,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
0,Team,82.0,19805,3051,6438,0.474,560,1409,0.397,2491,5029,0.495,1587,2042,0.777,832,2395,3227,2072,620,399,1224,1685,8249,1995
1,Team/G,,241.5,37.2,78.5,0.474,6.8,17.2,0.397,30.4,61.3,0.495,19.4,24.9,0.777,10.1,29.2,39.4,25.3,7.6,4.9,14.9,20.5,100.6,1995
2,Lg Rank,,17,18,22,10.0,3,8,1.0,23,25,12.0,15,22,2.0,27,11,24,6,22,15,5,1,15,1995
3,Year/Year,,-0.1%,-9.8%,-9.3%,-0.002,66.7%,53.8%,0.031,-18.2%,-18.7%,0.003,-2.8%,-4.4%,0.013,-18.4%,-3.2%,-7.6%,-6.4%,-14.4%,1.3%,-3.3%,-3.5%,-5.5%,1995
4,Opponent,82.0,19805,3088,6807,0.454,429,1289,0.333,2659,5518,0.482,1375,1859,0.74,1102,2365,3467,1898,535,368,1216,1859,7980,1995
5,Opponent/G,,241.5,37.7,83.0,0.454,5.2,15.7,0.333,32.4,67.3,0.482,16.8,22.7,0.74,13.4,28.8,42.3,23.1,6.5,4.5,14.8,22.7,97.3,1995
6,Lg Rank,,17,11,18,6.0,10,19,2.0,14,18,11.0,2,2,15.0,18,17,18,14,1,5,23,20,6,1995
7,Year/Year,,-0.1%,-10.8%,-7.5%,-0.017,35.3%,40.7%,-0.013,-15.5%,-14.4%,-0.006,-8.8%,-8.7%,-0.001,-9.4%,-4.1%,-5.9%,-10.3%,-14.9%,-14.4%,-3.5%,5.6%,-8.8%,1995
0,Team,82.0,19880,3108,6618,0.47,584,1520,0.384,2524,5098,0.495,1631,2119,0.77,987,2256,3243,1907,582,277,1241,1815,8431,1996
1,Team/G,,242.4,37.9,80.7,0.47,7.1,18.5,0.384,30.8,62.2,0.495,19.9,25.8,0.77,12.0,27.5,39.5,23.3,7.1,3.4,15.1,22.1,102.8,1996
2,Lg Rank,,6,11,13,12.0,5,7,6.0,18,20,12.0,12,17,3.0,17,22,24,12,24,29,10,9,8,1996
3,Year/Year,,0.4%,1.9%,2.8%,-0.004,4.3%,7.9%,-0.013,1.3%,1.4%,-0.0,2.8%,3.8%,-0.007,18.6%,-5.8%,0.5%,-8.0%,-6.1%,-30.6%,1.4%,7.7%,2.2%,1996
4,Opponent,82.0,19880,3254,6651,0.489,530,1340,0.396,2724,5311,0.513,1440,1957,0.736,953,2358,3311,2049,536,368,1215,1829,8478,1996
5,Opponent/G,,242.4,39.7,81.1,0.489,6.5,16.3,0.396,33.2,64.8,0.513,17.6,23.9,0.736,11.6,28.8,40.4,25.0,6.5,4.5,14.8,22.3,103.4,1996
6,Lg Rank,,6,26,18,28.0,24,17,28.0,25,17,28.0,6,4,9.0,5,17,9,26,2,6,24,21,24,1996
7,Year/Year,,0.4%,5.4%,-2.3%,0.036,23.5%,4.0%,0.063,2.4%,-3.8%,0.031,4.7%,5.3%,-0.004,-13.5%,-0.3%,-4.5%,8.0%,0.2%,0.0%,-0.1%,-1.6%,6.2%,1996
