,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
5,Opponent/G,,240.3,43.8,97.3,0.45,19.2,26.2,0.732,16.9,34.6,51.5,24.8,24.2,106.8,1976,9.5,4.4,19.1,,,,,,
6,Lg Rank,,17,17,18,6.0,4,6,1.0,17,16,18,16,12,17,1976,13,11,12,,,,,,
7,Year/Year,,-0.8%,-0.1%,0.8%,-0.004,-1.9%,1.5%,-0.025,-2.7%,1.1%,-0.2%,-9.2%,-1.4%,-0.4%,1976,-5.7%,-17.9%,-2.6%,,,,,,
0,Team,82.0,19805,3663,7657,0.478,1437,1941,0.74,1177,2628,3805,2057,1867,8763,1977,801,445,1538,,,,,,
1,Team/G,,241.5,44.7,93.4,0.478,17.5,23.7,0.74,14.4,32.0,46.4,25.1,22.8,106.9,1977,9.8,5.4,18.8,,,,,,
2,Lg Rank,,3,5,8,8.0,22,22,15.0,17,11,14,5,2,10,1977,11,9,2,,,,,,
3,Year/Year,,0.5%,3.3%,0.5%,0.013,-14.0%,-10.3%,-0.031,4.0%,-8.4%,-4.9%,6.1%,-7.8%,-0.0%,1977,18.8%,-15.7%,-4.6%,,,,,,
4,Opponent,82.0,19805,3515,7781,0.452,1510,1990,0.759,1348,2625,3973,1900,1816,8540,1977,763,362,1599,,,,,,
5,Opponent/G,,241.5,42.9,94.9,0.452,18.4,24.3,0.759,16.4,32.0,48.5,23.2,22.1,104.1,1977,9.3,4.4,19.5,,,,,,
6,Lg Rank,,3,11,18,4.0,4,4,19.0,20,10,17,9,22,4,1977,11,5,17,,,,,,
7,Year/Year,,0.5%,-2.1%,-2.5%,0.002,-4.0%,-7.4%,0.026,-2.6%,-7.5%,-5.9%,-6.5%,-8.6%,-2.5%,1977,-1.5%,-0.3%,2.2%,,,,,,
0,Team,82.0,19805,3734,7672,0.487,1576,2095,0.752,1136,2647,3783,2229,1964,9044,1978,802,409,1548,,,,,,
1,Team/G,,241.5,45.5,93.6,0.487,19.2,25.5,0.752,13.9,32.3,46.1,27.2,24.0,110.3,1978,9.8,5.0,18.9,,,,,,
2,Lg Rank,,13,4,12,3.0,19,20,10.0,20,9,16,5,7,8,1978,10,11,4,,,,,,
3,Year/Year,,0.0%,1.9%,0.2%,0.008,9.7%,7.9%,0.012,-3.5%,0.7%,-0.6%,8.4%,5.2%,3.2%,1978,0.1%,-8.1%,0.7%,,,,,,
4,Opponent,82.0,19805,3648,7880,0.463,1529,2050,0.746,1365,2599,3964,2073,1919,8825,1978,756,379,1570,,,,,,
5,Opponent/G,,241.5,44.5,96.1,0.463,18.6,25.0,0.746,16.6,31.7,48.3,25.3,23.4,107.6,1978,9.2,4.6,19.1,,,,,,
6,Lg Rank,,13,15,19,7.0,4,4,6.0,22,10,17,10,20,7,1978,9,7,15,,,,,,
7,Year/Year,,0.0%,3.8%,1.3%,0.011,1.3%,3.0%,-0.013,1.3%,-1.0%,-0.2%,9.1%,5.7%,3.3%,1978,-0.9%,4.7%,-1.8%,,,,,,
0,Team,82.0,19780,3827,7397,0.517,1606,2088,0.769,949,2557,3506,2338,1851,9260,1979,793,500,1569,,,,,,
1,Team/G,,241.2,46.7,90.2,0.517,19.6,25.5,0.769,11.6,31.2,42.8,28.5,22.6,112.9,1979,9.7,6.1,19.1,,,,,,
2,Lg Rank,,6,4,17,1.0,19,20,5.0,22,7,20,3,2,8,1979,8,8,7,,,,,,
3,Year/Year,,-0.1%,2.5%,-3.6%,0.031,1.9%,-0.3%,0.017,-16.5%,-3.4%,-7.3%,4.9%,-5.8%,2.4%,1979,-1.1%,22.2%,1.4%,,,,,,
4,Opponent,82.0,19780,3797,7848,0.484,1415,1931,0.733,1288,2486,3774,2234,1958,9009,1979,737,359,1542,,,,,,
5,Opponent/G,,241.2,46.3,95.7,0.484,17.3,23.5,0.733,15.7,30.3,46.0,27.2,23.9,109.9,1979,9.0,4.4,18.8,,,,,,
6,Lg Rank,,6,17,19,11.0,2,2,1.0,17,11,17,19,19,8,1979,10,3,16,,,,,,
7,Year/Year,,-0.1%,4.1%,-0.4%,0.021,-7.5%,-5.8%,-0.013,-5.6%,-4.3%,-4.8%,7.8%,2.0%,2.1%,1979,-2.5%,-5.3%,-1.8%,,,,,,
