Player,Salary,Year
Damjan Rudez,"$1,149,500 ",2016
Greg Smith,"$247,623 ",2016
Ricky Rubio,"$13,550,000 ",2017
Nikola Pekovic,"$12,100,000 ",2017
Kevin Garnett,"$8,000,000 ",2017
Cole Aldrich,"$7,643,979 ",2017
Andrew Wiggins,"$6,006,600 ",2017
Karl-Anthony Towns,"$5,960,160 ",2017
Jordan Hill,"$3,911,380 ",2017
Kris Dunn,"$3,872,520 ",2017
Nemanja Bjelica,"$3,800,000 ",2017
Brandon Rush,"$3,500,000 ",2017
Shabazz Muhammad,"$3,046,299 ",2017
Gorgui Dieng,"$2,348,783 ",2017
Zach LaVine,"$2,240,880 ",2017
Adreian Payne,"$2,022,240 ",2017
Kevin Martin,"$1,360,305 ",2017
Tyus Jones,"$1,339,680 ",2017
John Lucas III,"$635,753 ",2017
Lance Stephenson,"$144,386 ",2017
Omri Casspi,"$138,414 ",2017
Jimmy Butler,"$19,301,070 ",2018
Jeff Teague,"$19,000,000 ",2018
Gorgui Dieng,"$14,112,360 ",2018
Taj Gibson,"$14,000,000 ",2018
Andrew Wiggins,"$7,574,322 ",2018
Cole Aldrich,"$7,300,000 ",2018
Karl-Anthony Towns,"$6,216,840 ",2018
Jamal Crawford,"$4,328,000 ",2018
Nemanja Bjelica,"$3,949,999 ",2018
Justin Patton,"$2,247,480 ",2018
Tyus Jones,"$1,471,382 ",2018
Aaron Brooks,"$1,471,382 ",2018
Kevin Martin,"$1,360,305 ",2018
Marcus Georges-Hunt,"$1,312,611 ",2018
Shabazz Muhammad,"$1,238,616 ",2018
Derrick Rose,"$290,951 ",2018
Amile Jefferson,"$4,608 ",2018
Anthony Brown,$0 ,2018
Andrew Wiggins,"$25,467,250 ",2019
Jeff Teague,"$19,000,000 ",2019
Gorgui Dieng,"$15,170,787 ",2019
Taj Gibson,"$14,000,000 ",2019
Robert Covington,"$10,464,092 ",2019
Jerryd Bayless,"$8,575,916 ",2019
Karl-Anthony Towns,"$7,839,435 ",2019
Anthony Tolliver,"$5,750,000 ",2019
Dario Saric,"$2,526,840 ",2019
Tyus Jones,"$2,444,053 ",2019
Luol Deng,"$2,393,887 ",2019
Derrick Rose,"$2,176,260 ",2019
Josh Okogie,"$2,160,720 ",2019
Kevin Martin,"$1,360,304 ",2019
Keita Bates-Diop,"$838,464 ",2019
Cole Aldrich,"$685,341 ",2019
James Nunnally,"$655,632 ",2019
Cameron Reynolds,"$203,695 ",2019
Isaiah Canaan,"$198,580 ",2019
Mitch Creek,"$56,845 ",2019
Jared Terrell,$0 ,2019
C.J. Williams,$0 ,2019
Karl-Anthony Towns,"$27,285,000 ",2020
D'Angelo Russell,"$27,285,000 ",2020
Evan Turner,"$18,606,557 ",2020
Allen Crabbe,"$17,818,456 ",2020
James Johnson,"$15,349,400 ",2020
Jarrett Culver,"$5,813,640 ",2020
Jake Layman,"$3,581,986 ",2020
Juancho Hernangomez,"$3,321,030 ",2020
Malik Beasley,"$2,731,714 ",2020
Josh Okogie,"$2,530,680 ",2020
Jacob Evans,"$1,925,880 ",2020
Omari Spellman,"$1,897,800 ",2020
Jarred Vanderbilt,"$1,416,852 ",2020
Jaylen Nowell,"$1,400,000 ",2020
Naz Reid,"$898,310 ",2020
Cole Aldrich,"$685,340 ",2020
Jordan McLaughlin,$0 ,2020
Kelan Martin,$0 ,2020
Karl-Anthony Towns,"$29,467,800 ",2021
D'Angelo Russell,"$28,649,250 ",2021
Ricky Rubio,"$17,000,000 ",2021
Malik Beasley,"$13,425,895 ",2021
Anthony Edwards,"$9,757,440 ",2021
Jarrett Culver,"$6,104,280 ",2021
Juancho Hernangomez,"$5,718,000 ",2021
Ed Davis,"$5,005,350 ",2021
Jake Layman,"$3,761,085 ",2021
Josh Okogie,"$2,651,040 ",2021
Jaden McDaniels,"$1,964,760 ",2021
Jarred Vanderbilt,"$1,663,861 ",2021
Jaylen Nowell,"$1,517,981 ",2021
Naz Reid,"$1,517,981 ",2021
Cole Aldrich,"$685,340 ",2021
Jordan McLaughlin,$0 ,2021
Karl-Anthony Towns,"$31,650,600 ",2022
D'Angelo Russell,"$30,013,500 ",2022
Malik Beasley,"$14,391,964 ",2022
Patrick Beverley,"$14,320,988 ",2022
Taurean Prince,"$13,000,000 ",2022
Anthony Edwards,"$10,245,480 ",2022
Josh Okogie,"$4,087,904 ",2022
Jarred Vanderbilt,"$4,000,000 ",2022
Jake Layman,"$3,940,184 ",2022
Leandro Bolmaro,"$2,353,320 ",2022
Jaden McDaniels,"$2,063,280 ",2022
Jordan McLaughlin,"$2,000,000 ",2022
Jaylen Nowell,"$1,782,621 ",2022
Naz Reid,"$1,782,621 ",2022
Greg Monroe,"$193,227 ",2022
Chris Silva,"$95,930 ",2022
Rayjon Tucker,"$95,930 ",2022
Nathan Knight,$0 ,2022
McKinley Wright,$0 ,2022
Rudy Gobert,"$38,172,414 ",2023
Karl-Anthony Towns,"$33,833,400 ",2023
Mike Conley,"$22,680,000 ",2023
Anthony Edwards,"$10,733,400 ",2023
Kyle Anderson,"$8,780,488 ",2023
Taurean Prince,"$7,295,000 ",2023
Nickeil Alexander-Walker,"$5,009,633 ",2023
Wendell Moore Jr.,"$2,306,520 ",2023
Jaden McDaniels,"$2,161,440 ",2023
Jordan McLaughlin,"$2,160,000 ",2023
PJ Dozier,"$2,133,278 ",2023
Naz Reid,"$1,930,681 ",2023
Jaylen Nowell,"$1,930,681 ",2023
Bryn Forbes,"$1,836,090 ",2023
Austin Rivers,"$1,836,090 ",2023
Nathan Knight,"$1,836,090 ",2023
CJ Elleby,"$1,836,090 ",2023
Emmanuel Mudiay,"$1,836,090 ",2023
Josh Minott,"$1,017,781 ",2023
Phillip Wheeler,"$1,017,781 ",2023
Matt Lewis,"$1,017,781 ",2023
