,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,-0.3%,2.0%,0.8%,0.005,13.2%,15.0%,-0.012,8.1%,-2.0%,1.2%,-3.1%,-4.5%,4.2%,1977,9.5%,-12.8%,9.4%,,,,,,
0,Team,82.0,19855,3552,7424,0.478,1832,2490,0.736,1229,2601,3830,1840,1980,8936,1978,866,330,1858,,,,,,
1,Team/G,,242.1,43.3,90.5,0.478,22.3,30.4,0.736,15.0,31.7,46.7,22.4,24.1,109.0,1978,10.6,4.0,22.7,,,,,,
2,Lg Rank,,5,12,18,7.0,7,5,17.0,11,13,13,20,8,10,1978,5,18,22,,,,,,
3,Year/Year,,0.6%,-5.6%,-4.7%,-0.005,27.0%,27.0%,0.0,5.1%,4.2%,4.5%,-8.2%,-10.0%,-0.4%,1978,-1.3%,-28.1%,8.1%,,,,,,
4,Opponent,82.0,19855,3688,7706,0.479,1662,2177,0.763,1244,2494,3738,2105,2088,9038,1978,902,395,1719,,,,,,
5,Opponent/G,,242.1,45.0,94.0,0.479,20.3,26.5,0.763,15.2,30.4,45.6,25.7,25.5,110.2,1978,11.0,4.8,21.0,,,,,,
6,Lg Rank,,5,19,13,19.0,7,6,20.0,14,3,6,15,9,15,1978,21,10,7,,,,,,
7,Year/Year,,0.6%,3.6%,2.2%,0.006,-14.0%,-14.4%,0.003,-5.5%,-5.4%,-5.5%,7.8%,14.3%,-0.2%,1978,13.7%,3.7%,-6.0%,,,,,,
0,Team,82.0,19780,3708,7802,0.475,1607,2242,0.717,1303,2380,3683,2092,2141,9023,1979,847,550,1599,,,,,,
1,Team/G,,241.2,45.2,95.1,0.475,19.6,27.3,0.717,15.9,29.0,44.9,25.5,26.1,110.0,1979,10.3,6.7,19.5,,,,,,
2,Lg Rank,,6,9,2,16.0,18,16,21.0,6,17,13,12,17,10,1979,4,5,10,,,,,,
3,Year/Year,,-0.4%,4.4%,5.1%,-0.003,-12.3%,-10.0%,-0.019,6.0%,-8.5%,-3.8%,13.7%,8.1%,1.0%,1979,-2.2%,66.7%,-13.9%,,,,,,
4,Opponent,82.0,19780,3755,7623,0.493,1732,2295,0.755,1301,2628,3929,2197,1914,9242,1979,666,504,1744,,,,,,
5,Opponent/G,,241.2,45.8,93.0,0.493,21.1,28.0,0.755,15.9,32.0,47.9,26.8,23.3,112.7,1979,8.1,6.1,21.3,,,,,,
6,Lg Rank,,6,14,14,17.0,11,11,13.0,21,20,21,17,21,18,1979,5,20,6,,,,,,
7,Year/Year,,-0.4%,1.8%,-1.1%,0.014,4.2%,5.4%,-0.009,4.6%,5.4%,5.1%,4.4%,-8.3%,2.3%,1979,-26.2%,27.6%,1.5%,,,,,,
0,Team,82.0,19780,3643,7596,0.48,1590,2149,0.74,1226,2415,3641,1950,2069,8933,1980,783,562,1742,57.0,219.0,0.26,3586,7377,0.486
