,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS,Year,STL,BLK
7,Year/Year,,0.1%,-3.2%,-0.1%,-0.015,,,,,,,-1.2%,-3.1%,0.014,1.2%,-4.1%,-2.4%,-0.6%,-8.8%,-5.9%,-2.9%,1978,3.2%,-9.8%
0,Team,82.0,19830,3927,7760,0.506,,,,,,,1926,2423,0.795,1096,2619,3715,2313,1652,2071,9780,1979,829,509
1,Team/G,,241.8,47.9,94.6,0.506,,,,,,,23.5,29.5,0.795,13.4,31.9,45.3,28.2,20.1,25.3,119.3,1979,10.1,6.2
2,Lg Rank,,4,1,4,3.0,,,,,,,3,6,1.0,20,4,11,4,14,11,1,1979,5,7
3,Year/Year,,0.3%,3.5%,2.2%,0.006,,,,,,,7.2%,8.5%,-0.01,6.4%,1.0%,2.5%,3.3%,-0.8%,10.7%,4.2%,1979,4.0%,-8.0%
4,Opponent,82.0,19830,3798,7970,0.477,,,,,,,1759,2343,0.751,1297,2531,3828,2232,1700,2168,9355,1979,788,405
5,Opponent/G,,241.8,46.3,97.2,0.477,,,,,,,21.5,28.6,0.751,15.8,30.9,46.7,27.2,20.7,26.4,114.1,1979,9.6,4.9
6,Lg Rank,,4,18,20,4.0,,,,,,,13,14,10.0,19,14,18,18,7,5,20,1979,16,7
7,Year/Year,,0.3%,-0.3%,-1.2%,0.004,,,,,,,17.7%,17.4%,0.002,-3.6%,-1.7%,-2.4%,4.1%,2.3%,5.3%,2.7%,1979,-5.9%,6.9%
0,Team,82.0,19755,3856,7738,0.498,52.0,206.0,0.252,3804,7532,0.505,2024,2528,0.801,1153,2515,3668,2326,1589,2103,9788,1980,771,333
1,Team/G,,240.9,47.0,94.4,0.498,0.6,2.5,0.252,46.4,91.9,0.505,24.7,30.8,0.801,14.1,30.7,44.7,28.4,19.4,25.6,119.4,1980,9.4,4.1
2,Lg Rank,,20,2,3,2.0,13.0,11.0,13.0,2,3,2.0,2,4,2.0,18,7,12,2,15,17,1,1980,14,20
3,Year/Year,,-0.4%,-1.8%,-0.3%,-0.008,,,,-3.1%,-2.9%,-0.001,5.1%,4.3%,0.006,5.2%,-4.0%,-1.3%,0.6%,-3.8%,1.5%,0.1%,1980,-7.0%,-34.6%
4,Opponent,82.0,19755,4000,7997,0.5,88.0,288.0,0.306,3912,7709,0.507,1731,2283,0.758,1248,2472,3720,2537,1513,2192,9819,1980,828,457
