,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
0,Team,82.0,19755,3552,7101,0.5,1693,2341,0.723,1131,2196,3327,1878,2353,8896,1982,636,299,1570,99,338,0.293,3453,6763,0.511
1,Team/G,,240.9,43.3,86.6,0.5,20.6,28.5,0.723,13.8,26.8,40.6,22.9,28.7,108.5,1982,7.8,3.6,19.1,1.2,4.1,0.293,42.1,82.5,0.511
2,Lg Rank,,21,11,19,7.0,15,12,19.0,17,22,23,20,22,10,1982,18,23,19,2,1,5.0,17,21,5.0
3,Year/Year,,0.1%,2.2%,-2.5%,0.023,2.5%,4.2%,-0.012,-3.3%,2.4%,0.4%,-10.5%,13.2%,1.8%,1982,-16.8%,2.4%,11.6%,-25.0%,-17.0%,-0.031,3.2%,-1.6%,0.024
4,Opponent,82.0,19755,3739,7105,0.526,1988,2647,0.751,1033,2276,3309,2129,2124,9502,1982,772,487,1334,36,146,0.247,3703,6959,0.532
5,Opponent/G,,240.9,45.6,86.6,0.526,24.2,32.3,0.751,12.6,27.8,40.4,26.0,25.9,115.9,1982,9.4,5.9,16.3,0.4,1.8,0.247,45.2,84.9,0.532
6,Lg Rank,,21,19,10,23.0,22,22,14.0,1,5,1,18,15,21,1982,19,18,21,3,3,9.0,20,10,23.0
7,Year/Year,,0.1%,6.6%,2.2%,0.022,9.4%,8.8%,0.004,-5.3%,-4.2%,-4.6%,1.5%,5.9%,7.2%,1982,13.0%,24.2%,-14.1%,9.1%,-4.6%,0.031,6.6%,2.4%,0.021
0,Team,82.0,19830,3625,7634,0.475,1589,2195,0.724,1394,2108,3502,2087,2284,8903,1983,820,408,1600,64,262,0.244,3561,7372,0.483
1,Team/G,,241.8,44.2,93.1,0.475,19.4,26.8,0.724,17.0,25.7,42.7,25.5,27.9,108.6,1983,10.0,5.0,19.5,0.8,3.2,0.244,43.4,89.9,0.483
2,Lg Rank,,3,9,3,19.0,17,16,19.0,1,23,21,14,22,14,1983,4,16,17,5,4,8.0,11,4,19.0
3,Year/Year,,0.4%,2.1%,7.5%,-0.025,-6.1%,-6.2%,0.001,23.3%,-4.0%,5.3%,11.1%,-2.9%,0.1%,1983,28.9%,36.5%,1.9%,-35.4%,-22.5%,-0.049,3.1%,9.0%,-0.028
4,Opponent,82.0,19830,3652,6910,0.529,1963,2626,0.748,1095,2365,3460,2105,1962,9299,1983,789,519,1723,32,130,0.246,3620,6780,0.534
5,Opponent/G,,241.8,44.5,84.3,0.529,23.9,32.0,0.748,13.4,28.8,42.2,25.7,23.9,113.4,1983,9.6,6.3,21.0,0.4,1.6,0.246,44.1,82.7,0.534
6,Lg Rank,,3,14,2,23.0,22,22,15.0,3,9,5,12,19,20,1983,19,18,2,2,2,12.0,15,4,23.0
7,Year/Year,,0.4%,-2.3%,-2.7%,0.002,-1.3%,-0.8%,-0.004,6.0%,3.9%,4.6%,-1.1%,-7.6%,-2.1%,1983,2.2%,6.6%,29.2%,-11.1%,-11.0%,-0.0,-2.2%,-2.6%,0.002
0,Team,82.0,19730,3634,7325,0.496,1785,2424,0.736,1307,2382,3689,1981,2020,9077,1984,567,385,1515,24,128,0.188,3610,7197,0.502
1,Team/G,,240.6,44.3,89.3,0.496,21.8,29.6,0.736,15.9,29.0,45.0,24.2,24.6,110.7,1984,6.9,4.7,18.5,0.3,1.6,0.188,44.0,87.8,0.502
2,Lg Rank,,23,7,6,9.0,14,13,22.0,3,12,4,20,6,9,1984,22,15,15,21,20,22.0,6,6,9.0
3,Year/Year,,-0.5%,0.2%,-4.0%,0.021,12.3%,10.4%,0.012,-6.2%,13.0%,5.3%,-5.1%,-11.6%,2.0%,1984,-30.9%,-5.6%,-5.3%,-62.5%,-51.1%,-0.057,1.4%,-2.4%,0.019
4,Opponent,82.0,19730,3771,7406,0.509,1749,2233,0.783,1112,2163,3275,2370,2043,9344,1984,727,458,1242,53,187,0.283,3718,7219,0.515
5,Opponent/G,,240.6,46.0,90.3,0.509,21.3,27.2,0.783,13.6,26.4,39.9,28.9,24.9,114.0,1984,8.9,5.6,15.1,0.6,2.3,0.283,45.3,88.0,0.515
6,Lg Rank,,23,21,18,20.0,5,5,23.0,8,2,3,21,17,21,1984,16,14,22,15,9,20.0,21,18,20.0
7,Year/Year,,-0.5%,3.3%,7.2%,-0.019,-10.9%,-15.0%,0.036,1.6%,-8.5%,-5.3%,12.6%,4.1%,0.5%,1984,-7.9%,-11.8%,-27.9%,65.6%,43.8%,0.037,2.7%,6.5%,-0.019
0,Team,82.0,19730,3527,7119,0.495,1674,2208,0.758,1163,2434,3597,1934,1840,8784,1985,534,497,1587,56,188,0.298,3471,6931,0.501
1,Team/G,,240.6,43.0,86.8,0.495,20.4,26.9,0.758,14.2,29.7,43.9,23.6,22.4,107.1,1985,6.5,6.1,19.4,0.7,2.3,0.298,42.3,84.5,0.501
2,Lg Rank,,21,13,18,8.0,20,22,14.0,12,8,11,22,3,19,1985,23,6,20,14,19,8.0,11,16,8.0
3,Year/Year,,0.0%,-2.9%,-2.8%,-0.001,-6.2%,-8.9%,0.022,-11.0%,2.2%,-2.5%,-2.4%,-8.9%,-3.2%,1985,-5.8%,29.1%,4.8%,133.3%,46.9%,0.11,-3.9%,-3.7%,-0.001
4,Opponent,82.0,19730,3737,7630,0.49,1604,2115,0.758,1248,2282,3530,2264,1887,9152,1985,770,422,1242,74,263,0.281,3663,7367,0.497
5,Opponent/G,,240.6,45.6,93.0,0.49,19.6,25.8,0.758,15.2,27.8,43.0,27.6,23.0,111.6,1985,9.4,5.1,15.1,0.9,3.2,0.281,44.7,89.8,0.497
6,Lg Rank,,21,20,21,11.0,3,3,6.0,19,7,11,19,22,16,1985,19,10,22,14,16,11.0,20,22,10.0
7,Year/Year,,0.0%,-0.9%,3.0%,-0.019,-8.3%,-5.3%,-0.025,12.2%,5.5%,7.8%,-4.5%,-7.6%,-2.1%,1985,5.9%,-7.9%,0.0%,39.6%,40.6%,-0.002,-1.5%,2.1%,-0.018
0,Team,82.0,19755,3388,7165,0.473,2067,2683,0.77,1159,2258,3417,1968,1931,8907,1986,694,501,1506,64,229,0.279,3324,6936,0.479
1,Team/G,,240.9,41.3,87.4,0.473,25.2,32.7,0.77,14.1,27.5,41.7,24.0,23.5,108.6,1986,8.5,6.1,18.4,0.8,2.8,0.279,40.5,84.6,0.479
2,Lg Rank,,20,20,14,19.0,3,6,8.0,10,21,21,21,5,16,1986,15,5,15,14,14,10.0,20,9,21.0
3,Year/Year,,0.1%,-3.9%,0.6%,-0.023,23.5%,21.5%,0.012,-0.3%,-7.2%,-5.0%,1.8%,4.9%,1.4%,1986,30.0%,0.8%,-5.1%,14.3%,21.8%,-0.018,-4.2%,0.1%,-0.022
4,Opponent,82.0,19755,3849,7588,0.507,1704,2280,0.747,1268,2458,3726,2469,2113,9475,1986,760,457,1396,73,261,0.28,3776,7327,0.515
5,Opponent/G,,240.9,46.9,92.5,0.507,20.8,27.8,0.747,15.5,30.0,45.4,30.1,25.8,115.5,1986,9.3,5.6,17.0,0.9,3.2,0.28,46.0,89.4,0.515
6,Lg Rank,,20,21,22,22.0,5,5,4.0,22,14,20,23,9,22,1986,17,16,16,10,9,11.0,22,22,22.0
7,Year/Year,,0.1%,3.0%,-0.6%,0.017,6.2%,7.8%,-0.011,1.6%,7.7%,5.6%,9.1%,12.0%,3.5%,1986,-1.3%,8.3%,12.4%,-1.4%,-0.8%,-0.002,3.1%,-0.5%,0.018
0,Team,82.0,19780,3311,7332,0.452,1866,2515,0.742,1231,2137,3368,1971,2004,8566,1987,751,432,1493,78,348,0.224,3233,6984,0.463
1,Team/G,,241.2,40.4,89.4,0.452,22.8,30.7,0.742,15.0,26.1,41.1,24.0,24.4,104.5,1987,9.2,5.3,18.2,1.0,4.2,0.224,39.4,85.2,0.463
2,Lg Rank,,13,23,9,23.0,15,14,19.0,10,23,22,19,10,21,1987,8,12,17,18,13,22.0,21,9,22.0
3,Year/Year,,0.1%,-2.3%,2.3%,-0.021,-9.7%,-6.3%,-0.028,6.2%,-5.4%,-1.4%,0.2%,3.8%,-3.8%,1987,8.2%,-13.8%,-0.9%,21.9%,52.0%,-0.055,-2.7%,0.7%,-0.016
4,Opponent,82.0,19780,3759,7254,0.518,1875,2515,0.746,1187,2643,3830,2416,2021,9503,1987,806,534,1533,110,320,0.344,3649,6934,0.526
5,Opponent/G,,241.2,45.8,88.5,0.518,22.9,30.7,0.746,14.5,32.2,46.7,29.5,24.6,115.9,1987,9.8,6.5,18.7,1.3,3.9,0.344,44.5,84.6,0.526
6,Lg Rank,,13,23,9,23.0,9,11,1.0,9,22,21,23,13,22,1987,20,21,4,8,1,23.0,23,13,23.0
7,Year/Year,,0.1%,-2.3%,-4.4%,0.011,10.0%,10.3%,-0.002,-6.4%,7.5%,2.8%,-2.1%,-4.4%,0.3%,1987,6.1%,16.8%,9.8%,50.7%,22.6%,0.064,-3.4%,-5.4%,0.011
0,Team,82.0,19805,3190,7194,0.443,1644,2305,0.713,1191,2350,3541,1885,1908,8103,1988,721,520,1534,79,317,0.249,3111,6877,0.452
1,Team/G,,241.5,38.9,87.7,0.443,20.0,28.1,0.713,14.5,28.7,43.2,23.0,23.3,98.8,1988,8.8,6.3,18.7,1.0,3.9,0.249,37.9,83.9,0.452
2,Lg Rank,,5,23,10,23.0,22,17,23.0,10,14,12,21,9,23,1988,10,4,23,19,17,20.0,21,9,23.0
3,Year/Year,,0.1%,-3.7%,-1.9%,-0.008,-11.9%,-8.3%,-0.029,-3.2%,10.0%,5.1%,-4.4%,-4.8%,-5.4%,1988,-4.0%,20.4%,2.7%,1.3%,-8.9%,0.025,-3.8%,-1.5%,-0.011
4,Opponent,82.0,19805,3513,7360,0.477,1799,2309,0.779,1241,2666,3907,2300,1912,8949,1988,842,483,1452,124,363,0.342,3389,6997,0.484
5,Opponent/G,,241.5,42.8,89.8,0.477,21.9,28.2,0.779,15.1,32.5,47.6,28.0,23.3,109.1,1988,10.3,5.9,17.7,1.5,4.4,0.342,41.3,85.3,0.484
6,Lg Rank,,5,17,18,13.0,10,9,21.0,20,22,22,22,19,16,1988,23,18,5,9,1,21.0,17,19,8.0
7,Year/Year,,0.1%,-6.5%,1.5%,-0.041,-4.1%,-8.2%,0.034,4.5%,0.9%,2.0%,-4.8%,-5.4%,-5.8%,1988,4.5%,-9.6%,-5.3%,12.7%,13.4%,-0.002,-7.1%,0.9%,-0.042
0,Team,82.0,19855,3526,7428,0.475,1606,2220,0.723,1156,2384,3540,2208,1937,8712,1989,815,530,1666,54,234,0.231,3472,7194,0.483
1,Team/G,,242.1,43.0,90.6,0.475,19.6,27.1,0.723,14.1,29.1,43.2,26.9,23.6,106.2,1989,9.9,6.5,20.3,0.7,2.9,0.231,42.3,87.7,0.483
2,Lg Rank,,3,8,9,12.0,23,21,23.0,13,15,17,8,11,18,1989,8,4,23,24,25,23.0,5,4,17.0
3,Year/Year,,0.3%,10.5%,3.3%,0.031,-2.3%,-3.7%,0.01,-2.9%,1.4%,-0.0%,17.1%,1.5%,7.5%,1989,13.0%,1.9%,8.6%,-31.6%,-26.2%,-0.018,11.6%,4.6%,0.03
4,Opponent,82.0,19855,3747,7738,0.484,1834,2400,0.764,1342,2550,3892,2384,1882,9525,1989,933,551,1440,197,576,0.342,3550,7162,0.496
5,Opponent/G,,242.1,45.7,94.4,0.484,22.4,29.3,0.764,16.4,31.1,47.5,29.1,23.0,116.2,1989,11.4,6.7,17.6,2.4,7.0,0.342,43.3,87.3,0.496
6,Lg Rank,,3,25,24,16.0,14,16,8.0,24,21,23,25,18,23,1989,25,24,11,23,21,18.0,25,23,14.0
7,Year/Year,,0.3%,6.7%,5.1%,0.007,1.9%,3.9%,-0.015,8.1%,-4.4%,-0.4%,3.7%,-1.6%,6.4%,1989,10.8%,14.1%,-0.8%,58.9%,58.7%,0.0,4.8%,2.4%,0.011
0,Team,82.0,19805,3319,6853,0.484,1815,2458,0.738,1056,2362,3418,1978,1859,8509,1990,782,507,1547,56,230,0.243,3263,6623,0.493
1,Team/G,,241.5,40.5,83.6,0.484,22.1,30.0,0.738,12.9,28.8,41.7,24.1,22.7,103.8,1990,9.5,6.2,18.9,0.7,2.8,0.243,39.8,80.8,0.493
2,Lg Rank,,14,21,24,10.0,11,9,25.0,20,19,20,19,9,20,1990,7,4,26,25,25,25.0,12,10,11.0
3,Year/Year,,-0.3%,-5.9%,-7.7%,0.01,13.0%,10.7%,0.015,-8.7%,-0.9%,-3.4%,-10.4%,-4.0%,-2.3%,1990,-4.0%,-4.3%,-7.1%,3.7%,-1.7%,0.013,-6.0%,-7.9%,0.01
4,Opponent,82.0,19805,3432,7207,0.476,1737,2251,0.772,1149,2367,3516,2092,1950,8787,1990,828,429,1364,186,576,0.323,3246,6631,0.49
5,Opponent/G,,241.5,41.9,87.9,0.476,21.2,27.5,0.772,14.0,28.9,42.9,25.5,23.8,107.2,1990,10.1,5.2,16.6,2.3,7.0,0.323,39.6,80.9,0.49
6,Lg Rank,,14,17,16,13.0,10,9,20.0,18,15,13,19,8,16,1990,26,17,12,19,22,13.0,14,15,13.0
7,Year/Year,,-0.3%,-8.4%,-6.9%,-0.008,-5.3%,-6.2%,0.007,-14.4%,-7.2%,-9.7%,-12.2%,3.6%,-7.7%,1990,-11.3%,-22.1%,-5.3%,-5.6%,0.0%,-0.019,-8.6%,-7.4%,-0.006
