,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
1,Team/G,,240.6,44.2,94.7,0.467,16.5,21.2,0.78,,,47.3,26.7,21.6,105.0,1973,,,,,,,,,
2,Lg Rank,,10,9,15,4.0,15,16,4.0,,,16,5,5,11,1973,,,,,,,,,
3,Year/Year,,-0.4%,3.0%,1.2%,0.008,-22.2%,-24.5%,0.023,,,-0.7%,10.2%,-6.5%,-2.0%,1973,,,,,,,,,
4,Opponent,82.0,19730,3291,7561,0.435,1471,1961,0.75,,,4100,1714,1781,8053,1973,,,,,,,,,
5,Opponent/G,,240.6,40.1,92.2,0.435,17.9,23.9,0.75,,,50.0,20.9,21.7,98.2,1973,,,,,,,,,
6,Lg Rank,,10,1,2,4.0,6,6,4.0,,,6,1,14,1,1973,,,,,,,,,
7,Year/Year,,-0.4%,-1.2%,0.6%,-0.008,-23.4%,-23.5%,0.002,,,-1.7%,5.4%,-5.9%,-6.2%,1973,,,,,,,,,
0,Team,82.0,19780,3478,7483,0.465,1350,1738,0.777,959.0,2725.0,3684,1937,1884,8306,1974,554.0,277.0,1463.0,,,,,,
1,Team/G,,241.2,42.4,91.3,0.465,16.5,21.2,0.777,11.7,33.2,44.9,23.6,23.0,101.3,1974,6.8,3.4,17.8,,,,,,
2,Lg Rank,,3,12,14,6.0,16,17,5.0,17.0,7.0,15,13,6,15,1974,17.0,16.0,1.0,,,,,,
3,Year/Year,,0.3%,-4.1%,-3.6%,-0.002,-0.4%,-0.1%,-0.003,,,-5.1%,-11.4%,6.1%,-3.5%,1974,,,,,,,,,
4,Opponent,82.0,19780,3292,7377,0.446,1496,1974,0.758,1042.0,2790.0,3832,1580,1792,8080,1974,479.0,348.0,1555.0,,,,,,
5,Opponent/G,,241.2,40.1,90.0,0.446,18.2,24.1,0.758,12.7,34.0,46.7,19.3,21.9,98.5,1974,5.8,4.2,19.0,,,,,,
6,Lg Rank,,3,1,3,4.0,5,7,4.0,1.0,13.0,5,1,16,1,1974,1.0,4.0,15.0,,,,,,
7,Year/Year,,0.3%,0.0%,-2.4%,0.011,1.7%,0.7%,0.008,,,-6.5%,-7.8%,0.6%,0.3%,1974,,,,,,,,,
0,Team,82.0,19730,3359,7464,0.45,1518,1967,0.772,981,2652,3633,1675,2001,8236,1975,652,300,1374,,,,,,
1,Team/G,,240.6,41.0,91.0,0.45,18.5,24.0,0.772,12.0,32.3,44.3,20.4,24.4,100.4,1975,8.0,3.7,16.8,,,,,,
2,Lg Rank,,14,13,11,11.0,13,14,8.0,18,13,16,18,12,14,1975,15,14,1,,,,,,
3,Year/Year,,-0.3%,-3.4%,-0.3%,-0.015,12.4%,13.2%,-0.005,2.3%,-2.7%,-1.4%,-13.5%,6.2%,-0.8%,1975,17.7%,8.3%,-6.1%,,,,,,
4,Opponent,82.0,19730,3361,7357,0.457,1615,2082,0.776,1070,2856,3926,1668,1912,8337,1975,572,369,1493,,,,,,
5,Opponent/G,,240.6,41.0,89.7,0.457,19.7,25.4,0.776,13.0,34.8,47.9,20.3,23.3,101.7,1975,7.0,4.5,18.2,,,,,,
6,Lg Rank,,14,5,6,10.0,13,9,13.0,5,17,12,1,14,8,1975,1,11,16,,,,,,
7,Year/Year,,-0.3%,2.1%,-0.3%,0.011,8.0%,5.5%,0.018,2.7%,2.4%,2.5%,5.6%,6.7%,3.2%,1975,19.4%,6.0%,-4.0%,,,,,,
