Player,Salary,Year
Damien Inglis,"$820,000 ",2015
Nate Wolters,"$816,482 ",2015
Johnny O'Bryant,"$600,000 ",2015
Kenyon Martin,"$414,551 ",2015
Chris Johnson,"$107,674 ",2015
Jorge Gutierrez,"$59,686 ",2015
Greg Monroe,"$16,400,000 ",2016
Khris Middleton,"$15,000,000 ",2016
O.J. Mayo,"$8,000,000 ",2016
Greivis Vasquez,"$6,600,000 ",2016
Jabari Parker,"$5,152,440 ",2016
Jerryd Bayless,"$3,000,000 ",2016
John Henson,"$2,943,221 ",2016
Michael Carter-Williams,"$2,399,040 ",2016
Miles Plumlee,"$2,109,294 ",2016
Giannis Antetokounmpo,"$1,953,960 ",2016
Larry Sanders,"$1,865,547 ",2016
Rashad Vaughn,"$1,733,040 ",2016
Tyler Ennis,"$1,662,360 ",2016
Damien Inglis,"$855,000 ",2016
Johnny O'Bryant,"$845,059 ",2016
Steve Novak,"$416,886 ",2016
Jared Cunningham,"$57,726 ",2016
Greg Monroe,"$17,100,000 ",2017
Khris Middleton,"$15,200,000 ",2017
John Henson,"$12,517,606 ",2017
Miles Plumlee,"$12,500,000 ",2017
Mirza Teletovic,"$10,500,000 ",2017
Matthew Dellavedova,"$9,607,500 ",2017
Spencer Hawes,"$6,348,759 ",2017
Jabari Parker,"$5,374,320 ",2017
Giannis Antetokounmpo,"$2,995,421 ",2017
Thon Maker,"$2,568,600 ",2017
Tony Snell,"$2,368,327 ",2017
Larry Sanders,"$1,865,547 ",2017
Rashad Vaughn,"$1,811,040 ",2017
Steve Novak,"$1,551,659 ",2017
Jason Terry,"$1,551,659 ",2017
Michael Beasley,"$1,403,611 ",2017
Malcolm Brogdon,"$925,000 ",2017
Terrence Jones,"$236,457 ",2017
Axel Toupane,"$51,449 ",2017
Gary Payton,"$35,166 ",2017
Giannis Antetokounmpo,"$22,471,910 ",2018
Eric Bledsoe,"$14,500,000 ",2018
Khris Middleton,"$14,100,000 ",2018
John Henson,"$11,422,536 ",2018
Mirza Teletovic,"$10,500,000 ",2018
Tony Snell,"$9,821,429 ",2018
Matthew Dellavedova,"$9,607,500 ",2018
Jabari Parker,"$6,782,392 ",2018
Thon Maker,"$2,684,160 ",2018
D.J. Wilson,"$2,135,040 ",2018
Spencer Hawes,"$2,007,059 ",2018
Larry Sanders,"$1,865,547 ",2018
Tyler Zeller,"$1,709,538 ",2018
Jason Terry,"$1,471,382 ",2018
Malcolm Brogdon,"$1,312,611 ",2018
Sterling Brown,"$815,615 ",2018
Sean Kilpatrick,"$789,725 ",2018
DeAndre Liggins,"$757,427 ",2018
Shabazz Muhammad,"$324,203 ",2018
Brandon Jennings,"$297,169 ",2018
Xavier Munford,$0 ,2018
Gary Payton,$0 ,2018
Marshall Plumlee,$0 ,2018
Jalen Moore,$0 ,2018
Joel Bolomboy,$0 ,2018
Giannis Antetokounmpo,"$24,157,304 ",2019
George Hill,"$19,000,000 ",2019
Eric Bledsoe,"$15,000,000 ",2019
Khris Middleton,"$13,000,000 ",2019
Nikola Mirotic,"$12,500,000 ",2019
Tony Snell,"$10,607,143 ",2019
Ersan Ilyasova,"$7,000,000 ",2019
Mirza Teletovic,"$3,500,000 ",2019
Jodie Meeks,"$3,454,500 ",2019
Brook Lopez,"$3,382,000 ",2019
D.J. Wilson,"$2,534,280 ",2019
Donte DiVincenzo,"$2,481,000 ",2019
Spencer Hawes,"$2,007,058 ",2019
Larry Sanders,"$1,865,547 ",2019
Pat Connaughton,"$1,641,000 ",2019
