,Unnamed: 0,G,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,PF,PTS,Year,STL,BLK,TOV,3P,3PA,3P%,2P,2PA,2P%
7,Year/Year,,1.4%,0.1%,-0.3%,0.002,6.4%,3.2%,0.023,-2.5%,0.2%,-0.7%,2.5%,4.1%,1.3%,1978,7.3%,14.1%,8.5%,,,,,,
0,Team,82.0,19880,3906,7773,0.503,1541,2021,0.762,1157,2370,3527,2562,2106,9353,1979,862,435,1574,,,,,,
1,Team/G,,242.4,47.6,94.8,0.503,18.8,24.6,0.762,14.1,28.9,43.0,31.2,25.7,114.1,1979,10.5,5.3,19.2,,,,,,
2,Lg Rank,,1,2,3,4.0,20,21,10.0,17,19,18,1,14,4,1979,2,9,8,,,,,,
3,Year/Year,,-0.5%,2.8%,-1.4%,0.02,-4.4%,-9.0%,0.036,-6.6%,-4.4%,-5.2%,11.1%,3.3%,1.5%,1979,-0.6%,-7.8%,-6.3%,,,,,,
4,Opponent,82.0,19880,3676,7505,0.49,1819,2415,0.753,1229,2437,3666,2301,1928,9171,1979,763,462,1748,,,,,,
5,Opponent/G,,242.4,44.8,91.5,0.49,22.2,29.5,0.753,15.0,29.7,44.7,28.1,23.5,111.8,1979,9.3,5.6,21.3,,,,,,
6,Lg Rank,,1,12,10,15.0,15,15,12.0,13,7,10,22,20,15,1979,15,15,5,,,,,,
7,Year/Year,,-0.5%,-1.0%,-2.9%,0.009,-0.7%,0.5%,-0.009,-0.4%,-6.9%,-4.8%,2.4%,-4.5%,-1.0%,1979,-3.4%,-1.3%,-2.0%,,,,,,
0,Team,82.0,19805,3685,7553,0.488,1605,2102,0.764,1245,2396,3641,2277,1937,9025,1980,778,510,1496,50.0,155.0,0.323,3635,7398,0.491
1,Team/G,,241.5,44.9,92.1,0.488,19.6,25.6,0.764,15.2,29.2,44.4,27.8,23.6,110.1,1980,9.5,6.2,18.2,0.6,1.9,0.323,44.3,90.2,0.491
