,Unnamed: 0,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
5,Opponent/G,,240.9,42.3,90.1,0.47,2.0,6.3,0.323,40.3,83.8,0.481,18.3,23.9,0.766,14.6,27.2,41.9,27.3,7.5,5.3,15.0,24.4,104.9,1988
6,Lg Rank,,18,13,19,4.0,23,23,14.0,10,15,6.0,1,1,12.0,17,3,7,20,3,11,21,8,6,1988
7,Year/Year,,-0.6%,-3.3%,-1.6%,-0.008,30.5%,19.1%,0.028,-4.5%,-2.8%,-0.009,-14.3%,-14.7%,0.003,-4.3%,-6.4%,-5.7%,-2.8%,7.2%,3.6%,-7.8%,-6.5%,-5.0%,1988
0,Team,82.0,19780,3244,6917,0.469,211,681,0.31,3033,6236,0.486,1785,2263,0.789,1048,2397,3445,1867,579,476,1233,1739,8484,1989
1,Team/G,,241.2,39.6,84.4,0.469,2.6,8.3,0.31,37.0,76.0,0.486,21.8,27.6,0.789,12.8,29.2,42.0,22.8,7.1,5.8,15.0,21.2,103.5,1989
2,Lg Rank,,14,23,22,17.0,7,4,17.0,25,24,15.0,16,19,7.0,23,14,23,24,23,7,3,4,24,1989
3,Year/Year,,0.1%,-5.0%,-3.8%,-0.006,37.0%,29.5%,0.017,-6.9%,-6.4%,-0.003,-9.8%,-9.8%,-0.0,-21.8%,-3.9%,-10.2%,-5.9%,-10.2%,6.7%,-1.9%,0.3%,-5.3%,1989
4,Opponent,82.0,19780,3422,7304,0.469,166,515,0.322,3256,6789,0.48,1573,2090,0.753,1231,2500,3731,2133,660,386,1175,1869,8583,1989
5,Opponent/G,,241.2,41.7,89.1,0.469,2.0,6.3,0.322,39.7,82.8,0.48,19.2,25.5,0.753,15.0,30.5,45.5,26.0,8.0,4.7,14.3,22.8,104.7,1989
6,Lg Rank,,14,9,15,8.0,10,10,13.0,9,15,8.0,4,4,4.0,19,19,20,17,5,6,25,20,4,1989
7,Year/Year,,0.1%,-1.3%,-1.1%,-0.001,-0.6%,-0.4%,-0.001,-1.4%,-1.2%,-0.001,4.9%,6.8%,-0.013,2.6%,12.0%,8.7%,-4.8%,7.8%,-11.5%,-4.3%,-6.4%,-0.2%,1989
0,Team,82.0,19855,3246,6831,0.475,157,486,0.323,3089,6345,0.487,1735,2261,0.767,1042,2419,3461,1776,664,398,1228,1733,8384,1990
1,Team/G,,242.1,39.6,83.3,0.475,1.9,5.9,0.323,37.7,77.4,0.487,21.2,27.6,0.767,12.7,29.5,42.2,21.7,8.1,4.9,15.0,21.1,102.2,1990
2,Lg Rank,,5,24,25,16.0,17,19,16.0,21,23,17.0,16,16,10.0,22,13,17,26,19,14,7,4,22,1990
3,Year/Year,,0.4%,0.1%,-1.2%,0.006,-25.6%,-28.6%,0.013,1.8%,1.7%,0.0,-2.8%,-0.1%,-0.021,-0.6%,0.9%,0.5%,-4.9%,14.7%,-16.4%,-0.4%,-0.3%,-1.2%,1990
4,Opponent,82.0,19855,3288,7013,0.469,175,587,0.298,3113,6426,0.484,1627,2161,0.753,1142,2398,3540,1961,649,388,1236,1832,8378,1990
5,Opponent/G,,242.1,40.1,85.5,0.469,2.1,7.2,0.298,38.0,78.4,0.484,19.8,26.4,0.753,13.9,29.2,43.2,23.9,7.9,4.7,15.1,22.3,102.2,1990
6,Lg Rank,,5,6,10,9.0,14,24,2.0,7,8,10.0,6,6,5.0,15,16,16,8,8,8,20,19,4,1990
7,Year/Year,,0.4%,-3.9%,-4.0%,0.0,5.4%,14.0%,-0.024,-4.4%,-5.3%,0.005,3.4%,3.4%,0.0,-7.2%,-4.1%,-5.1%,-8.1%,-1.7%,0.5%,5.2%,-2.0%,-2.4%,1990
0,Team,82.0,19805,3245,6890,0.471,193,600,0.322,3052,6290,0.485,1512,1986,0.761,984,2360,3344,1821,581,397,1186,1840,8195,1991
1,Team/G,,241.5,39.6,84.0,0.471,2.4,7.3,0.322,37.2,76.7,0.485,18.4,24.2,0.761,12.0,28.8,40.8,22.2,7.1,4.8,14.5,22.4,99.9,1991
2,Lg Rank,,13,24,22,15.0,12,11,12.0,25,21,16.0,26,27,16.0,25,17,22,25,26,17,4,9,25,1991
3,Year/Year,,-0.3%,-0.0%,0.9%,-0.004,22.9%,23.5%,-0.001,-1.2%,-0.9%,-0.002,-12.9%,-12.2%,-0.006,-5.6%,-2.4%,-3.4%,2.5%,-12.5%,-0.3%,-3.4%,6.2%,-2.3%,1991
4,Opponent,82.0,19805,3346,6945,0.482,178,583,0.305,3168,6362,0.498,1700,2296,0.74,1116,2489,3605,2025,650,400,1147,1778,8570,1991
5,Opponent/G,,241.5,40.8,84.7,0.482,2.2,7.1,0.305,38.6,77.6,0.498,20.7,28.0,0.74,13.6,30.4,44.0,24.7,7.9,4.9,14.0,21.7,104.5,1991
6,Lg Rank,,13,13,8,18.0,9,13,5.0,13,8,18.0,13,15,1.0,12,19,18,16,5,12,25,24,12,1991
7,Year/Year,,-0.3%,1.8%,-1.0%,0.013,1.7%,-0.7%,0.007,1.8%,-1.0%,0.014,4.5%,6.2%,-0.012,-2.3%,3.8%,1.8%,3.3%,0.2%,3.1%,-7.2%,-2.9%,2.3%,1991
0,Team,82.0,19755,3120,7104,0.439,268,797,0.336,2852,6307,0.452,1499,1999,0.75,1194,2439,3633,1630,536,349,1202,1867,8007,1992
1,Team/G,,240.9,38.0,86.6,0.439,3.3,9.7,0.336,34.8,76.9,0.452,18.3,24.4,0.75,14.6,29.7,44.3,19.9,6.5,4.3,14.7,22.8,97.6,1992
2,Lg Rank,,25,27,15,27.0,5,5,10.0,27,23,26.0,24,24,14.0,9,10,11,26,27,24,6,18,27,1992
3,Year/Year,,-0.3%,-3.9%,3.1%,-0.032,38.9%,32.8%,0.015,-6.6%,0.3%,-0.033,-0.9%,0.7%,-0.011,21.3%,3.3%,8.6%,-10.5%,-7.7%,-12.1%,1.3%,1.5%,-2.3%,1992
4,Opponent,82.0,19755,3314,7051,0.47,183,599,0.306,3131,6452,0.485,1823,2368,0.77,1157,2631,3788,1936,723,456,1054,1735,8634,1992
5,Opponent/G,,240.9,40.4,86.0,0.47,2.2,7.3,0.306,38.2,78.7,0.485,22.2,28.9,0.77,14.1,32.1,46.2,23.6,8.8,5.6,12.9,21.2,105.3,1992
6,Lg Rank,,25,9,9,12.0,6,8,4.0,10,11,13.0,22,22,23.0,12,25,23,13,17,16,27,21,14,1992
7,Year/Year,,-0.3%,-1.0%,1.5%,-0.012,2.8%,2.7%,0.0,-1.2%,1.4%,-0.013,7.2%,3.1%,0.029,3.7%,5.7%,5.1%,-4.4%,11.2%,14.0%,-8.1%,-2.4%,0.7%,1992
0,Team,82.0,19730,3164,7271,0.435,283,837,0.338,2881,6434,0.448,1530,2171,0.705,1234,2265,3499,1683,649,355,1459,2302,8141,1993
1,Team/G,,240.6,38.6,88.7,0.435,3.5,10.2,0.338,35.1,78.5,0.448,18.7,26.5,0.705,15.0,27.6,42.7,20.5,7.9,4.3,17.8,28.1,99.3,1993
2,Lg Rank,,25,25,5,27.0,10,11,12.0,25,11,27.0,24,20,27.0,6,24,18,27,18,22,27,27,26,1993
3,Year/Year,,-0.1%,1.4%,2.4%,-0.004,5.6%,5.0%,0.002,1.0%,2.0%,-0.004,2.1%,8.6%,-0.045,3.4%,-7.1%,-3.7%,3.3%,21.1%,1.7%,21.4%,23.3%,1.7%,1993
4,Opponent,82.0,19730,3401,6783,0.501,234,653,0.358,3167,6130,0.517,2351,3071,0.766,1063,2740,3803,2047,802,520,1273,1861,9387,1993
5,Opponent/G,,240.6,41.5,82.7,0.501,2.9,8.0,0.358,38.6,74.8,0.517,28.7,37.5,0.766,13.0,33.4,46.4,25.0,9.8,6.3,15.5,22.7,114.5,1993
6,Lg Rank,,25,19,4,27.0,9,5,24.0,19,6,26.0,27,27,22.0,5,27,26,13,26,26,18,17,27,1993
