Unnamed: 1,Salary,Year
Kevin Ollie,"$590,850 ",2002
Michael Ruffin,"$540,850 ",2002
A.J. Guyton,"$465,850 ",2002
Soumaila Samake,"$465,850 ",2002
Trenton Hassell,"$332,817 ",2002
Jalen Rose,"$12,072,500 ",2003
Eddie Robinson,"$5,687,000 ",2003
Donyell Marshall,"$4,186,542 ",2003
Tyson Chandler,"$3,556,200 ",2003
Jay Williams,"$3,451,920 ",2003
Marcus Fizer,"$2,946,240 ",2003
Eddy Curry,"$2,879,280 ",2003
Jamal Crawford,"$2,026,680 ",2003
Greg Anthony,"$1,500,000 ",2003
Corie Blount,"$1,400,000 ",2003
Fred Hoiberg,"$1,400,000 ",2003
Dalibor Bagaric,"$830,947 ",2003
Rick Brunson,"$699,935 ",2003
Erick Barkley,"$682,500 ",2003
Trenton Hassell,"$512,435 ",2003
Lonny Baxter,"$349,458 ",2003
Roger Mason,"$349,458 ",2003
Antonio Davis,"$12,925,000 ",2004
Eddie Robinson,"$6,204,000 ",2004
Jerome Williams,"$5,987,500 ",2004
Scottie Pippen,"$4,917,000 ",2004
Tyson Chandler,"$3,804,360 ",2004
Marcus Fizer,"$3,726,994 ",2004
Jay Williams,"$3,710,880 ",2004
Eddy Curry,"$3,080,160 ",2004
Jamal Crawford,"$2,577,937 ",2004
Kirk Hinrich,"$2,185,920 ",2004
Corie Blount,"$1,680,000 ",2004
Dalibor Bagaric,"$1,599,076 ",2004
Kendall Gill,"$1,070,000 ",2004
Chris Jefferies,"$840,360 ",2004
Rick Brunson,"$813,679 ",2004
Linton Johnson,"$366,931 ",2004
Antonio Davis,"$12,925,000 ",2005
Scottie Pippen,"$5,408,700 ",2005
Eddie Robinson,"$5,055,556 ",2005
Tyson Chandler,"$4,801,102 ",2005
Eddy Curry,"$3,896,402 ",2005
Ben Gordon,"$3,358,320 ",2005
Othella Harrington,"$3,150,000 ",2005
Eric Piatkowski,"$2,750,000 ",2005
Andres Nocioni,"$2,525,000 ",2005
Kirk Hinrich,"$2,349,840 ",2005
Luol Deng,"$2,273,400 ",2005
Cezary Trybanski,"$1,700,000 ",2005
Jay Williams,"$1,550,551 ",2005
Frank Williams,"$957,480 ",2005
Chris Jeffries,"$899,040 ",2005
Adrian Griffin,"$870,046 ",2005
Mike Wilks,"$720,046 ",2005
Jannero Pargo,"$695,046 ",2005
Tommy Smith,"$620,046 ",2005
Chris Duhon,"$385,277 ",2005
Jared Reiner,"$385,277 ",2005
Tim Thomas,"$13,975,000 ",2006
Tyson Chandler,"$9,000,000 ",2006
Eddie Robinson,"$5,444,444 ",2006
Ben Gordon,"$3,610,200 ",2006
Othella Harrington,"$3,500,000 ",2006
Eric Piatkowski,"$3,000,000 ",2006
Chris Duhon,"$2,800,000 ",2006
Andres Nocioni,"$2,775,000 ",2006
Kirk Hinrich,"$2,513,880 ",2006
Luol Deng,"$2,443,920 ",2006
Darius Songaila,"$2,200,000 ",2006
Mike Sweetney,"$2,116,920 ",2006
Malik Allen,"$1,670,000 ",2006
Jannero Pargo,"$895,248 ",2006
Jermaine Jackson,"$771,123 ",2006
Eddie Basden,"$398,762 ",2006
Randy Holcomb,"$52,033 ",2006
Ben Wallace,"$16,000,000 ",2007
P.J. Brown,"$8,560,000 ",2007
Andres Nocioni,"$3,950,000 ",2007
Ben Gordon,"$3,862,080 ",2007
Tyrus Thomas,"$3,260,760 ",2007
Kirk Hinrich,"$3,192,628 ",2007
Chris Duhon,"$3,024,000 ",2007
Mike Sweetney,"$2,696,956 ",2007
Luol Deng,"$2,614,440 ",2007
Malik Allen,"$1,803,600 ",2007
Thabo Sefolosha,"$1,679,280 ",2007
Adrian Griffin,"$1,475,000 ",2007
Viktor Khryapa,"$1,172,400 ",2007
